model,language_pair,score
gpt,en-zh,0.2694866998241297
gpt,en-ko,0.3681347226089351
gpt,en-he,0.5295303102714004
gpt,en-yo,0.15470238894665075
palm,en-zh,0.28510438403286326
palm,en-ko,0.3647852292914152
palm,en-he,0.5169824399162801
palm,en-yo,0.0830438503068291
google,en-zh,0.26556051482477805
google,en-ko,0.6322744215819966
google,en-he,0.5938340699505121
google,en-yo,0.3015056919141162
opus,en-zh,0.1962319780482703
opus,en-ko,0.0
opus,en-he,0.5815391632982893
opus,en-yo,0.13160005946495473
nllb,en-zh,0.19591302414404038
nllb,en-ko,0.33991456759009764
nllb,en-he,0.5629203954023174
nllb,en-yo,0.13747868325365506
