Input.idiom_0,Input.meaning_0,Input.instance_0,Input.label_0,Input.idiom_1,Input.meaning_1,Input.instance_1,Input.label_1,Input.idiom_2,Input.meaning_2,Input.instance_2,Input.label_2,Input.idiom_3,Input.meaning_3,Input.instance_3,Input.label_3,Input.idiom_4,Input.meaning_4,Input.instance_4,Input.label_4,Answer.0_gold,Answer.1_gold,Answer.2_gold,Answer.3_gold,Answer.4_gold
up to the neck,"when people are very involved in something, especially when it's something wrong","They were up to the neck in water, swimming in a pool",1,turn back on,choose not to speak to,I had to turn back on it to use it again,1,straight from the horse's mouth,from a dependable or reliable source,He heard it straight from the horse's mouth,2,crocodile tears,fake cry,He was shedding crocodile tears,2,flash in the pan,"something that cannot be repeated, usually a positive concept",The party was a flash in the pan as the fireworks they set went off in an instant,1,1,1,0,0,2
up to the neck,"when people are very involved in something, especially when it's something wrong","They were up to the neck in water, swimming in a pool",1,turn back on,choose not to speak to,I had to turn back on it to use it again,1,straight from the horse's mouth,from a dependable or reliable source,He heard it straight from the horse's mouth,2,crocodile tears,fake cry,He was shedding crocodile tears,2,flash in the pan,"something that cannot be repeated, usually a positive concept",The party was a flash in the pan as the fireworks they set went off in an instant,1,1,2,2,2,0
up to the neck,"when people are very involved in something, especially when it's something wrong","They were up to the neck in water, swimming in a pool",1,turn back on,choose not to speak to,I had to turn back on it to use it again,1,straight from the horse's mouth,from a dependable or reliable source,He heard it straight from the horse's mouth,2,crocodile tears,fake cry,He was shedding crocodile tears,2,flash in the pan,"something that cannot be repeated, usually a positive concept",The party was a flash in the pan as the fireworks they set went off in an instant,1,1,0,2,0,0
backroom boy(s),people who work in anonymity,"He is one of the backroom boys, quietly involved in decision-making processes",0,queer pitch,spoil somebody's chance of doing something.,He threw a queer pitch which made the opposing team confused,0,cut down,to reduce the amount of something (usually bad),We had to cut down the tree to make room for the new flower bed,0,above board,"straight; without concealment, legitimate; open","Everything was above board, literally visible to everyone",1,yoke around one's neck,a fatiguing burden.,He carried a yoke around his neck as he plowed the fields,1,0,1,1,1,1
backroom boy(s),people who work in anonymity,"He is one of the backroom boys, quietly involved in decision-making processes",0,queer pitch,spoil somebody's chance of doing something.,He threw a queer pitch which made the opposing team confused,0,cut down,to reduce the amount of something (usually bad),We had to cut down the tree to make room for the new flower bed,0,above board,"straight; without concealment, legitimate; open","Everything was above board, literally visible to everyone",1,yoke around one's neck,a fatiguing burden.,He carried a yoke around his neck as he plowed the fields,1,0,0,1,1,1
backroom boy(s),people who work in anonymity,"He is one of the backroom boys, quietly involved in decision-making processes",0,queer pitch,spoil somebody's chance of doing something.,He threw a queer pitch which made the opposing team confused,0,cut down,to reduce the amount of something (usually bad),We had to cut down the tree to make room for the new flower bed,0,above board,"straight; without concealment, legitimate; open","Everything was above board, literally visible to everyone",1,yoke around one's neck,a fatiguing burden.,He carried a yoke around his neck as he plowed the fields,1,0,1,1,1,2
across the board,applying to everyone,We took action across the board that was laid out in front of us,1,kill the goose that lays the golden egg,to destroy something that is profitable to you mostly because of greed.,They killed the goose that lays the golden egg for its delicious dinner,1,your guess is as good as mine,I don't know,Your guess is as good as mine,2,nip in the bud,check something thoroughly.,We nipped it in the bud while it was still a bud,1,walk out on,end a relationship with someone suddenly,He walked out on her,2,0,0,2,1,2
across the board,applying to everyone,We took action across the board that was laid out in front of us,1,kill the goose that lays the golden egg,to destroy something that is profitable to you mostly because of greed.,They killed the goose that lays the golden egg for its delicious dinner,1,your guess is as good as mine,I don't know,Your guess is as good as mine,2,nip in the bud,check something thoroughly.,We nipped it in the bud while it was still a bud,1,walk out on,end a relationship with someone suddenly,He walked out on her,2,0,1,2,1,2
across the board,applying to everyone,We took action across the board that was laid out in front of us,1,kill the goose that lays the golden egg,to destroy something that is profitable to you mostly because of greed.,They killed the goose that lays the golden egg for its delicious dinner,1,your guess is as good as mine,I don't know,Your guess is as good as mine,2,nip in the bud,check something thoroughly.,We nipped it in the bud while it was still a bud,1,walk out on,end a relationship with someone suddenly,He walked out on her,2,0,3,2,1,2
not playing with a full deck,not mentally sound,He's not playing with a full deck because he's only got fifty-two cards instead of fifty-five,1,olive branch,to show that someone wants to end a disagreement and make peace,She extended an olive branch in order to signal the intention of making peace,0,the lion's den,a place which is uncomfortable,They walked into the lion's den,2,safe bet,fair assumption; reasonable guess; opinion or view that is likely to prove correct.,It's a safe bet,2,spill the beans,disclose a secret or reveal something prematurely,She spilled the beans about the surprise party when she blurted out the details,0,1,0,2,2,0
not playing with a full deck,not mentally sound,He's not playing with a full deck because he's only got fifty-two cards instead of fifty-five,1,olive branch,to show that someone wants to end a disagreement and make peace,She extended an olive branch in order to signal the intention of making peace,0,the lion's den,a place which is uncomfortable,They walked into the lion's den,2,safe bet,fair assumption; reasonable guess; opinion or view that is likely to prove correct.,It's a safe bet,2,spill the beans,disclose a secret or reveal something prematurely,She spilled the beans about the surprise party when she blurted out the details,0,1,0,2,2,0
not playing with a full deck,not mentally sound,He's not playing with a full deck because he's only got fifty-two cards instead of fifty-five,1,olive branch,to show that someone wants to end a disagreement and make peace,She extended an olive branch in order to signal the intention of making peace,0,the lion's den,a place which is uncomfortable,They walked into the lion's den,2,safe bet,fair assumption; reasonable guess; opinion or view that is likely to prove correct.,It's a safe bet,2,spill the beans,disclose a secret or reveal something prematurely,She spilled the beans about the surprise party when she blurted out the details,0,1,0,2,2,0
not have a clue,to not know something.,I don't have a clue what to do,0,chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder ever since his promotion got denied,0,a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",A storm is brewing,2,take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,I took it on the chin,2,wet behind the ears,immature or poor skill,He was wet behind the ears because he had just taken a bath,1,0,0,0,2,1
