idiom,freq,meaning,pattern
all the way,47592,"completely, to the fullest extent.",all the way
on the table,50310,open for discussion or consideration.,on the table
under pressure,1033,in a difficult situation where one is expected to perform or produce results quickly.,under pressure
out of sight,14392,not visible or present.,out of sight
over the top,8259,excessive or extreme in nature.,over the top
in the wake of,1568,"as a result of, following.",in the wake of
never mind,14722,"forget about it, don't worry about it.",never mind
at hand,11901,close by or readily available.,at hand
now and then,10154,occasionally; from time to time.,now and then
just in case,14798,to be prepared for any eventuality.,just in case
along the lines,1572,in a similar way; in a related manner.,along the lines
by and large,421,generally speaking; on the whole.,by and large
sooner or later,6820,"eventually, in due time.",sooner or later
way around,14077,a solution or workaround to a problem.,way around
per se,3775,by or in itself; intrinsically.,per se
to this day,2969,until the present time.,to this day
fair enough,4232,acknowledgement that something is reasonable or acceptable.,fair enough
behind bars,1563,in prison or jail.,behind bars
on the run,3931,being in a hurry or in a state of escape.,on the run
north and south,728,"completely different, opposite, or conflicting.",north and south
out of the blue,2441,unexpectedly or without warning.,out of the blue
golden age,365,"a period of time in the past that is remembered as being particularly prosperous, peaceful, and/or happy.",golden age
all set,4290,ready to go or begin something.,all set
across the board,437,applying to everyone or everything in a group or category.,across the board
under construction,431,in the process of being built or developed.,under construction
down to earth,1118,having a practical and realistic attitude.,down to earth
in the pipeline,43,in the process of being developed or completed.,in the pipeline
washed up,1421,no longer successful or relevant.,washed up
in the bag,2692,a situation that is certain to be successful.,in the bag
off the hook,2827,no longer held responsible or accountable for something.,off the hook
green light,2951,give permission or approval to proceed with a plan.,green light
up in the air,4202,"uncertain, undecided, unresolved.",up in the air
under the table,5589,done secretly or illegally.,under the table
cutting edge,546,the most advanced and up-to-date technology or ideas.,cutting edge
building blocks,312,the basic elements that are necessary to create something.,building blocks
in the dock,286,"in a court of law, accused of a crime and awaiting judgement.",in the dock
at the wheel,1431,in control of a situation.,at the wheel
on the ball,2082,"alert, attentive, and quick to act.",on the ball
wishful thinking,1610,hoping for something that is unlikely to happen.,wishful thinking
keep at bay,98,to keep someone or something away or at a distance.,keep at bay
state of the art,481,the most advanced and up-to-date technology or equipment available.,state of the art
on the rocks,1965,in a state of decline or disrepair.,on the rocks
big deal,15342,used to express that something is not important or impressive.,big deal
rule of thumb,120,"a general principle or guideline, rather than an exact formula.",rule of thumb
how come,6546,a question asking for an explanation or reason.,how come
on the record,595,to make a statement that is officially recorded and can be used as evidence.,on the record
a new lease of life,15,a new opportunity to start fresh and make changes in one's life.,a new lease of life
behind closed doors,940,"in private, away from public view.",behind closed doors
the last straw,706,the final event or action that causes a situation to become unbearable.,the last straw
in a nutshell,484,in a few words; concisely.,in a nutshell
flesh and blood,2074,"used to refer to a person's family or close friends, implying that they are the most important people in one's life.",flesh and blood
thank goodness,3607,expressing relief or gratitude.,thank goodness
against time,187,working quickly and urgently to complete a task before a deadline.,against time
calendar year,77,"a period of twelve months, usually from January 1 to December 31.",calendar year
next to nothing,879,very little or almost nothing.,next to nothing
dream come true,942,a wish or desire that has been fulfilled.,dream come true
business as usual,709,"continue to operate as normal, despite any changes or disruptions.",business as usual
all in all,2430,"overall, taking everything into consideration.",all in all
between life and death,563,in a very dangerous or precarious situation.,between life and death
the best of both worlds,227,having the advantages of two different situations at the same time.,the best of both worlds
round the clock,1019,"continuously, without interruption, 24 hours a day.",round the clock
under the sun,982,everything that exists or is possible.,under the sun
over the hill,1461,past one's prime; no longer young or in one's best years.,over the hill
all the more,6640,even more so; to an even greater degree.,all the more
high season,54,the busiest time of year for a particular activity or industry.,high season
larger than life,658,having an impressive or grandiose presence.,larger than life
nuts and bolts,158,the basic details or fundamentals of something.,nuts and bolts
word for word,590,"exactly as stated, without any changes.",word for word
level playing field,77,a situation in which all participants have an equal chance of success.,level playing field
man in the street,86,"the average person, especially as representing public opinion.",man in the street
a breath of fresh air,508,something new and refreshing.,a breath of fresh air
nine times out of ten,203,almost always; usually.,nine times out of ten
on the fence,797,uncertain or undecided about something.,on the fence
dirty work,1701,"work that is unpleasant, unethical, or illegal.",dirty work
to the hilt,2139,to the maximum extent possible.,to the hilt
bricks and mortar,90,"a physical business or store, as opposed to an online business.",bricks and mortar
food for thought,168,something to consider or ponder over.,food for thought
sixth sense,1246,the ability to understand or know something without any proof or evidence.,sixth sense
tour de force,29,an impressive and remarkable feat or accomplishment.,tour de force
odds and ends,614,miscellaneous items or small objects.,odds and ends
piece of cake,1267,something that is very easy to do.,piece of cake
in limbo,491,in a state of uncertainty or delay with no resolution in sight.,in limbo
fall from grace,169,"to lose the favor or respect of someone or something, usually due to a mistake or wrongdoing.",fall from grace
easier said than done,1292,something that is more difficult to do than it is to say.,easier said than done
magic wand,392,a solution that will solve all of one's problems quickly and easily.,magic wand
in the nick of time,537,just in time; at the last possible moment.,in the nick of time
gut feeling,1022,an instinctive feeling or intuition about something.,gut feeling
shelf life,124,the amount of time something is useful or relevant before it becomes outdated.,shelf life
off the beaten track,105,not in a place that is frequented by many people; away from the usual paths.,off the beaten track
ethnic cleansing,59,the systematic removal of a particular ethnic group from a given area by force or intimidation.,ethnic cleansing
off the record,780,not to be taken as an official statement or to be shared with others.,off the record
weather permitting,79,if the weather is suitable or favorable.,weather permitting
out of this world,502,extremely good or impressive.,out of this world
in cold blood,1007,"in a deliberate and calculated manner, without emotion.",in cold blood
against the clock,86,working quickly and under pressure to complete a task before a certain deadline.,against the clock
make up [pron] mind,2035,come to a decision or opinion.,"make up [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} mind"
labour of love,26,"a task or project that is done out of passion or dedication, rather than for financial gain.",labour of love
in the same boat,393,in the same situation or predicament.,in the same boat
come what may,223,no matter what happens.,come what may
in the heat of the moment,578,acting impulsively without considering the consequences.,in the heat of the moment
back to the drawing board,92,"start over from the beginning, usually after a failed attempt.",back to the drawing board
old hat,431,something that is no longer new or interesting.,old hat
close to home,1129,something that is personally relevant or meaningful.,close to home
dead and buried,387,completely finished and forgotten.,dead and buried
pain in the neck,134,a person or thing that is annoying or difficult to deal with.,pain in the neck
