idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_palm,p_f_de_palm,p_l_de_palm,p_a_he_palm,p_f_he_palm,p_l_he_palm,p_a_hi_palm,p_f_hi_palm,p_l_hi_palm,p_a_hu_palm,p_f_hu_palm,p_l_hu_palm,p_a_es_palm,p_f_es_palm,p_l_es_palm,p_a_yo_palm,p_f_yo_palm,p_l_yo_palm,p_a_zh_palm,p_f_zh_palm,p_l_zh_palm,p_a_ko_palm,p_f_ko_palm,p_l_ko_palm
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,Achilleshebel,Trotz seiner Intelligenz war die Aufschieberitis seine Achillesferse,Im Anatomieunterricht haben wir seine Achillesferse und ihre Funktion untersucht,נקודה חלשה,חרף תבונתו עצלנות הייתה נקודת התורפה שלו,במהלך שיעור האנטומיה למדנו את עקב אכילס שלו ואת תפקודו,Achille's heel,अपनी बुद्धि के बावजूद विलंब करना उनकी कमजोरी थी,शरीर रचना विज्ञान की कक्षा के दौरान हमने उसके एचिल्स हील और उसके कार्य का अध्ययन किया,Achilleus-sarka,Őszintén szólva a késlekedés volt a gyenge pontja,Az anatómia órán tanulmányoztuk a szubkután zsírréteget és a funkcióját,su talón de Aquiles,A pesar de su inteligencia la procrastinación era su talón de Aquiles,Durante la clase de anatomía estudiamos su talón de Aquiles y su función,ẹ̀yìn ẹ̀yìn rẹ,Láìka ọgbọ́n tó ní ìgbàgbàsẹ̀ ni ẹ̀sẹ̀ ìkọ́sẹ̀ rẹ̀,Nígbà tí a ń kọ ẹ̀kọ́ ìṣe ara a ń ṣàwọn ìwádìí nípa ẹ̀yìn ìkọ̀sẹ́ Achilles àti iṣẹ́ rẹ̀,他的阿喀琉斯之踵,尽管他很聪明，但拖延是他致命的弱点,在解剖课上，我们研究了他的阿基里斯腱及其功能,그의 아킬레스건,그의 지능에도 불구하고 미루는 습관은 그의 아킬레스건이었다,해부학 수업에서 우리는 그의 아킬레스건과 그 기능을 공부했습니다
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,trafen ihren Mr Right und ihre Mrs Right,Nach Jahren der Suche haben sie endlich ihren Mr Right und ihre Mrs Right gefunden und sind sesshaft geworden,Bei der Kostümparty fanden sie ihre Mr Right und Ms Right Outfits im Laden,מצא את הגבר הנכון והאישה הנכונה,אחרי שנים של חיפוש הם סוף סוף מצאו את הגבר הנכון והאישה הנכונה והתיישבו,במסיבת תחפושות הם מצאו את תלבושות מר וגברת נכונים בחנות,एमआर राइट और एमएस राइट को पाया,ढूँढने के वर्षों के बाद उन्होंने आखिरकार अपने मिस्टर राइट और मिस राइट को पाया और बस गए,वेशभूषा पार्टी में उन्होंने स्टोर में अपने मिस्टर राइट और मिस राइट के कपड़े पाए,igazi párjukat találták,Ők évekig keresték a megfelelő társat és végül megtalálták le is telepedtek,A jelmezbálon megtalálták a boltban a Mr Right és a Miss Right ruhát,hallan a su Sr y Sra Right,Después de años de búsqueda finalmente encontraron a su Sr y Sra Perfecto y se asentaron,En la fiesta de disfraces encontraron sus trajes de Sr y Sra Right en la tienda,rí ọkọ ọmọ ọdọ wọn àti ìyàwó ọmọ ọdọ wọn,Lẹ́yìn ọdún ọ̀pọ̀lọpọ̀ ìwákiri wọ́n tún rí ọkọ tí wọ́n ń fẹ́ àti aya tí wọ́n ń fẹ́ wọ́n sì ṣe ìdọ́mọlẹ̀,Níbi ayẹyẹ ìwọsọ wọ́n rí ìwọsọ ọkọ tí wọ́n ń fẹ́ àti ìwọsọ aya tí wọ́n ń fẹ́ nínú ìkábọ̀,找到了他们的Mr Right和Ms Right,经过多年的寻找，他们终于找到了自己的真命天子和真命天女，并安定下来,在化装舞会上，他们在商店里找到了他们的白马王子和白雪公主服装,짝을 찾았습니다,수년간의 수색 끝에 그들은 마침내 그들의 Mr Right와 Ms Right를 찾고 정착했습니다,의상 파티에서 그들은 가게에서 Mr Right와 Ms Right 의상을 찾았습니다
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,ein junger Türke in der Firma,Aufgrund seiner innovativen Ideen wurde er schnell zum Young Turk im Unternehmen,Der neue Mitarbeiter war ein Jungtürke in der Firma der kürzlich aus der Türkei gezogen war,טורקי צעיר בחברה,הוא הפך במהירות לטורקי צעיר בחברה בזכות רעיונותיו החדשניים,עובד חדש היה טורקי צעיר בחברה לאחר שעבר לאחרונה מטורקיה,कंपनी में एक युवा तुर्क,अपने नवीन विचारों के कारण वह जल्द ही कंपनी में एक युवा तुर्क बन गया,नया कर्मचारी कंपनी में एक यंग तुर्क था जिसने हाल ही में तुर्की से स्थानांतरित किया था,társaságbeli ifjú török,Ő gyorsan lett a cég Young Turkja innovatív ötletei miatt,A új alkalmazott a cég fiatal törökje volt aki nemrég költözött Törökországból,un joven turco en la empresa,Rápidamente se convirtió en un joven turco en la empresa debido a sus ideas innovadoras,El nuevo empleado era un joven turco en la empresa habiendo recientemente trasladado de Turquía,ọmọ ọdọ tó ń ṣe ìṣèlú nínú ìjọba,Ó yára di ọmọ ọdọ tó ń ṣe ìgbàgbé nínú ilé-iṣẹ́ nítorí àwọn ìṣètò ìgbàgbé rẹ̀,Ọmọṣẹ tuntun náà jẹ́ ọmọ ọdọ tó ń ṣiṣẹ́ nínú ilé-iṣẹ́ náà ó sì ṣe pé ó ṣe ìgbàgbé láti Tọ́kí,公司里的年轻人,由于他的创新思想，他很快成为公司里的年轻人,这位新员工是公司里的年轻人，最近从土耳其搬来,젊은 터키인,그의 혁신적인 아이디어로 그는 회사에서 젊은 터키인으로 빠르게 성장했습니다,젊은 터키인인 신입 사원은 최근 터키에서 이주해 왔다
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,heim ins Nest,Er entschied sich das Jobangebot anzunehmen da er der Meinung war dass ein Spatz in der Hand besser ist als eine Taube auf dem Dach,Sie hielt einen Vogel in der Hand und untersuchte seine Federn sorgfältig,צייד וציפור,הוא החליט לקבל את הצעת העבודה מתוך אמונה שעוף ביד שווה שניים בעשב,תוך כדי שהיא מחזיקה ציפור ביד היא בחנה בזהירות את נוצותיה,हाथ में चिड़िया,उन्होंने नौकरी के प्रस्ताव को स्वीकार करने का फैसला किया यह मानते हुए कि हाथ में एक पक्षी झाड़ी में दो के बराबर है,हाथ में एक पक्षी को पकड़े हुए उसने सावधानी से उसके पंखों की जांच की,jobban járunk egy madárral a kezünkben,Ő úgy döntött hogy elfogadja a munkaajánlatot mert úgy gondolta hogy jobb a madár a kézben mint a két madár a bokorban,Őrizte a madarat a kezében és gondosan megvizsgálta a tollait,pájara en mano,Acepta la oferta de trabajo creyendo que más vale pájaro en mano que ciento volando,Teniendo un pájaro en la mano ella examinó cuidadosamente sus plumas,ẹyẹ tó wà nínú ọwọ,Ó pinnu láti gba ìṣẹ́ náà ó gbàgbọ́ pé ẹyẹ tó wà ní ọwọ́ tó tó ẹyẹ méjì tó wà ní ìgbé,Ó mú ẹyẹ kan ní ọwọ́ ó sì ṣe àyẹ̀wò ìyẹ́ rẹ̀ tọ́rọ́tọ́,一只手里的鸟,他决定接受这份工作，因为他相信“一鸟在手，胜过两鸟在林”。,她手里拿着一只鸟，仔细检查它的羽毛,꿩 대신 닭,그는 손에 있는 새가 덤불에 있는 두 마리보다 낫다는 믿음으로 그 직장을 수락하기로 결정했다,손에 새를 들고 깃털을 주의 깊게 살펴보았다
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,brütet einen Kuckuck im Nest,Als der neue Mitarbeiter Probleme verursachte erkannten sie dass sie einen Kuckuck im Nest gefunden hatten,Während der Vogelbeobachtung fand der Ornithologe einen Kuckuck im Nest,מצאתי קוקייה בקן,כשהעובד החדש התחיל לגרום לבעיות הם הבינו שהם מצאו דרור בתוך הקן,בעודו מתבונן בקן הציפור מצא האורתולוג קוקייה בקן,कूड़े में एक कोयल मिली,जब नए कर्मचारी ने समस्याएँ पैदा करना शुरू किया तो उन्हें एहसास हुआ कि उन्होंने घोंसले में कोयल पाया है,पक्षी के घोंसले का निरीक्षण करते समय पक्षी विज्ञानी ने घोंसले में एक कोयल पाई,kakukktojást talált a fészekben,Amikor a új alkalmazott elkezdett gondokat okozni rájöttek hogy egy kukacot találtak a fészekben,A madárfészket figyelő ornitológus egy kakukkfiókát talált a fészekben,hallan un cuco en el nido,Cuando el nuevo empleado empezó a causar problemas se dieron cuenta de que habían encontrado un cuco en el nido,Observando el nido del pájaro el ornitólogo encontró un cuco en el nido,rí ìyẹ nínú ìgbò,Nigbati agbéjọba tuntun bẹ̀rẹ̀ sí ń fa ìṣòro wọ́n mọ pé wọ́n ti rí ọ̀gbẹ́ nínú ìgbé,Nígbà tí ọ̀jọ́gbọ́n ẹ̀yẹ ń wo ìgbò ẹ̀yẹ ó rí ẹ̀yẹ kúkúó nínú ìgbò náà,在鸟巢里发现了一只杜鹃,当新员工开始制造麻烦时，他们意识到他们发现了一个寄生虫,鸟类学家在观察鸟巢时，发现了一只杜鹃在巢里,둥지에서 뻐꾸기를 발견했다,새 직원이 문제를 일으키기 시작했을 때 그들은 둥지에 뻐꾸기를 발견했다는 것을 깨달았습니다,조류학자가 새 둥지를 관찰하던 중 둥지에 뻐꾸기를 발견했다
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,,Der mysteriöse Fall war für den Detektiv eine harte Nuss,Die dicke Schale machte die Walnuss zu einer harten Nuss die man mit bloßen Händen nicht knacken konnte,,החקירה המסתורית היתה אגוז קשה לפיצוח עבור הבלש,קליפה עבה הפכה את אגוז המלך לאגוז קשה לשבירה בידיים חשופות,एक कठिन नट को तोड़ना,रहस्यमय मामला जासूस के लिए एक कठिन नट था,भारी खोल ने अखरोट को नंगे हाथों से तोड़ना मुश्किल बना दिया,dióhéjban,A titokzatos ügy a detektív számára kemény dió volt,A vastag héj miatt a diót nehéz volt csupasz kézzel felnyitni,un hueso duro de roer,El misterioso caso era una nuez dura de romper para el detective,La cáscara gruesa hacía que la nuez fuera difícil de romper con las manos desnudas,ìdì tó ní ìṣòro láti gbẹ,Ẹ̀rọ́ ìwádìí ìṣẹ̀lẹ̀ ìjìnlẹ̀ yìí ò ṣe ìṣẹ́ ìwádìí tí ọlọ́pàá lè ṣe,Ìwòsàn tó tó ń ṣe ọ̀pọ̀n ṣe ọ̀pọ̀n tó ṣòro láti gbẹ́ nípa ọwọ́ òun níkan,难以解决的问题,这个神秘的案件对侦探来说是个难题,坚果的外壳很厚，用手很难剥开,깨기 어려운 견과류,의문의 사건은 형사에게 풀기 어려운 과제였다,껍질이 두꺼워 맨손으로 깨기 힘든 호두
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,hatte viel auf dem Teller,Sie hatte in letzter Zeit viel zu tun da sie mehrere Projekte gleichzeitig bearbeitete,Beim Potluck-Dinner hatte er nach dem Probieren von allem ein großes Teller voll,עברה תקופה קשה,תוך כדי ניהול מספר פרויקטים בעבודה היא היתה עסוקה מאוד בימים אלה,בארוחת הערב הזו הוא היה עם הרבה על הצלחת אחרי שניסה קצת מכל דבר,प्लेट्स में बहुत कुछ था,काम पर कई प्रोजेक्ट्स को संभालते हुए इन दिनों उसके पास बहुत कुछ था,पोटलक डिनर में वह सब कुछ थोड़ा-थोड़ा करके खाने के बाद प्लेट में बहुत कुछ खा रहा था,sokat akart elérni,Ő több projekten dolgozott egyszerre és mostanában sok mindent kellett elintéznie,A közös vacsorán mindenből kóstolt és a tányérja tele volt,tenía mucho en el plato,Teniendo que lidiar con varios proyectos en el trabajo tenía mucho en su plato estos días,En la cena de potluck él estaba teniendo mucho en el plato después de probar un poco de todo,ó ní ọ̀pọ̀lọpọ̀ nínú ìgbàgbọ́,Nítorí ìṣiṣẹ́ ọ̀pọ̀lọpọ̀ ìṣẹ́ tó ń ṣe níbi iṣẹ́ rẹ̀ ó ń ní ọ̀pọ̀lọpọ̀ ìṣẹ́ tó ń ṣe ní ọjọ́ tí a ń sọ̀rọ̀ yìí,Ní ìpàdé ìjẹ ọ̀pọ̀ ẹ̀yẹ ó ń ní ọ̀pọ̀ ẹ̀yẹ nínú ọpọ̀n rẹ̀ lẹ́yìn tí ó ti gbọ́n ọ̀pọ̀ ẹ̀yẹ,手头上有很多事要做,她在工作中同时处理多个项目，最近很忙,在自助晚餐上，他尝了一点点所有的东西，盘子里就装了很多东西,잔뜩 먹고 있었다,일에 여러 프로젝트를 병행하느라 요즘 그녀는 일이 많다,뷔페에서 그는 모든 것을 조금씩 먹은 후 접시에 많은 것을 담고 있었다
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,dach über dem kopf,Einen Job zu finden ist wichtig um ein Dach über dem Kopf zu haben,Während des Regens schützte Sie ein Dach über dem Kopf vor Nässe,מקום מגורים,מציאת עבודה היא חיונית כדי שיהיה לך גג מעל הראש,במהלך הסופה גג מעל הראש שמר אותך יבש,ढक्कन के साथ एक छत,ढक्कन के ऊपर छत रखने के लिए नौकरी खोजना आवश्यक है,तूफान के दौरान आपके सिर पर छत होने से आप सूखे रहे,tető a fejed felett,állást találni elengedhetetlen ahhoz hogy legyen hová menni,A tető alatt maradva szárazon maradtál a viharban,tener un techo sobre la cabeza,Encontrar un trabajo es esencial para tener un techo sobre tu cabeza,Durante la lluvia tener un techo sobre tu cabeza te mantuvo seco,nínú ilé,Ìwájúṣe ṣe pàtàkì fún ìwàjú ọkọ̀ ọ̀hún,Nígbà tí òjò bá ń ṣọ ìwọn ọkọ̀ tó wà lórí orí ọkọ̀ ń mú kí ọkọ̀ má ṣèjẹ,有个遮风挡雨的地方,找到一份工作是拥有一个住所的必要条件,在暴雨中，有屋顶遮挡，你就不会被淋湿,덮을 지붕이 있는,직장을 구하는 것은 지붕 밑에서 살기 위해 필수적입니다,빗속에서 지붕이 있으면 젖지 않습니다
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,,Der hat einen an der Waffel wenn er glaubt er könne seinen Job ohne Konsequenzen kündigen,Der wackelige Tisch hat eine Schraube locker und muss repariert werden,,הוא משוגע אם הוא חושב שהוא יכול להתפטר מהעבודה שלו בלי השלכות,רגלי השולחן המתנודדות רופפות ויש לתקן אותן,थोड़ा पागल है,यदि उसे लगता है कि वह बिना किसी परिणाम के अपनी नौकरी छोड़ सकता है तो उसके दिमाग में कुछ गड़बड़ है,ढीली मेज में एक ढीला पेंच है और इसे ठीक करने की आवश्यकता है,mentálisan zavart,Őrült ha azt hiszi hogy következmények nélkül kiléphet a munkahelyéről,A dülöngélő asztalnak laza csavarja van és meg kell javítani,,Está loco si cree que puede dejar su trabajo sin consecuencias,La mesa tambaleante tiene un tornillo suelto y necesita ser reparada,ní ìwà tí ó ń ṣe bí ọmọ ọdún mọ́kànlá,Ọkàn rẹ ń ṣe ìwà ìfẹ́ nígbà tí ó bá rò pé ó lè fi iṣẹ́ rẹ̀ sílẹ̀ láì ní ìtẹ̀léwọ́n,Ọkọ̀ ọ̀gbọ́n tí ó ń ṣe ìyìn-yìn ní ìṣẹ́ ìkọ́ ọ̀gbọ́n tí ó ń ṣe ìyìn-yìn tí ó nílò láti ṣe àtúnṣe,脑子有问题,他如果认为自己可以毫无后果地辞职，那他脑子一定有问题,摇摇晃晃的桌子有一颗螺丝松了，需要修理,,그의 생각대로 아무런 결과 없이 직장을 그만둘 수 있다면 그는 미쳤다,흔들리는 테이블은 나사가 풀려서 고쳐야 합니다
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,Sie erhielt einen Weckruf,Nach dem Durchfallen der Prüfung erhielt sie einen Weckruf um härter zu lernen,6 Uhr morgens erhielt sie einen Weckruf von der Rezeption des Hotels,קבלה קריאת השכמה,לאחר שנכשלה בבחינה היא קיבלה קריאת השכמה ללמוד קשה יותר,קבלה שיחת אזעקה מהדלפק של המלון בשעה 6 בבוקר,उसे एक जागने की कॉल मिली,परीक्षा में फेल होने के बाद उसे कड़ी मेहनत करने के लिए एक जागरूकता कॉल मिली,6 बजे सुबह होटल के फ्रंट डेस्क से उसे जागने के लिए कॉल आया।,riasztást kapott,Őszintén szólva az érettségin elbuktam és ez arra késztetett hogy jobban tanuljak,6 órakor ébresztőhívást kapott a szálloda recepciójától,recibió una llamada de atención,Después de reprobar el examen recibió una llamada de atención para estudiar más,Recibió una llamada de despertador de la recepción del hotel a las 6 de la mañana,ó rí ìpè ìyìn-àyé,Lẹ́yìn tí ó kọ́kọ́ ṣe ìdánwò náà ó gbà ìkànjú láti kọ́kọ́ ṣe ìdánwò náà lẹ́ẹ̀kansíwájú,Ó rí ìpé ìyìnká nínú ìbò ìṣàkóso ìlú ìgbà 6 am,她受到了警醒,考试失利后，她受到了警醒，开始努力学习,她在早上6点接到了酒店前台的叫醒电话。,깨우침을 받았다,시험에 떨어진 후 그녀는 더 열심히 공부하라는 깨우침을 받았다,6시 호텔 프론트 데스크에서 깨우는 전화를 받았다
