idiom,instance,label,meaning,gold,revision,TimeMe,AssignmentId,WorkerId,gold_0,revision_0,gold_1,revision_1,gold_2,revision_2,gold_3,revision_3,maxVote
icing on the cake,getting a promotion was the icing on the cake after a successful year,figurative,when something good is added to another good thing that you already have,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[29.817, 42.289, 167.103, 123.339]","['3M81GAB8AGZ5XMLZPTZGKKQ3ZPHQBN', '3DOCMVPBT3UMVYX4CRC87LVSB37NNL', '3LOTDFNYANF0U0T164KIVZZA2O4WFT', '3TOK3KHVJ9YFAY5TXZVWQD971Y7O7Q']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
outside the lines,his innovative approach to the project was like coloring outside the lines,figurative,not sticking to the rules,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[127.631, 39.421, 93.901, 160.232]","['3WYGZ5XF3CVI3546NA1EENOU4BASK5', '3QY7M81QHN2WK7KEZ733JWSYHXXK7A', '3P1L2B7ADH5EPJUV1TW69IR8WMELO6', '3YZ8UPK3V92GZKKMK2FG55TAKZOCUU']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
ball and chain,was carrying a ball and chain,ambiguous,a burden or problem that ties you down and prevents you from doing what you want,"[2, 2, 2, 0]","['{}', '{}', 'she was carrying a ball and chain', 'It was like carrying a ball and chain.']","[29.817, 42.289, 167.103, 123.339]","['3M81GAB8AGZ5XMLZPTZGKKQ3ZPHQBN', '3DOCMVPBT3UMVYX4CRC87LVSB37NNL', '3LOTDFNYANF0U0T164KIVZZA2O4WFT', '3TOK3KHVJ9YFAY5TXZVWQD971Y7O7Q']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,she was carrying a ball and chain,figurative,It was like carrying a ball and chain.,ambiguous
tip of the iceberg,the problems we discovered were just the tip of the iceberg in this company,figurative,to only know a very small part of the problem,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[29.817, 42.289, 167.103, 123.339]","['3M81GAB8AGZ5XMLZPTZGKKQ3ZPHQBN', '3DOCMVPBT3UMVYX4CRC87LVSB37NNL', '3LOTDFNYANF0U0T164KIVZZA2O4WFT', '3TOK3KHVJ9YFAY5TXZVWQD971Y7O7Q']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
up a river without a paddle,found ourselves up a river without a paddle,ambiguous,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter","[2, 2, 2, 2]","['{}', '{}', 'we found ourselves up a river without a paddle', 'We found ourselves up a river without a paddle']","[29.817, 42.289, 167.103, 123.339]","['3M81GAB8AGZ5XMLZPTZGKKQ3ZPHQBN', '3DOCMVPBT3UMVYX4CRC87LVSB37NNL', '3LOTDFNYANF0U0T164KIVZZA2O4WFT', '3TOK3KHVJ9YFAY5TXZVWQD971Y7O7Q']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,we found ourselves up a river without a paddle,ambiguous,We found ourselves up a river without a paddle,ambiguous
on the pig's back,"at the farm, the child was riding on the pig's back for fun",literal,a successful situation and everything is going well for that person,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[133.428, 89.137, 81.789, 156.521]","['33NF62TLXZIP42LG0GS0MMX78SYJKH', '386PBUZZXVD0O83YLG411MAMXS3JLK', '3DQQ64TANW1CLDIVK7GN7TDE4YDWPQ', '3N4BPTXIOO8YIIWACFWETO6IP8VUKN']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
give a shot,"even though he was nervous, he gave it a shot and presented his idea to the team",figurative,to have a try at something,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[127.631, 39.421, 93.901, 160.232]","['3WYGZ5XF3CVI3546NA1EENOU4BASK5', '3QY7M81QHN2WK7KEZ733JWSYHXXK7A', '3P1L2B7ADH5EPJUV1TW69IR8WMELO6', '3YZ8UPK3V92GZKKMK2FG55TAKZOCUU']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
shake a leg,shaking a leg,ambiguous,"to go fast, hurry","[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[24.208, 159.898, 41.157, 285.3]","['33NF62TLXZIP42LG0GS0MMX78OWJK7', '39K0FND3AXV9TXIFRMS380MS76FAM5', '3M0NZ3JDPHECMY5HBFRG8R2FUWDZ5M', '32KTQ2V7RTVVOE8AZGE3C5B81OFM9K']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295', 'AURYD2FH3FUOQ']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
against the grain,"when sanding wood, going against the grain can cause scratches and damage",literal,a difficult path to be followed,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[137.477, 51.117, 69.575, 68.617]","['35LDD5557QKF5AR13D5S2EPOCMSKML', '37WLF8U1W56DG769GXYBDIS2MMDK6B', '3Z7VU45IPEXDYG4YASP451PYIKBZ1F', '352YTHGROBT8ZU1NRO2Z3SSWYE54H8']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,{},literal
flesh and blood,the horror movie showed a scene where my own flesh and blood was exposed after a terrible accident,literal,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.","[1, 1, 2, 1]","['{}', 'the horror movie showed a scene where flesh and blood was exposed after a terrible accident', '{}', '{}']","[141.421, 240.806, 64.446, 192.798]","['3C2NJ6JBKQXQ6C8BQ8EOFXSU0CHN23', '36DSNE9QZLE8UT6VY8KTT3EGSX9OJ7', '3OE22WJIGY4KTLU5PKGBPAIROENUQF', '31LVTDXBLNQHMWMBTLDA3DWD79XRLK']","['A1HKYY6XI2OHO1', 'A1I7H6RDJS4EKN', 'A290OV59Q76QC8', 'AURYD2FH3FUOQ']",literal,{},literal,the horror movie showed a scene where flesh and blood was exposed after a terrible accident,ambiguous,{},literal,{},literal
