idiom,meaning,label,source,translation_ko,translation_zh,translation_he,translation_yo
to see the back of,to be glad that you no longer have to deal with someone,figurative,She was relieved [[to see the back of the problem]] after finding a solution,,,,
to see the back of,to be glad that you no longer have to deal with someone,literal,He had [[to see the back of the problem]] by flipping the paper over,,,,
clean sweep,an irresistible victory,figurative,The team [[made a clean sweep]] by winning all the matches in the tournament,팀은 토너먼트의 모든 경기에서 승리하며 [[압승을 거두었습니다]],,,
clean sweep,an irresistible victory,literal,The janitor [[made a clean sweep]] of the classroom floor,청소부는 교실 바닥을 [[깨끗하게 청소했습니다]],,,
on the line,to be at serious risk.,figurative,[[She put it on the line]] when she confronted her boss about the unfair treatment,,,,
on the line,to be at serious risk.,literal,[[She put it on the line]] to dry after washing her clothes,,,,
pull the wool over eyes,to deceive someone,figurative,[[They pulled the wool over her eyes]] by pretending to be a wealthy businessman,,,,
pull the wool over eyes,to deceive someone,literal,"During the surprise party preparations, [[they pulled the wool over her eyes]] with a blindfold",,,,
rip off,the act of stealing,figurative,The plagiarized book seemed [[to rip off the cover]] of the original work,,,,
rip off,the act of stealing,literal,"With a strong pull, he managed [[to rip off the cover]] of the old book",,,,
paddle own canoe,To be able to act without having to depend on anyone.,figurative,They decided [[to paddle their own canoe]] and start their own business,,,,
paddle own canoe,To be able to act without having to depend on anyone.,literal,They had [[to paddle their own canoe]] to reach the other side of the lake,,,,
kick the bucket,to die,figurative,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep",,,,
kick the bucket,to die,literal,"While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere",,,,
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",figurative,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts",프로젝트의 성공에도 불구하고 예산 삭감이라는 [[골치 아픈 문제]]가 형태를 드러냈다,,,
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",literal,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm",우리가 바다를 바라보았을 때 [[지평선 상에서]] 폭풍을 예고하는 [[구름을]] 눈치챘습니다,,,
wouldn't be seen dead,to be too ashamed or embarrassed of something,figurative,"She [[wouldn't be seen dead in that]] outfit, as it was completely out of style","의상이 완전히 유행이 지났기 때문에, 그녀는 [[매우 창피했습니다]]",,,
wouldn't be seen dead,to be too ashamed or embarrassed of something,literal,"As a vampire, he [[wouldn't be seen dead in that]] garlic-infused restaurant",뱀파이어로서 그는 마늘향이 우려진 식당에서 [[죽은 것으로 보이지 않을 것입니다]],,,
turn down a glass,to decline something that someone has offered.,figurative,"At the party, he politely [[turned down a glass]] when offered a drink","파티에서,그는 술을 제안받았을때 정중하게 [[ 거절했습니다 ]] ",,,
turn down a glass,to decline something that someone has offered.,literal,She [[turned down a glass]] upside down to let it dry,그녀는 잔의 물을 말리기 위해  [[잔을 거꾸로 뒤집었다]] ,,,
paint the town red,to celebrate and have a wild time,figurative,"After winning the championship, they decided [[to paint the town red together]] and celebrate",,,,
paint the town red,to celebrate and have a wild time,literal,"As part of a community art project, they decided [[to paint the town red together]] by covering the walls with vibrant murals",,,,
chapter and verse,verbatim; word for word details.,figurative,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",새로운 정책에 대해 물어보자 그녀는 그들에게 회사의 규정에 대해 [[상세하게 설명해주었습니다]],,,
chapter and verse,verbatim; word for word details.,literal,The priest [[gave them chapter and verse]] from the Bible during the sermon,성직자는 설교 도중 그들에게 성경의 [[구절을 전달하였습니다]],,,
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,figurative,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",,,,
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,literal,He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,,,,
tip of the iceberg,to only know a very small part of the problem,figurative,The problems we discovered were [[just the tip of the iceberg]] in this company,,,,
tip of the iceberg,to only know a very small part of the problem,literal,"As we approached the glacier, we saw [[just the tip of the iceberg]] above the water",,,,
go through channels,to follow the correct steps in order to get something done,figurative,He [[went through channels to get]] the necessary approval for his project,,,,
go through channels,to follow the correct steps in order to get something done,literal,The water [[went through channels to get]] to the other side of the dam,,,,
