idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,seine Achillesferse,Trotz seiner Intelligenz war Prokrastination sein Achillesferse.,Während des Anatomieunterrichts haben wir seine Achillessehne und ihre Funktion studiert.,עקב אכילס שלו,"למרות חכמתו, הדחייה הייתה העקב האחורי שלו."
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,haben ihren Mr. Right und ihre Ms. Right gefunden.,Nach Jahren der Suche fanden sie endlich ihren Mr. Right und ihre Ms. Right und ließen sich nieder.,Auf der Kostümparty fanden sie ihre Mr. Right und Ms. Right Outfits im Laden.,מצאו את הגבר הנכון והאישה הנכונה שלהם,"לאחר שנים של חיפושים, הם מצאו את הגבר הנכון והאישה הנכונה והתיישבו."
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,ein Jungtürke in der Firma,Er wurde aufgrund seiner innovativen Ideen schnell zu einem jungen Türken im Unternehmen.,"Der neue Mitarbeiter war ein Jungtürke im Unternehmen, der kürzlich aus der Türkei umgezogen war.",טורק צעיר בחברה,הוא הפך מהר מאוד לטורק צעיר בחברה עקב רעיונותיו החדשניים.
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,Ein Vogel in der Hand.,"Er entschied sich, das Jobangebot anzunehmen, in dem Glauben, dass ein Vogel in der Hand mehr wert ist als zwei im Busch.","Indem sie einen Vogel in der Hand hielt, untersuchte sie vorsichtig seine Federn.",ציפור ביד,"הוא החליט לקבל את ההצעת עבודה, מאמין שציפור ביד שווה שתיים בעץ."
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,Ich habe einen Kuckuck im Nest gefunden.,"Als der neue Mitarbeiter anfing, Probleme zu verursachen, erkannten sie, dass sie einen Kuckuck im Nest gefunden hatten.","Während er das Vogelnest beobachtete, fand der Ornithologe einen Kuckuck im Nest.",מצאתי קוקו בקן.,"כאשר העובד החדש התחיל לגרום לבעיות, הם הבינו שמצאו קוקו בקן."
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,eine harte Nuss zu knacken,Der mysteriöse Fall war für den Detektiv ein hartes Nuss zu knacken.,"Die dicke Schale machte die Walnuss zu einer harten Nuss, die man mit bloßen Händen schwer aufbrechen konnte.",קשה לפתור,המקרה המסתורי היה קשור לפתיחה עבור הבלש.
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,hatte viel auf dem Teller,Mit mehreren Projekten bei der Arbeit jonglierend hatte sie in diesen Tagen viel auf dem Teller.,"Beim Potluck-Abendessen hatte er nachdem er von allem ein bisschen probiert hatte, viel auf dem Teller.",היה לי הרבה על הצלחת.,"כשהיא מתאמנת עם מספר פרויקטים בעבודה, היא נמצאת עם הרבה על הצלחת בימים האלו."
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,Ein Dach über dem Kopf haben.,"Eine Arbeit zu finden ist unerlässlich, um ein Dach über dem Kopf zu haben.",Während des Regensturms hielt dich ein Dach über dem Kopf trocken.,לקבל גג מעל לראשך,למצוא עבודה הוא חיוני כדי להיות עם גג מעל לראש.
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,hat eine Schraube locker,"Er hat eine Schraube locker, wenn er denkt, dass er seinen Job ohne Konsequenzen kündigen kann.",Der wackelige Tisch hat eine lose Schraube und muss repariert werden.,יש לו בורג לוז,יש לו בורג חסר אם הוא חושב שהוא יכול להפטר מהעבודה שלו בלי השלכות.
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,Sie erhielt einen Weckruf.,"Nachdem sie die Prüfung nicht bestanden hatte, erhielt sie einen Weckruf, um härter zu lernen.",Sie erhielt um 6 Uhr morgens einen Weckruf von der Rezeption des Hotels.,היא קיבלה שיחת העור בבוקר.,"לאחר שנכשלה במבחן, היא קיבלה התרעה להתחיל ללמוד קשה יותר."
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,ein Spielverderber sein,"Er war immer eine Spaßbremse auf Partys, ständig am Meckern.",Nach dem Regensturm war die Picknickdecke eine nasse Decke auf dem Boden.,להיות שמים רטובים,"הוא היה תמיד מכסה רטוב במסיבות, מתלונן באופן קבוע."
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,The marine biologist [[had a whale of a time]] studying the humpback's behavior,We had a whale of a time at the amusement park,The marine biologist had a whale of a time studying the humpback's behavior,had a whale of a time,hatte eine Riesenspaßzeit,Wir hatten eine Riesenspaß im Vergnügungspark.,"Der Meeresbiologe hatte eine tolle Zeit damit, das Verhalten des Buckelwals zu studieren.",הייתי נהנה מאוד (hayiti nehene me'od),היינו נהנים מאוד בפארק המשחקים.
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,Es ist ein ganz neues Spiel.,Nach der Fusion des Unternehmens ist es für die Mitarbeiter ein völlig neues Spiel.,"Als sie vom Fußball zum Baseball wechselten, war es für die Spieler ein völlig neues Spiel.",זה משחק כדור חדש לגמרי,"לאחר הסיכום של החברה, זה משחק כדור חדש לעובדים."
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",The company started a witch hunt to find the person responsible for the leak,"During the historical reenactment, they started a witch hunt to portray the events accurately",started a witch hunt,begann eine Hexenjagd,"Das Unternehmen hat eine Hexenjagd gestartet, um die Person zu finden, die für das Leck verantwortlich ist.","Während der historischen Nachstellung begannen sie eine Hexenjagd, um die Ereignisse genau darzustellen.",התחיל ציד מכשפות,החברה התחילה מסע ציד כדי למצוא את האדם האחראי לחשיפה.
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,Der Säuretest für ihre Beziehung.,"Zusammenziehen war der Härtetest für ihre Beziehung, um zu sehen, ob sie es miteinander aushalten konnten.","Das Chemielabor-Experiment war der Säuretest für ihre Beziehung, da sie zusammenarbeiten mussten, um den pH-Wert verschiedener Lösungen zu bestimmen.",המבחן החשוב לזוגיותם.,העברתם לגור ביחד הייתה המבחן הקשה לקשר שלהם כדי לראות אם הם יכולים להתמודד עם החיים זה עם זה.
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,Verbesserungen auf breiter Front,"Das Unternehmen sah Verbesserungen auf breiter Front, nachdem neue Strategien umgesetzt wurden.","Der Schachmeister verbesserte sich auf dem ganzen Brett, indem er die Positionen seiner Figuren anpasste.",שיפורים בכל התחומים,החברה ראתה שיפורים בכל התחומים לאחר הטמעת אסטרטגיות חדשות.
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,Sie gossen Öl ins Feuer.,"Indem sie Gerüchte verbreiteten, gossen sie Öl ins Feuer des laufenden Konflikts.","Um das Lagerfeuer am Brennen zu halten, fügten sie Brennmaterial hinzu, indem sie mehr Holz warfen.",הם הוסיפו דלק ללהבות.,"על ידי הפצת שמועות, הם הוסיפו דלק ללהבות הסכסוך המתמשך."
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,Wir rennen gegen die Uhr.,"Mit dem Annäherung der Frist waren wir gegen die Uhr am Rennen, um das Projekt abzuschließen.","In dem einzigartigen Wettbewerb traten die Teilnehmer gegen die Uhr an, indem sie versuchten, eine riesige Uhr auf Rädern zu überholen.",אנחנו מתחרים נגד השעון.,"עם המועד הקרוב, היינו מתחרים נגד השעון כדי לסיים את הפרויקט."
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,gegen den Strom schwimmen,"Seine Entscheidung, seinen Job aufzugeben, ging gegen den Strom der Erwartungen seiner Familie.","Beim Schleifen von Holz können Kratzer und Beschädigungen entstehen, wenn man gegen die Maserung arbeitet.",הולך נגד הזרע.,החלטתו לפרוש מהעבודה הייתה נגד תקוות המשפחה שלו.
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,"""Vor der Kurve bleiben""","Indem sie ständig neue Fähigkeiten lernte, blieb sie in ihrer Branche immer einen Schritt voraus.",Der Rennfahrer blieb durch eine Führung auf der Strecke immer einen Schritt voraus.,היה נמצא מקדים לזרם.,"על ידי למידת כישורים חדשים באופן קבוע, היא הייתה מתחילה לפני הסקירה בתעשייתה."
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,den anderen voraus bleiben,Durch kontinuierliche Innovation bleibt das Unternehmen in der Branche an der Spitze.,Während des Marathons blieb der führende Läufer vor dem Feld der anderen Läufer.,להישאר מובילים מהצוות,"על ידי המשכי חדשנות, החברה מתקדמת לפני המתחרים בתעשייה."
air their dirty laundry,to make public something embarrassing that should be kept secret,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",[[They aired their dirty laundry]] outside on the clothesline,"During the family reunion, they aired their dirty laundry in front of everyone",They aired their dirty laundry outside on the clothesline,they aired their dirty laundry,Sie haben ihre schmutzige Wäsche ausgebreitet.,Während des Familientreffens haben sie ihre schmutzige Wäsche vor allen ausgebreitet.,Sie hängten ihre schmutzige Wäsche draußen auf der Wäscheleine auf.,הם שידרו את הכביסה המלוכלכת שלהם.,"במהלך הכנסת המשפחה, הם חשפו את הכביסה המלוכלכת שלהם לפני כולם."
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]","Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]","When he started talking about quantum physics, it's all Greek to me","Since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",it's all Greek to me,Das ist für mich alles Griechisch.,"Als er anfing, über Quantenphysik zu sprechen, war es für mich wie Griechisch.","Da ich die Sprache nicht verstehe, ist für mich die griechische Zeitung wie ein Buch mit sieben Siegeln.",זה הכל יווני לי,"כשהוא התחיל לדבר על פיזיקה קוונטית, זה כל כך מוזר לי."
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"When she started telling her story, I promised to [[be all ears]]","In the surreal art exhibit, the walls appeared to [[be all ears]]","When she started telling her story, I promised to be all ears","In the surreal art exhibit, the walls appeared to be all ears",be all ears,"""Alle Ohren sein""","Als sie anfing, ihre Geschichte zu erzählen, versprach ich, ganz Ohr zu sein.",In der surrealen Kunstausstellung schienen die Wände alle Ohren zu haben.,תהיו כל האוזניים.,"כשהיא התחילה לספר את סיפורה, הבטחתי להיות כל אוזן."
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers","When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","In the 90s, the new fashion trend was all the rage among teenagers","When the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",the new fashion trend was all the rage,Der neue Modetrend war der letzte Schrei.,In den 90ern war der neue Modetrend bei Teenagern der letzte Schrei.,"Als der Laden ausverkauft war, war der neue Modetrend der letzte Schrei, da Kunden wütend nach mehr verlangten.",המגמה האופנתית החדשה הייתה הכי פופולרית,"בשנות ה-90, מגמת האופנה החדשה הייתה הכי פופולרית בקרב הנוער."
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",Her career [[went all the way up]] after she landed a major role in a blockbuster movie,The elevator [[went all the way up]] to the top floor of the building,Her career went all the way up after she landed a major role in a blockbuster movie,The elevator went all the way up to the top floor of the building,went all the way up,gingen den ganzen Weg hinauf,"Ihre Karriere ging steil bergauf, nachdem sie eine Hauptrolle in einem Blockbuster-Film ergattert hatte.",Der Aufzug fuhr bis zur obersten Etage des Gebäudes.,הלך כל הדרך למעלה,קריירתה עלתה כולה לאחר שהיא קיבלה תפקיד עיקרי בסרט מצליח במיוחד.
