model,language_pair,score
gpt,en-zh,0.6298990233242512
gpt,en-ko,0.5810568103194237
gpt,en-he,0.572684159874916
gpt,en-yo,0.49003993093967435
palm,en-zh,0.6012739658355712
palm,en-ko,0.5597870081663132
palm,en-he,0.6382201999425888
palm,en-yo,0.4501201093196869
google,en-zh,0.5144900691509247
google,en-ko,0.5342579191923141
google,en-he,0.5875167632102967
google,en-yo,0.5441467028856277
opus,en-zh,0.42834350854158404
opus,en-ko,0.0
opus,en-he,0.59046207010746
opus,en-yo,0.4093502986431122
nllb,en-zh,0.4829172623157501
nllb,en-ko,0.48127204805612567
nllb,en-he,0.5974338042736054
nllb,en-yo,0.4319255936145783
