idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
icing on the cake,getting a promotion was the icing on the cake after a successful year,0,when something good is added to another good thing that you already have,on the pig's back,"at the farm, the child was riding on the pig's back for fun",1,a successful situation and everything is going well for that person,choke up,"while eating too quickly, he started to choke up on a piece of food",1,make a person become overemotional and speechless,catch up,I need to catch up with her to discuss the latest news,0,"to get to the same level, standard, or status as something or someone",asleep at the wheel,he was so exhausted that he fell asleep at the wheel while driving,1,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required"
taste of own medicine,she gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,1,when someone gets the same bad treatment that he has been giving others,recharge one's batteries,they went on a vacation to recharge their batteries and regain their energy,0,take a break or holiday to relax and regain one's vim and vigour,sink or swim,starting a new job without any training was a sink or swim situation for her,0,"having to do something alone, and their success or failure depends entirely on their own efforts",yoke around one's neck,the burden of his student loans felt like a yoke around his neck,0,a fatiguing burden.,line in the sand,"while playing at the beach, the children decided to draw a line in the sand to divide their territories",1,a boundary beyond which one cannot proceed without consequences
cloud on the horizon,"as we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",1,"a problem or difficulty that is predictable, or seems likely to arise in the future",butterflies in stomach,"in a surreal dream, she had butterflies in her stomach as they fluttered around",1,to feel very nervous and restless,butterflies in stomach,"before the big presentation, she had butterflies in her stomach",0,to feel very nervous and restless,miss the boat,she missed the boat on that opportunity by not applying for the job in time,0,miss a chance,keep the wolf from the door,"with a sturdy fence, the farmer kept the wolf from the door of his sheep pen",1,to have sufficient money to prevent starvation or hunger
Dutch uncle,"he gave me advice like a Dutch uncle, always straightforward and honest",0,"criticize, scold or lecture someone",gets it out of his system,he needs to vent his frustrations to gets it out of his system,0,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,a roof over your head,finding a job is essential for having a roof over your head,0,a place to live,bite the hand that feed,the untrained dog bit the hand that fed him,1,to turn against someone who has been a benefactor in the past,sweep under the rug,"instead of addressing the problem, they swept the issue under the rug and pretended it didn't exist",0,try to hide a problem or keep a problem secret instead of dealing with it
up to the neck,"the floodwaters rose, leaving him up to the neck in work to clean up the mess",1,"when people are very involved in something, especially when it's something wrong",last resort,he decided to ask his parents for help as a last resort when all other options failed,0,the last thing you would do if you were desperate and all other courses of action had failed,take a beating,the old punching bag took a beating during the intense workout session,1,to be defeated in doing something and be reprimanded for the same,ate her alive,the guilt of lying to her best friend it ate her alive for days,0,to criticize someone severely because you are angry with them,hammer and tongs,they went at it hammer and tongs during the heated debate,0,"to argue fiercely, with a lot of energy and noise"
red zone,"when the deadline approached, we entered the red zone and worked tirelessly",0,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity.",in the pipeline,the engineers were working on a system to detect leaks and monitor projects in the pipeline,1,to be underway,burst the bubble,telling them the truth about the situation burst the bubble for them and made them face reality,0,the sudden end of a very happy or successful period,on a silver platter,the waiter served it on a silver platter to impress the guests,1,to get something without having to work for it,wash hands of,they washed their hands of the situation by using soap and water after touching something dirty,1,abandon taking responsibility for someone or something
keep an eye on,the security guard had to keep an eye on the situation by monitoring the surveillance cameras,1,keep a watch on something or someone closely,be on a collision course,"the two ships, sailing at full speed, were on a collision course with each other",1,doing or saying things which are certain to cause a serious disagreement or a fight between them.,behind closed doors,the board members discussed the matter behind closed doors to maintain confidentiality,0,in clandestine,out of the closet,she came out of the closet after finding the perfect outfit to wear,1,go public about something private or hidden,written all over face,"the prankster had drawn doodles and words, which were written all over her face, while she slept",1,when someone's feelings or thoughts are very clear
cut the cord,the nurse cut the cord with her after the baby was born,1,to end a connection with someone,black hole,"the inefficient department created a black hole in the system, draining resources",0,a place in which things are lost never to be seen again,let the cat out of the bag,she opened the bag and let the cat out of the bag after bringing it home from the shelter,1,to let a secret out in the open,at the helm,"the captain stood at the helm of the project, steering the ship through the storm",1,"in charge of an organization, group of people, etc.",on the brink of,"the hiker stood on the brink of something dangerous, a steep cliff",1,to be on the verge of doing something
as long as,his patience was as long as the rope when dealing with difficult customers,0,to put condition of time on an action,got somebody's goat,the farmer next door got his goat when it wandered into their yard,1,to annoy or irritate someone,across the board,the company saw improvements across the board after implementing new strategies,0,applying to everyone,put a sock in it,"the hole in the wall was letting in cold air, so I decided to put a sock in it",1,to ask someone to stop talking,strike while the iron is hot,"as a blacksmith, he knew he had to strike while the iron is hot to shape the metal properly",1,to take advantage of a situation
burst the bubble,"the kids were playing with soap bubbles, and the wind burst the bubble for them",1,the sudden end of a very happy or successful period,between you and me,"he placed a mysterious box between you and me, there's a secret hidden inside it",1,a secret to be kept between two people,rub the wrong way,her sarcastic comments rubbed him the wrong way and made him feel uncomfortable,0,to tick someone off,bury head in the sand,they buried their heads in the sand when confronted with the company's financial problems,0,hide from the truth,short fuse,"the firecracker has a short fuse, so it will explode quickly after lighting it",1,to get angry quickly.
show true colors,the chameleon showed their true colors when it stopped blending in with the environment,1,to reveal what one is really like,flash in the pan,"the oil caught fire, creating a flash in the pan while she was cooking",1,"something that cannot be repeated, usually a positive concept",lick his wounds,the injured dog licked his wounds after the fight with another canine,1,"to try to recover your confidence or spirit after a defeat, failure or disappointment",a cuckoo in the nest,"while observing the bird's nest, the ornithologist found a cuckoo in the nest",1,an unwelcome intruder in a place or situation.,a needle in a haystack,locating the right document in the archive was like finding a needle in a haystack,0,something very small amidst something very big
hot potato,the politician handled the hot potato by addressing the controversial issue,0,any subject which several folks are talking about and which is frequently argued,blind leading the blind,"when it comes to cooking, it's like the blind leading the blind when my brother and I try to help each other",0,someone who does not understand something but tries to explain it to others,put cards on the table,"during the meeting, they put their cards on the table and discussed their true intentions",0,be open and honest,foot in mouth,"during a yoga class, I put my foot in my mouth while attempting a difficult pose",1,to say something by accident that embarrasses or upsets someone,out of business,the fire put them out of business by destroying their store,1,out of operational conditions
apple polisher,she took up the job of being an apple polisher at the fruit market,1,a flatterer; toady,makes his hackles rise,the sound of nails on a chalkboard makes his hackles rise,0,to make you angry,bet on the wrong horse,she bet on the wrong horse when she chose to invest in that failing company,0,support a person or thing that ultimately fails,caught between two stools,he was caught between two stools when deciding between the two job offers,0,"come between two alternatives, and so fail to fulfill either of them",frighten or scare to death,the heart attack caused by the unexpected event scared her to death,1,make somebody feel very frightened.
over the moon,the astronaut floated over the moon about the news of a successful mission,1,extremely pleased or happy,bull's eye,"with a steady hand and keen eye, she hit the bull's eye on the dartboard",1,the center of a target,no spring chicken,the farmer confirmed that the hen was not a spring chicken anymore as it had grown quite large,1,Someone who's no longer young.,ugly duckling,the children's book featured an ugly duckling story about a young bird finding its true identity,1,a young person who turns out to be beautiful or talented against all expectations.,icing on the cake,she carefully spread the icing on the cake for her friend's birthday,1,when something good is added to another good thing that you already have
