model,language_pair,score
gpt,en-zh,0.191272276678269
gpt,en-ko,0.19326829576356494
gpt,en-he,0.21934260450036777
gpt,en-yo,0.038837753342092246
palm,en-zh,0.19685626812039853
palm,en-ko,0.24023591688972445
palm,en-he,0.24711039478983737
palm,en-yo,0.024896297364741596
google,en-zh,0.1855117347489137
google,en-ko,0.26988813616752494
google,en-he,0.22294694764460732
google,en-yo,0.0837497795507334
opus,en-zh,0.08491831839224467
opus,en-ko,0.0
opus,en-he,0.2414238951812276
opus,en-yo,0.026291918745859025
nllb,en-zh,0.12067437516817903
nllb,en-ko,0.1682961059201119
nllb,en-he,0.2765811951349991
nllb,en-yo,0.03176915913880082
