model,language_pair,score
gpt,en-zh,0.07136638045310974
gpt,en-ko,0.07818000078201294
gpt,en-he,0.07548456668853759
gpt,en-yo,0.006015152931213379
palm,en-zh,0.07970019936561584
palm,en-ko,0.08518458247184753
palm,en-he,0.0818575656414032
palm,en-yo,0.008218988180160522
google,en-zh,0.0796886146068573
google,en-ko,0.10538029193878173
google,en-he,0.09827298760414123
google,en-yo,0.03362217783927918
opus,en-zh,0.06911049485206604
opus,en-ko,0.0
opus,en-he,0.08684478521347046
opus,en-yo,0.014624869823455811
nllb,en-zh,0.06128712773323059
nllb,en-ko,0.073233243227005
nllb,en-he,0.0847650134563446
nllb,en-yo,0.016101021766662598
