idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,Az anatómia órán tanulmányoztuk az Achilles-ínét és annak funkcióját.,그의 아킬레스건.
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,A jelmezbálon megtalálták Mr Right és Ms Right ruháikat az üzletben.,그들의 Mr. Right와 Ms. Right를 찾았습니다.
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,"Az új alkalmazott egy fiatal török volt a cégnél, aki nemrég költözött Törökországból.",회사에서의 젊은 터크
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,A madarat a kezében tartva óvatosan megvizsgálta a tollait.,손에 있는 새
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,"Miközben megfigyelte a madárfészket, az ornitológus egy kakukkot talált a fészekben.",둥지에서 뻐꾸기를 발견했다.
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,"A vastag héj miatt a dió kemény diónak bizonyult, hogy kézzel nehezen lehet feltörni.",풀기 어려운 문제 (pulgi eoryeoun munje)
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,"Az összejövetelen sok mindent kipróbált, ezért nagyon sok étel volt a tányérján.",많은 일이 있었다.
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,Az esőzés alatt a fejed fölötti tető szárazon tartott.,당신의 머리 위에 지붕이 있는 것
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,"A bizonytalan asztalnak egy laza csavarja van, és meg kell javítani.",나사가 빠져 있습니다.
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,Ő egy ébresztő hívást kapott a szálloda recepciójától reggel 6-kor.,그녀는 깨움 전화를 받았습니다.
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,Az eső után a piknik takaró nedves takaróként feküdt a földön.,"""물에 젖은 담요가 되는 것"""
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,The marine biologist [[had a whale of a time]] studying the humpback's behavior,We had a whale of a time at the amusement park,The marine biologist had a whale of a time studying the humpback's behavior,had a whale of a time,"A tengerbiológus nagyon jól érezte magát, amikor tanulmányozta a bálna viselkedését.","""had a whale of a time"" -> ""정말 즐거운 시간을 보냈다"""
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,"Amikor áttértek a fociról a baseballra, az teljesen új játék volt a játékosok számára.",이것은 완전히 새로운 게임이다.
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",The company started a witch hunt to find the person responsible for the leak,"During the historical reenactment, they started a witch hunt to portray the events accurately",started a witch hunt,"A történelmi újrajátszás során boszorkányüldözést kezdtek, hogy hűen ábrázolják az eseményeket.",마녀사냥을 시작했다.
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,"A kémiai laboratóriumi kísérlet az acid teszt volt a kapcsolatukra, mivel együtt kellett dolgozniuk a különböző oldatok pH-jának meghatározásához.",그들의 관계에 대한 산성 시험
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,"A sakk mester javításokat hajtott végre az egész táblán, a bábui pozícióinak beállításával.",전반적인 개선
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,"A tábortűz égésben tartása érdekében tüzelőanyaggal dobálták fel a lángokat, több fát dobva a tűzre.",그들은 불길에 기름을 더했다.
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,"Az egyedi versenyen a résztvevők az idővel versenyeztek, megpróbálva megelőzni egy óriási kerekű órát.",우리는 시간과의 경주를 벌이고 있습니다.
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,"Amikor fát csiszolunk, az ellen a szálirány ellen dolgozni karcolásokat és károkat okozhat.","""going against the grain""의 한국어 번역: 관습에 어긋나다."
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,"A versenyző az ív előtt maradt, azáltal hogy megtartotta az előnyét a pályán.","""미리 예측하여 대처하고 있었다."""
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,A maraton alatt a vezető futó előtt maradt a többi futó csoportja.,팩 앞서 유지하기
air their dirty laundry,to make public something embarrassing that should be kept secret,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",[[They aired their dirty laundry]] outside on the clothesline,"During the family reunion, they aired their dirty laundry in front of everyone",They aired their dirty laundry outside on the clothesline,they aired their dirty laundry,A piszkos ruháikat kint szárították a ruhaszárítón.,그들은 자신들의 더러운 빨래를 공개했다.
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]","Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]","When he started talking about quantum physics, it's all Greek to me","Since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",it's all Greek to me,"Mivel nem értem a nyelvet, amikor olvasom a görög újságot, az nekem mind görögül hangzik.",그건 내게는 그리스어 같아요.
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"When she started telling her story, I promised to [[be all ears]]","In the surreal art exhibit, the walls appeared to [[be all ears]]","When she started telling her story, I promised to be all ears","In the surreal art exhibit, the walls appeared to be all ears",be all ears,"A szürrealista művészeti kiállításon úgy tűnt, mintha a falak mind fülek lennének.",귀 기울이다.
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers","When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","In the 90s, the new fashion trend was all the rage among teenagers","When the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",the new fashion trend was all the rage,"Amikor az üzlet kifogyott a készletből, az új divattrend nagy népszerűségnek örvendett, mivel a vásárlók dühösen követelték a többet.",새로운 패션 트렌드가 대세였다.
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",Her career [[went all the way up]] after she landed a major role in a blockbuster movie,The elevator [[went all the way up]] to the top floor of the building,Her career went all the way up after she landed a major role in a blockbuster movie,The elevator went all the way up to the top floor of the building,went all the way up,A lift felment az épület legfelső emeletéig.,모두 올라갔습니다.
an item,be involved in a romantic relationship,"After months of dating, they finally [[became an item]] and made their relationship official","In the virtual reality game, the player's avatar [[became an item]] to be collected by others","After months of dating, they finally became an item and made their relationship official","In the virtual reality game, the player's avatar became an item to be collected by others",became an item,A virtuális valóság játékban a játékos avatárja mások által gyűjtendő tárggyá vált.,항목이 되었다.
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",He had ants in his pants and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and had ants in his pants",had ants in his pants,Picknikezés közben véletlenül egy hangyabolyra ült és hangyák voltak a nadrágjában.,그는 바지 안에 개미가 있었다.
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,She took up the job of [[being an apple polisher]] at the fruit market,He got the promotion by being an apple polisher and constantly flattering the boss,She took up the job of being an apple polisher at the fruit market,being an apple polisher,Ő vállalta el az alma polírozó munkát a gyümölcspiacon.,사과 광택제를 발라주는 사람이 되는 것.
apples to apples,having a fair comparison between the two things,"To make a fair judgment, we need [[to compare apples to apples]] in this situation","In the fruit market, we had [[to compare apples to apples]] to find the best quality","To make a fair judgment, we need to compare apples to apples in this situation","In the fruit market, we had to compare apples to apples to find the best quality",to compare apples to apples,"A gyümölcspiacon azon kellett összehasonlítanunk az almákat, hogy megtaláljuk a legjobb minőséget.",사과를 사과와 비교하다.
arm in arm,to be closely allied,The two companies [[walked arm in arm]] in their joint venture,"The couple [[walked arm in arm]] down the street, enjoying the evening",The two companies walked arm in arm in their joint venture,"The couple walked arm in arm down the street, enjoying the evening",walked arm in arm,"A pár karöltve sétált az utcán, élvezve az estét.",팔짱을 끼고 걸었다.
as far as,to the extent of something,His influence extends [[as far as the eye can see]] in the business world,The vast desert stretched out [[as far as the eye can see]],His influence extends as far as the eye can see in the business world,The vast desert stretched out as far as the eye can see,as far as the eye can see,Az óriási sivatag a szemhatárig terjedt.,눈이 볼 수 있는 한.
as long as,to put condition of time on an action,His patience was [[as long as the rope]] when dealing with difficult customers,The snake was [[as long as the rope]] lying next to it,His patience was as long as the rope when dealing with difficult customers,The snake was as long as the rope lying next to it,as long as the rope,"A kígyó olyan hosszú volt, mint az mellette fekvő kötél.",로프가 있는 한
asked for the moon,ask for something that is very difficult or impossible to get,He [[asked for the moon]] when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",He asked for the moon when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully asked for the moon as a birthday gift",asked for the moon,"A gyermek, aki lenyűgözte az asztrológiával, játékosan kérte a holdat születésnapi ajándékként.",달을 달라고 요청하다.
asleep at the switch,failing to attend to one's responsibilities or duties,The manager was [[asleep at the switch]] when the crisis occurred,The train operator fell [[asleep at the switch]] during his break,The manager was asleep at the switch when the crisis occurred,The train operator fell asleep at the switch during his break,asleep at the switch,A vonatvezető elaludt a váltónál a szünete alatt.,스위치에서 자다.
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",The manager was [[asleep at the wheel]] when the company lost a major client,He was so exhausted that he fell [[asleep at the wheel]] while driving,The manager was asleep at the wheel when the company lost a major client,He was so exhausted that he fell asleep at the wheel while driving,asleep at the wheel,"Olyan kimerült volt, hogy elaludt a volán mögött vezetés közben.",바퀴를 잠자고 있다.
at an arm's length,as far away from your body as possible,She [[kept it at an arm's length]] to avoid getting too involved in the situation,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,She kept it at an arm's length to avoid getting too involved in the situation,He kept it at an arm's length to prevent the paint from smudging his clothes,kept it at an arm's length,"Ő karhossznyira tartotta, hogy elkerülje a festék elkenődését a ruháin.",팔 길이만큼 멀리 두었다.
at daggers drawn,almost ready to fight,The two politicians were [[at daggers drawn with each other]] during the debate,The actors were [[at daggers drawn with each other]] during the stage fight scene,The two politicians were at daggers drawn with each other during the debate,The actors were at daggers drawn with each other during the stage fight scene,at daggers drawn with each other,Az színészek egymással szemben álltak a színpadi harci jelenet alatt.,서로 칼을 뽑고 대립하다.
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",[[She started at the bottom of the ladder]] in the company and worked her way up,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",She started at the bottom of the ladder in the company and worked her way up,"Before climbing, she started at the bottom of the ladder and checked each rung for stability",She started at the bottom of the ladder,"Mielőtt felmászott volna, az aljáról kezdve ellenőrizte az összes létralépést a stabilitás szempontjából.",그녀는 사다리의 맨 아래에서 시작했다.
at the drop of a dime,something that can happen very fast without hesitation,Our team is always [[ready at the drop of a dime]] to tackle any challenge,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,Our team is always ready at the drop of a dime to tackle any challenge,The coin collector was ready at the drop of a dime to catch the rare coin,ready at the drop of a dime,A pénzgyűjtő készen állt egy fillérnyi idő alatt elkapni a ritka érmét.,바로 대기중이다.
at the drop of the hat,to do something easily and without any preparation,She was always [[ready at the drop of a hat]] to help her friends,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats",She was always ready at the drop of a hat to help her friends,"As a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",ready at the drop of a hat,"Mint egy profi kalapfogó, ő készen állt bármikor elkapni a leeső kalapokat.",즉각적으로 준비되어 있다.
at the helm,"in charge of an organization, group of people, etc.","She was [[at the helm of the project]], guiding the team to success","The captain stood [[at the helm of the project]], steering the ship through the storm","She was at the helm of the project, guiding the team to success","The captain stood at the helm of the project, steering the ship through the storm",at the helm of the project,"A kapitány a projekt kormányánál állt, és az árvízben vezette a hajót.",프로젝트의 지휘봉을 잡고 있는
ate her alive,to criticize someone severely because you are angry with them,The guilt of lying to her best friend [[it ate her alive]] for days,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",The guilt of lying to her best friend it ate her alive for days,"In the horror movie, the monster found her hiding spot and it ate her alive",it ate her alive,A horror filmben a szörny megtalálta a rejtekhelyét és élve megevte őt.,그것은 그녀를 살아 먹었다.
axe to grind,have a private or selfish reason for doing something,He [[had an axe to grind]] with his coworker after the disagreement,The lumberjack [[had an axe to grind]] before chopping down the tree,He had an axe to grind with his coworker after the disagreement,The lumberjack had an axe to grind before chopping down the tree,had an axe to grind,"Az erdésznek volt egy személyes ügye, mielőtt kivágta a fát.",이유를 가지고 있었다.
back against the wall,to be in a tough situation with limited options,"With no other options left, [[he had his back against the wall]] and had to make a decision",[[He had his back against the wall]] while waiting for the elevator,"With no other options left, he had his back against the wall and had to make a decision",He had his back against the wall while waiting for the elevator,he had his back against the wall,Az emeleti liftre várva a falnak támaszkodott.,그는 벽에 등을 붙여 있었다.
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,[[She backed the wrong horse]] when she supported the losing candidate,"At the racetrack, [[she backed the wrong horse]] and lost her bet",She backed the wrong horse when she supported the losing candidate,"At the racetrack, she backed the wrong horse and lost her bet",She backed the wrong horse,A versenypályán rossz lovat támogatott és elvesztette a fogadását.,그녀는 잘못된 말에 걸었다.
backroom boy(s),people who work in anonymity,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves",The company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"In the storage area, the backroom boys were busy organizing and restocking shelves",the backroom boys,A raktártérben a hátsó szobában dolgozó fiúk elfoglaltak voltak a polcok szervezésével és feltöltésével.,백룸 보이즈
