idiom,meaning,label,source,translation_ko,translation_he,equivalent idiom,discard,good
to see the back of,to be glad that you no longer have to deal with someone,figurative,She was relieved [[to see the back of the problem]] after finding a solution,해결책을 찾은 그녀는 [[더이상 문제를 안보게 되어서 ]] 안도했습니다,הוקל לה שכבר [[לא הייתה לה הבעיה הזו]] אחרי שנמצא לה פתרון,FALSE,FALSE,TRUE
to see the back of,to be glad that you no longer have to deal with someone,literal,He had [[to see the back of the problem]] by flipping the paper over,그는 종이를 뒤집어서 [[문제의 뒷면을 봐야만 했습니다]],הוא היה צריך [[לראות את הצד השני של הבעיה]] על ידי כך שהפך את הדף,FALSE,FALSE,TRUE
clean sweep,an irresistible victory,figurative,The team [[made a clean sweep]] by winning all the matches in the tournament,팀은 토너먼트의 모든 경기에서 승리하며 [[압승을 거두었습니다]],הצוות [ניצח נצחון מוחץ]] על ידי כך שניצח בכל התחרויות בטורניר,FALSE,FALSE,TRUE
clean sweep,an irresistible victory,literal,The janitor [[made a clean sweep]] of the classroom floor,청소부는 교실 바닥을 [[깨끗하게 청소했습니다]],השרת [[ניקה היטב]] את הרצפה של הכיתה,FALSE,FALSE,TRUE
on the line,to be at serious risk.,figurative,[[She put it on the line]] when she confronted her boss about the unfair treatment,그녀가 부당한 대우에 대해 상사에게 말했을 때 [[ 그녀의 일자리는 위태로워졌습니다 ]] ,[[היא סיכנה את זה]] כשהיא התעמתה עם הבוס שלה לגבי היחס הלא הוגן,FALSE,FALSE,TRUE
on the line,to be at serious risk.,literal,[[She put it on the line]] to dry after washing her clothes,그녀는 옷을 빨은후에 [[줄에 널어 말렸습니다]] ,[[היא שמה את זה על החבל]] לייבוש אחרי ששטפה את הבגדים שלה,FALSE,FALSE,TRUE
pull the wool over eyes,to deceive someone,figurative,[[They pulled the wool over her eyes]] by pretending to be a wealthy businessman,[[그들은]] 부유한 사업가인척 [[그녀의 눈을 속였습니다 ]] ,[[הם רימו אותה]] בכך שהעמידו פנים שהם אנשי עסקים עשירים,FALSE,FALSE,TRUE
pull the wool over eyes,to deceive someone,literal,"During the surprise party preparations, [[they pulled the wool over her eyes]] with a blindfold","깜짝 파티 준비 중, 그들은  눈가리개로 양털을 그녀의 눈에 가렸습니다 ","במהלך ההכנות לסיבת ההפתעה, [[הם הניחו את הצמר על העיניים שלה]] עם כיסוי עיניים",FALSE,FALSE,TRUE
paddle own canoe,To be able to act without having to depend on anyone.,figurative,They decided [[to paddle their own canoe]] and start their own business,그들은 [[ 그들 스스로 결정하고]] 자신의 사업을 시작했습니다.,הם החליטו [[להיות עצמאיים]] ולפתוח עסק משלהם,FALSE,FALSE,TRUE
paddle own canoe,To be able to act without having to depend on anyone.,literal,They had [[to paddle their own canoe]] to reach the other side of the lake,그들은 [[자신의 카누를 저어]] 호수 반대편에 도달해야 했습니다.,הם היו צריכים [[להשיט את הקנו של עצמם]] כדי להגיע לצד השני של האגם,FALSE,FALSE,TRUE
kick the bucket,to die,figurative,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep",인생에서 뗄래야 뗄 수 없는 노부부는 자면서  [[ 함께 생을 마감했습니다 ]],"זוג הזקנים שהיו בלתי נפרדים בחיים, [[מתו יחד]] בשנתם",FALSE,FALSE,TRUE
kick the bucket,to die,literal,"While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere",그들은 헛간을 청소하다가 실수로 [[양동이를 함께 발로 차서]] 사방에 물을 쏟았습니다.,"בזמן שניקו את האסם, הם [[בעטו בדלי יחד]] בטעות ושפכו את המים בכל מקום ",FALSE,FALSE,TRUE
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",figurative,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts",프로젝트의 성공에도 불구하고 예산 삭감이라는 [[골치 아픈 문제]]가 형태를 드러났습니다 ,"למרות הצלחת הפרויקט, [[הייתה צפויה בעיה בהמשך]] בגלל קיצוצי תקציב",FALSE,FALSE,TRUE
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",literal,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm",우리가 바다를 바라보았을 때 [[지평선 상에서]] 폭풍을 예고하는 [[구름을]] 눈치챘습니다,"כשהסתכלנו החוצה לים, שמנו לב ש[[יש ענן באופק]] שסימן שסערה מתקרבת",FALSE,FALSE,TRUE
wouldn't be seen dead,to be too ashamed or embarrassed of something,figurative,"She [[wouldn't be seen dead in that]] outfit, as it was completely out of style","의상이 완전히 유행이 지났기 때문에, 그녀는 [[매우 창피했습니다]]","היא [[התביישה מדי]] ללבוש את הבגד הזה, משום שהוא היה לגמרי לא באופנה",FALSE,FALSE,TRUE
wouldn't be seen dead,to be too ashamed or embarrassed of something,literal,"As a vampire, he [[wouldn't be seen dead in that]] garlic-infused restaurant",뱀파이어로서 그는 마늘향이 우려진 식당에서 [[죽은 것으로 보이지 않을 것입니다]],"בתור ערפד, הוא [[לא היה נראה מת ב]]מסעדה הזו עם השום",FALSE,FALSE,TRUE
turn down a glass,to decline something that someone has offered.,figurative,"At the party, he politely [[turned down a glass]] when offered a drink","파티에서,그는 술을 제안받았을때 정중하게 [[ 거절했습니다 ]] ",הוא [[סירב]] בנימוס כשהציעו לו משקה במסיבה,FALSE,FALSE,TRUE
turn down a glass,to decline something that someone has offered.,literal,She [[turned down a glass]] upside down to let it dry,그녀는 잔의 물을 말리기 위해  [[잔을 거꾸로 뒤집었다]],היא [[הפכה כוס]] כדי לתת לה להתייבש,FALSE,FALSE,TRUE
