model,language_pair,score
gpt,en-de,0.028425378259271383
gpt,en-he,0.028718708897940814
gpt,en-hi,0.027061069034971297
gpt,en-hu,0.029521131073124707
gpt,en-ko,0.029660712578333914
gpt,en-es,0.027970190974883735
gpt,en-yo,0.02611382119357586
gpt,en-zh,0.03291462711058557
palm,en-de,0.035478297313418956
palm,en-he,0.0336358350922305
palm,en-hi,0.024762170538743647
palm,en-hu,0.027795014132457566
palm,en-ko,0.031953294609868246
palm,en-es,0.042368652156947816
palm,en-yo,0.03775053285062313
palm,en-zh,0.04098736174141295
google,en-de,0.033622372429817915
google,en-he,0.02639091806486249
google,en-hi,0.0259395653847605
google,en-hu,0.025323999347165227
google,en-ko,0.02462203346658498
google,en-es,0.02403574693016708
google,en-yo,0.03201387752778828
google,en-zh,0.03788211103528738
opus,en-de,0.019015195430256426
opus,en-he,0.024325009086169302
opus,en-hi,0.021220306982286274
opus,en-hu,0.02199589496012777
opus,en-ko,0.0
opus,en-es,0.019206245662644506
opus,en-yo,0.025129266665317118
opus,en-zh,0.02643505681771785
nllb,en-de,0.027541838004253805
nllb,en-he,0.029263288131915033
nllb,en-hi,0.027116016601212323
nllb,en-hu,0.025979510275647044
nllb,en-ko,0.030181100126355886
nllb,en-es,0.0257192897843197
nllb,en-yo,0.03017195442225784
nllb,en-zh,0.03374626813456416
