idiom,meaning,source,subsentence
Dutch uncle,"criticize, scold or lecture someone",He dressed up [[like a Dutch uncle]] for the historical reenactment,like a Dutch uncle
Dutch uncle,"criticize, scold or lecture someone","He gave me advice [[like a Dutch uncle]], always straightforward and honest",like a Dutch uncle
a needle in a haystack,something very small amidst something very big,Locating the right document in the archive was like [[finding a needle in a haystack]],finding a needle in a haystack
a voice crying in the wilderness,to say something that is not popular,"His warnings about climate change were like [[a voice crying in the wilderness]], as few people paid attention",a voice crying in the wilderness
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,Arguing about their preferences in music was like [[comparing apples and oranges]],comparing apples and oranges
ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",The meteor appeared [[like a ball of fire]] as it streaked across the sky,like a ball of fire
ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.","She tackled her tasks [[like a ball of fire]], completing them quickly and efficiently",like a ball of fire
bang head against wall,to be frustrated in your efforts to change something or make something happen,Trying to solve that complex math problem felt like [[banging head against the wall]],banging head against the wall
blind leading the blind,someone who does not understand something but tries to explain it to others,"When it comes to cooking, it's like [[the blind leading the blind]] when my brother and I try to help each other",the blind leading the blind
cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,His controversial statement was like [[a cat among the pigeons]] in the meeting,a cat among the pigeons
fight a losing battle,trying to do something even when there is little chance of succeeding,Trying to convince her to change her mind was like [[fighting a losing battle]],fighting a losing battle
flog a dead horse,waste energy on something that has no chance of succeeding,Arguing about the same issue over and over again was like [[flogging a dead horse]],flogging a dead horse
knight in shining armour,used to describe someone who saves you from a difficult situation,He came to her rescue like [[a knight in shining armour]] when she needed help,a knight in shining armour
outside the lines,not sticking to the rules,His innovative approach to the project was like [[coloring outside the lines]],coloring outside the lines
scrape the bottom of the barrel,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one.",Hiring that unqualified candidate was like [[scraping the bottom of the barrel]],scraping the bottom of the barrel
taking your medicine,to accept the consequences of something you have done wrong,Facing the consequences of your actions is like [[taking your medicine]],taking your medicine
uncharted waters,"when you are in a situation that is unfamiliar to you, that you have no experience of and don't know what might happen",Starting a new business was like [[venturing into uncharted waters]] for her,venturing into uncharted waters
walking on broken glass,when a person is punished for something,Dealing with her sensitive feelings was like [[walking on broken glass]],walking on broken glass
yoke around one's neck,a fatiguing burden.,The burden of his student loans felt like [[a yoke around his neck]],a yoke around his neck
you can't teach an old dog new tricks,you cannot make others change their habits,Trying to convince my grandfather to use a smartphone was like [[teaching an old dog new tricks]],teaching an old dog new tricks
