idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe,batch_num
Achilles heel,"despite his intelligence, procrastination was his Achilles heel",figurative,a vulnerable spot or weakness,figurative,figurative,figurative,"['3GS6S824S6DCIS6I4S3V348J5FHNWJ', '3LWJHTCVCS2VA3XFUVLC3AHOFNEFQ0']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[90.898, 24.979]",4
Achilles heel,"during the anatomy class, we studied his Achilles heel and its function",literal,a vulnerable spot or weakness,literal,literal,literal,"['3FK0YFF9PFWCB8FMG9KQRJJIK9HVVY', '3SEPORI8W3F9S4HY6BIXG2I1NANAZD']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.455, 146.45]",4
Dutch uncle,"he gave me advice like a Dutch uncle, always straightforward and honest",figurative,"criticize, scold or lecture someone",figurative,figurative,figurative,"['3U0SRXB7CTL7AWPW5YTPG502D02NRG', '3P529IW9KE1KJ6H22QDGMOIU5HRLFH']","['A1HKYY6XI2OHO1', 'AURYD2FH3FUOQ']","[116.593, 53.127]",4
Dutch uncle,he dressed up like a Dutch uncle for the historical reenactment,literal,"criticize, scold or lecture someone",literal,literal,literal,"['3JBT3HLQFOIGF8N0VU0U6X7WMW7PZS', '3X3OR7WPZFGB4R7FUC7ACW18IDZL8L']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[115.322, 54.151]",3
Easter egg,"while playing the video game, he found an Easter egg hidden by the developers",figurative,a decorated or dyed egg usually given to children at Easter,figurative,figurative,figurative,"['3JCG6DTRVJ6S1SNO8BW6F9L2MPNQQ5', '3E1QT0TDF5P9EQZ999AXKG9G19KI8J']","['A1HKYY6XI2OHO1', 'AURYD2FH3FUOQ']","[117.365, 56.789]",4
Easter egg,"during the egg hunt, the child found an Easter egg in the bushes",literal,a decorated or dyed egg usually given to children at Easter,figurative,figurative,figurative,"['3JCG6DTRVJ6S1SNO8BW6F9L2MP8QQQ', '3ERMJ6L4DE8RAVKHKJGJY9K27YJM71']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[171.447, 112.306]",3
"Mr Right, Ms Right","after years of searching, they finally found their Mr Right and Ms Right and settled down",figurative,the best future life partner for someone,figurative,figurative,figurative,"['3DY4FPOOAH4KI1Y57PFGQMUFZ3PRVM', '3XC1O3LBO82U2BZ3XAI53SXVWQKTLI']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[148.92, 38.074]",3
"Mr Right, Ms Right","at the costume party, they found their Mr Right and Ms Right outfits in the store",literal,the best future life partner for someone,literal,literal,literal,"['34T446B1CGU0JY86MV1WGY535W6C0M', '3JV9LGBJW9UY3RGUQ2ZQWQM01REOGY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.273, 45.577]",2
Young Turk,he quickly became a Young Turk in the company due to his innovative ideas,figurative,a young person who has many new ideas and wants a reform,figurative,figurative,figurative,"['337RC3OW0LI9F33S25IK4ALGTB0LVQ', '3X4MXAO0BW4XXQYAXZKCCODT6CRWR1']","['A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']","[151.871, 56.632]",3
Young Turk,"the new employee was a Young Turk in the company, having recently moved from Turkey",literal,a young person who has many new ideas and wants a reform,literal,literal,literal,"['31HQ4X3T38QTNBMO8ADFTN19U76LSL', '3L6L49WXWGDWJ1HSQM1QEVP6U1445A']","['APRZ7BR8C0ZMQ', 'AX8NXTT8QMGHC']","[41.727, 47.025]",3
a bed of roses,"despite the challenges, she learned that life is not always a bed of roses",figurative,easy option,figurative,figurative,figurative,"['34X6J5FLP9EBF5JBDLCXI89G8UGJQS', '3TYCR1GOTSZQON82327NPGYCHM6ZL4']","['A1LI3JQS2VBOXC', 'A38DXFI1TZA295']","[43.09, 40.343]",3
a bed of roses,"while visiting the botanical garden, she noticed that life is not always a bed of roses, as there were various other flowers",literal,easy option,tie,literal,discard,"['337RC3OW0LI9F33S25IK4ALGTB0LVQ', '3X4MXAO0BW4XXQYAXZKCCODT6CRWR1']","['A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']","[151.871, 56.632]",3
a bird in the hand,"he decided to accept the job offer, believing that a bird in the hand is worth two in the bush",figurative,a possession that is worthy,figurative,figurative,figurative,"['3DOCMVPBT3UMVYX4CRC87LVSC3DNNS', '33CKWXB73Z0G3KJQ2HGCD75M61411R']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[133.386, 133.059]",4
a bird in the hand,"holding a bird in the hand, she carefully examined its feathers",literal,a possession that is worthy,literal,literal,literal,"['3TEM0PF1QLDAOQEKMRW704NLQWJ0DB', '3IRIK4HM3Q0VX9ULOKHDPZFUIZSC6N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[96.687, 47.933]",2
a cuckoo in the nest,"when the new employee started causing problems, they realized they had found a cuckoo in the nest",figurative,an unwelcome intruder in a place or situation.,figurative,figurative,figurative,"['3X31TUMD7D2TTRNUVRYVXME0478L1G', '3OS46CRSLVFRWI0LF1CIFR3J3GQV67']","['AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']","[69.712, 73.805]",4
a cuckoo in the nest,"while observing the bird's nest, the ornithologist found a cuckoo in the nest",literal,an unwelcome intruder in a place or situation.,literal,literal,literal,"['3634BBTX04AIT59WHNG3U8Q2ODXFIX', '36U2A8VAGHFFZRGFMGT3W9CVMSCKYA']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[100.679, 45.876]",4
a damp squib,the highly anticipated party turned out to be a damp squib due to poor planning,figurative,an event which people think will be exciting but which is disappointing when it happens.,figurative,figurative,figurative,"['3QRYMNZ7FEXKQB2O9NYKGK1K1LKNTE', '37WLF8U1W56DG769GXYBDIS2NI4K6V']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[173.839, 66.1]",3
a damp squib,the firework turned out to be a damp squib when it failed to ignite in the rain,literal,an event which people think will be exciting but which is disappointing when it happens.,figurative,figurative,figurative,"['3QHK8ZVMI2YU6P5MXORK3YR9QJZLBZ', '3X3OR7WPZFGB4R7FUC7ACW18IDF8LO']","['A290OV59Q76QC8', 'AKQAI78JTXXC9']","[45.864, 79.556]",4
a good man is hard to find,"in today's world, a good man is hard to find for a long-lasting relationship",figurative,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,literal,literal,literal,"['3VHHR074HJX74D2WK7F4YW5D7T8L7D', '39ASUFLU6DNNDMYVLYWYF0SH0PMXEX']","['A110KENBXU7SUJ', 'A290OV59Q76QC8']","[80.386, 62.228]",4
a good man is hard to find,"in the crowded shopping mall, a good man is hard to find when you're looking for your friend",literal,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,tie,literal,ambiguous,"['3UWN2HHPUELJBBP9KNTU6F5YZ2LSN9', '3570Y55XZ5ZAX5KWWP8OYHK2FBVYGL']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[41.261, 126.539]",4
a hard nut to crack,the mysterious case was a hard nut to crack for the detective,figurative,a problem that is difficult to solve,figurative,figurative,figurative,"['3KYQYYSHYBNVR763OCYIQ5J3OZYODO', '3MMN5BL1WFK99CJUI7DTLS8M2MVM3A']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.239, 71.186]",2
a hard nut to crack,the thick shell made the walnut a hard nut to crack with bare hands,literal,a problem that is difficult to solve,literal,literal,literal,"['3S96KQ6I92KB4ZBBKTKHKFPQNHIDTM', '3MB8LZR5BV9VZS9G314D21AZDDTLK4']","['A2TBXASXZIRNNW', 'AX8NXTT8QMGHC']","[31.243, 51.454]",3
a litmus test,"for the government, the new policy was a litmus test of public opinion",figurative,someone's decision or opinion about something that suggests what they think about a wider range of related things,figurative,figurative,figurative,"['3EICBYG64KC7L49S83B2Y3KZ4FFJCN', '3E337GFOLPOGL6GIPNZDH1MVBRCGNY']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[30.161, 31.016]",3
a litmus test,"in the chemistry lab, the new policy was a litmus test to determine the acidity of a solution",literal,someone's decision or opinion about something that suggests what they think about a wider range of related things,tie,discard,figurative,"['3KOPY89HMOIJ84D9FA0150G5YSZJ32', '3KKG4CDWKYEFKOJ4TCE7QBU8GNJ49D']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.387, 48.432]",2
a lot on my plate,"juggling multiple projects at work, she was having a lot on the plate these days",figurative,to have so many things to do at one time,figurative,figurative,figurative,"['3IKZ72A5BKWA76KNE3TVZGMJACSFNE', '3FTYUGLFSA19JX0LJX2JHZJC7EBD5A']","['A1HKYY6XI2OHO1', 'AX8NXTT8QMGHC']","[123.495, 50.497]",4
a lot on my plate,"at the potluck dinner, he was having a lot on the plate after trying a bit of everything",literal,to have so many things to do at one time,literal,literal,literal,"['37QW5D2ZRW2Y8425EL4BOIF3A77S86', '3U0SRXB7CTL7AWPW5YTPG502D0NRN5']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[35.272, 39.669]",3
a needle in a haystack,locating the right document in the archive was like finding a needle in a haystack,figurative,something very small amidst something very big,figurative,figurative,figurative,"['3634BBTX04AIT59WHNG3U8Q2ODXFIX', '36U2A8VAGHFFZRGFMGT3W9CVMSCKYA']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[100.679, 45.876]",4
a needle in a haystack,"the farmer accidentally dropped his sewing needle, and it became a challenge of finding a needle in a haystack",literal,something very small amidst something very big,literal,literal,literal,"['37FMASSAYS7SGOXGCLU7BIZH9F5IBI', '3SUWZRL0METAU7EZKBN8FNFX3LP6EE']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[51.696, 71.372]",4
a piece of cake,she found it a piece of cake to solve the complex math problem,figurative,very easy task,figurative,figurative,figurative,"['32N49TQG3WYSJKCO5ETUVW55ZZGVAX', '3VZLGYJEY1QLOHPRHLAB0ATZOVVZX5']","['A38DXFI1TZA295', 'AURYD2FH3FUOQ']","[30.81, 63.801]",4
a piece of cake,"searching through the bakery, she found it a piece of cake on the shelf",literal,very easy task,tie,figurative,literal,"['3PW9OPU9P60NS51MLLGQIQFRY7I128', '3V5Q80FXID7J28F18PU96JUOWRX323']","['A290OV59Q76QC8', 'AX8NXTT8QMGHC']","[129.751, 36.688]",4
a roof over your head,finding a job is essential for having a roof over your head,figurative,a place to live,figurative,figurative,figurative,"['3U0SRXB7CTL7AWPW5YTPG502D02NRG', '3P529IW9KE1KJ6H22QDGMOIU5HRLFH']","['A1HKYY6XI2OHO1', 'AURYD2FH3FUOQ']","[116.593, 53.127]",4
a roof over your head,"during the rainstorm, having a roof over your head kept you dry",literal,a place to live,literal,literal,literal,"['3PM8NZGV8EWCAPO0UPRY9HHVJSVQXN', '35USIKEBN7WEODRCDAQR5A96HDA6NN']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[29.643, 45.743]",3
a screw loose,he has a screw loose if he thinks he can quit his job without consequences,figurative,someone who behaves in a strange way and seem slightly mentally ill,figurative,figurative,figurative,"['3GFK2QRXXPX8S30C0S799N8XEUHW52', '3JNQLM5FTK20IC5QEVY925O5WDN2LF']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[146.954, 34.745]",4
a screw loose,the wobbly table has a screw loose and needs to be fixed,literal,someone who behaves in a strange way and seem slightly mentally ill,literal,literal,literal,"['37XITHEISCPOJSS5G8KB0U6QEW9RCN', '3A0EX8ZRNO4E6OCLG3GAX6T5ZYOYBP']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[68.292, 29.391]",3
a storm is brewing,"with the tension between the two groups, a storm is brewing in the distance",figurative,"there is going to be trouble, probably with outbursts of anger or emotion",figurative,figurative,figurative,"['336YQZE83BUCNR6YWQ1M0P66GS4M52', '3P529IW9KE1KJ6H22QDGMOIU5HRFLB']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[92.734, 36.238]",4
a storm is brewing,"dark clouds are gathering, and a storm is brewing in the distance",literal,"there is going to be trouble, probably with outbursts of anger or emotion",tie,figurative,literal,"['3GM6G9ZBK3DE8THOXMJK35CKWVATMK', '3M1CVSFP6GL0ECG7JFZKP96XI7MQAJ']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[26.856, 38.985]",3
a trip to the sun,he planned a trip to the sun when he decided to pursue his wildest dreams,figurative,something which is very unlikely,figurative,figurative,figurative,"['3Z7EFSHGNPU8GOEHP7Q3PCSEF3RCXH', '3EG49X351ASJ075GFGD03C04JHG6XJ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[62.052, 146.511]",2
a trip to the sun,the science fiction writer planned a trip to the sun for her characters in the novel,literal,something which is very unlikely,tie,ambiguous,literal,"['358010RM5U94FXKHGOL8F4G30KAVXM', '34PGFRQON4RGZ2FXPUB3AXR2WVXWJ9']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[40.505, 91.223]",3
a voice crying in the wilderness,"his warnings about climate change were like a voice crying in the wilderness, as few people paid attention",figurative,to say something that is not popular,tie,literal,figurative,"['3GU1KF0O4YHKXAKKPGKRKF0TVTLPBM', '3UWN2HHPUELJBBP9KNTU6F5YZ26NSP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[71.529, 40.34]",3
a voice crying in the wilderness,"while hiking, they heard a voice crying in the wilderness and went to investigate",literal,to say something that is not popular,literal,literal,literal,"['31UV0MXWN6SQR8G7BB3U8WZPZJJI5H', '3IKZ72A5BKWA76KNE3TVZGMJACRFND']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[55.676, 149.223]",4
a wakeup call,"after failing the exam, she received a wakeup call to study harder",figurative,something that makes you realize that you need to take action to change a situation,figurative,figurative,figurative,"['37Z929RLGPOH6OUTHJF6FEBQOKSSTV', '3SB5N7Y3OJKD0AOBOHXF6PQI3Y1G0N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[110.352, 45.737]",3
a wakeup call,she received a wakeup call from the hotel's front desk at 6 a.m.,literal,something that makes you realize that you need to take action to change a situation,literal,literal,literal,"['33LK57MYL9LDS03SNB4O12C79GESZB', '3YWRV122C8FENHU93QZB3JXRV4S8U2']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[61.004, 23.054]",3
