idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_hi_gpt,p_l_he_gpt
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,उसकी अखिल्लेश पंजी (uski akhillesh panji),"במהלך השיעור של האנטומיה, למדנו על עקבו שלו ופעולתו."
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,उन्होंने अपने मिस्टर राइट और मिसेस राइट को खोज लिया।,"במסיבת התחפושות, הם מצאו את התלבושות של מר וגברת הנכונים בחנות."
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,कंपनी में एक यंग टर्क।,"העובד החדש היה טורק צעיר בחברה, שעבר לאחרונה מטורקיה."
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,हाथ में एक पक्षी (Haath mein ek pakshi),"תופסת ציפור ביד, היא בדקה בזהירות את הנוצות שלה."
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,घोंसले में एक कोयल मिली।,"בזמן שהאורניתולוג צפה בקנים של הציפור, הוא מצא קוקו בקנה."
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,एक कठिन नट्टी है।,הקליפה העבה עשתה את האגוז המלפפון לאגוז קשה לפרק עם הידיים הערמומיות.
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,मेरे पास बहुत सारे काम थे।,"בארוחת הפוטלאק, הוא היה עם הרבה על הצלחת לאחר שניסה קצת מכל דבר."
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,अपने सिर पर छत होना।,"במהלך הסערה, גג מעל לראש שלך שמר על יבשותך."
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,उसमें एक स्क्रू ढीला है।,השולחן המתקלקל יש לו מסמר שפורק וצריך להיות מתוקן.
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,उसे एक जागने की कॉल मिली।,קיבלה שיחת העור מקדמת ממשרד הקבלה של המלון בשעה 6 בבוקר.
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,एक भीगी चादर होना।,"אחרי הסערה, שמיכת הפיקניק הייתה מכסה רטוב על הקרקע."
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,The marine biologist [[had a whale of a time]] studying the humpback's behavior,We had a whale of a time at the amusement park,The marine biologist had a whale of a time studying the humpback's behavior,had a whale of a time,मज़े का एक बड़ा समय था।,הביולוג הימי נהנה מאוד בלימוד ההתנהגות של הזברה.
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,यह एक पूरी नई गेंदबाजी है।,"כאשר הם החליפו מכדורגל לבייסבול, זה משחק כדור חדש לגמרי עבור השחקנים."
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",The company started a witch hunt to find the person responsible for the leak,"During the historical reenactment, they started a witch hunt to portray the events accurately",started a witch hunt,एक चुड़ैल की तलाश शुरू की।,"במהלך החזרת היסטורית, הם התחילו ציד למכשפות כדי לתאר את האירועים בדיוק."
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,उनके संबंधों के लिए एसिड टेस्ट।,הניסוי במעבדת הכימיה היה המבחן החשוב לקשר שלהם כי הם צריכים היו לעבוד יחד כדי לקבוע את ערכ ה-pH של מגוון תמיסות.
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,सभी क्षेत्रों में सुधार,המתחרה המכובד בשחמט הגביר את המשחק על ידי עיצוב מיקומי הכליות שלו.
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,वे आग के तले तेल डाल दिया।,"כדי להמשיך את המדורה, הם הוסיפו דלק ללהבות על ידי זריקת עוד עצים."
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,हम घड़ी के खिलाफ दौड़ रहे थे।,"בתחרות הייחודית, המתחרים רצו נגד השעון על ידי ניסיון להתקדם מהשעון העצום על גלגלים."
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,विपरीत दिशा में जाना।,"כשמשטחים עץ, הליכה נגד הגרגר עלולה לגרום לשריטות ונזקים."
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,कुछ आगे रहना।,הגונבר היה מתחזק קדימה על ידי שמירה על יתרון על המסלול.
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,पैक से आगे रहना।,"במהלך המרתון, הרץ המוביל היה מתחיל לפני הקבוצה של הרצים האחרים."
air their dirty laundry,to make public something embarrassing that should be kept secret,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",[[They aired their dirty laundry]] outside on the clothesline,"During the family reunion, they aired their dirty laundry in front of everyone",They aired their dirty laundry outside on the clothesline,they aired their dirty laundry,उन्होंने अपने गंदे कपड़े सुखाए।,הם תלו את הכביסה המלוכלכת שלהם בחוץ על החבל.
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]","Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]","When he started talking about quantum physics, it's all Greek to me","Since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",it's all Greek to me,यह सब मेरे लिए यूनानी है।,"מכיוון שאני לא מבין את השפה, כשאני קורא את העיתון היווני, זה כלום עבורי."
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"When she started telling her story, I promised to [[be all ears]]","In the surreal art exhibit, the walls appeared to [[be all ears]]","When she started telling her story, I promised to be all ears","In the surreal art exhibit, the walls appeared to be all ears",be all ears,सब कान खोल कर सुनना।,"בתערוכת האמנות הסוריאליסטית, הקירות נראו כאילו הם כל האוזניים."
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers","When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","In the 90s, the new fashion trend was all the rage among teenagers","When the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",the new fashion trend was all the rage,नई फैशन ट्रेंड सबसे ज्यादा लोकप्रिय थी।,"כאשר החנות נגמרה מהמלאי, מגמת האופנה החדשה הייתה הכי פופולרית כשהלקוחות בכעס דרשו עוד."
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",Her career [[went all the way up]] after she landed a major role in a blockbuster movie,The elevator [[went all the way up]] to the top floor of the building,Her career went all the way up after she landed a major role in a blockbuster movie,The elevator went all the way up to the top floor of the building,went all the way up,सब रास्ते ऊपर तक गए।,המעלית עלתה עד לקומה העליונה של הבניין.
an item,be involved in a romantic relationship,"After months of dating, they finally [[became an item]] and made their relationship official","In the virtual reality game, the player's avatar [[became an item]] to be collected by others","After months of dating, they finally became an item and made their relationship official","In the virtual reality game, the player's avatar became an item to be collected by others",became an item,एक आइटम बन गया।,"במשחק המציאות המדומה, האווטאר של השחקן הפך לפריט שאחרים יכולים לאסוף."
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",He had ants in his pants and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and had ants in his pants",had ants in his pants,उसके पैंट में मक्खियाँ थीं।,"בזמן הפיקניק, הוא ישב בטעות על עקרבות והיו נמלים במכנסיו."
