idiom,meaning,intended_figurative,intended_literal,maxVote_figurative,maxVote_literal,gold_figurative,gold_literal,well_formed
Achilles heel,a vulnerable spot or weakness,"despite his intelligence, procrastination was his Achilles heel","during the anatomy class, we studied his Achilles heel and its function",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
Dutch uncle,"criticize, scold or lecture someone","he gave me advice like a Dutch uncle, always straightforward and honest",he dressed up like a Dutch uncle for the historical reenactment,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
Easter egg,a decorated or dyed egg usually given to children at Easter,"while playing the video game, he found an Easter egg hidden by the developers","during the egg hunt, the child found an Easter egg in the bushes",figurative,figurative,"['figurative', 'figurative']","['figurative', 'figurative']",False
"Mr Right, Ms Right",the best future life partner for someone,"after years of searching, they finally found their Mr Right and Ms Right and settled down","at the costume party, they found their Mr Right and Ms Right outfits in the store",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
Young Turk,a young person who has many new ideas and wants a reform,he quickly became a Young Turk in the company due to his innovative ideas,"the new employee was a Young Turk in the company, having recently moved from Turkey",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a bed of roses,easy option,"despite the challenges, she learned that life is not always a bed of roses","while visiting the botanical garden, she noticed that life is not always a bed of roses, as there were various other flowers",figurative,tie,"['figurative', 'figurative']","['literal', 'discard']",False
a bird in the hand,a possession that is worthy,"he decided to accept the job offer, believing that a bird in the hand is worth two in the bush","holding a bird in the hand, she carefully examined its feathers",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"when the new employee started causing problems, they realized they had found a cuckoo in the nest","while observing the bird's nest, the ornithologist found a cuckoo in the nest",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a damp squib,an event which people think will be exciting but which is disappointing when it happens.,the highly anticipated party turned out to be a damp squib due to poor planning,the firework turned out to be a damp squib when it failed to ignite in the rain,figurative,figurative,"['figurative', 'figurative']","['figurative', 'figurative']",False
a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,"in today's world, a good man is hard to find for a long-lasting relationship","in the crowded shopping mall, a good man is hard to find when you're looking for your friend",literal,tie,"['literal', 'literal']","['literal', 'ambiguous']",False
a hard nut to crack,a problem that is difficult to solve,the mysterious case was a hard nut to crack for the detective,the thick shell made the walnut a hard nut to crack with bare hands,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,"for the government, the new policy was a litmus test of public opinion","in the chemistry lab, the new policy was a litmus test to determine the acidity of a solution",figurative,tie,"['figurative', 'figurative']","['discard', 'figurative']",False
a lot on my plate,to have so many things to do at one time,"juggling multiple projects at work, she was having a lot on the plate these days","at the potluck dinner, he was having a lot on the plate after trying a bit of everything",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a needle in a haystack,something very small amidst something very big,locating the right document in the archive was like finding a needle in a haystack,"the farmer accidentally dropped his sewing needle, and it became a challenge of finding a needle in a haystack",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a piece of cake,very easy task,she found it a piece of cake to solve the complex math problem,"searching through the bakery, she found it a piece of cake on the shelf",figurative,tie,"['figurative', 'figurative']","['figurative', 'literal']",False
a roof over your head,a place to live,finding a job is essential for having a roof over your head,"during the rainstorm, having a roof over your head kept you dry",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,he has a screw loose if he thinks he can quit his job without consequences,the wobbly table has a screw loose and needs to be fixed,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion","with the tension between the two groups, a storm is brewing in the distance","dark clouds are gathering, and a storm is brewing in the distance",figurative,tie,"['figurative', 'figurative']","['figurative', 'literal']",False
a trip to the sun,something which is very unlikely,he planned a trip to the sun when he decided to pursue his wildest dreams,the science fiction writer planned a trip to the sun for her characters in the novel,figurative,tie,"['figurative', 'figurative']","['ambiguous', 'literal']",False
a voice crying in the wilderness,to say something that is not popular,"his warnings about climate change were like a voice crying in the wilderness, as few people paid attention","while hiking, they heard a voice crying in the wilderness and went to investigate",tie,literal,"['literal', 'figurative']","['literal', 'literal']",False
a wakeup call,something that makes you realize that you need to take action to change a situation,"after failing the exam, she received a wakeup call to study harder",she received a wakeup call from the hotel's front desk at 6 a.m.,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a wet blanket,a person who spoils other people's fun.,"he was always being a wet blanket at parties, constantly complaining","after the rainstorm, the picnic blanket was being a wet blanket on the ground",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a whale of,very big (piece) of something,we had a whale of a time at the amusement park,the marine biologist had a whale of a time studying the humpback's behavior,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a whole new ball game,a significant change in circumstances.,"after the company's merger, it's a whole new ball game for the employees","when they switched from soccer to baseball, it's a whole new ball game for the players",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,the company started a witch hunt to find the person responsible for the leak,"during the historical reenactment, they started a witch hunt to portray the events accurately",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
acid test,a test that proves a hypothesis or validity of a product or idea,moving in together was the acid test for their relationship to see if they could handle living with each other,the chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
across the board,applying to everyone,the company saw improvements across the board after implementing new strategies,the chess master made improvements across the board by adjusting the positions of his pieces,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
act of God,an occurrence of out of control natural forces in action,the sudden storm that saved the village from invaders was considered an act of God,"in the play, the actor portraying Zeus performed an act of God by throwing a lightning bolt",tie,tie,"['literal', 'figurative']","['figurative', 'literal']",False
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","by spreading rumors, they added fuel to the flames of the ongoing conflict","to keep the bonfire going, they added fuel to the flames by throwing more wood",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
afraid of my own shadow,to be very nervous or easily frightened,I was so nervous that I became afraid of my own shadow during the presentation,the haunted house made me so jumpy that I was afraid of my own shadow,figurative,tie,"['figurative', 'figurative']","['literal', 'figurative']",False
against the clock,in a great hurry to finish something before a particular time,"with the deadline approaching, we were racing against the clock to finish the project","in the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",tie,literal,"['literal', 'figurative']","['literal', 'literal']",False
against the grain,a difficult path to be followed,his decision to quit his job was going against the grain of his family's expectations,"when sanding wood, going against the grain can cause scratches and damage",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
ages,a long time; a very long time,it feels like I haven't seen you in ages since we last met,"during our time-travel adventure, I haven't seen you in ages as we got separated in different eras",figurative,tie,"['figurative', 'figurative']","['literal', 'figurative']",False
ahead of the curve,better than others,"by constantly learning new skills, she was staying ahead of the curve in her industry",the race car driver was staying ahead of the curve by maintaining a lead on the track,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
ahead of the pack,more successful than other people who are trying to achieve the same things,"by consistently innovating, the company is staying ahead of the pack in the industry","during the marathon, the lead runner was staying ahead of the pack of other runners",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
air their dirty laundry,to make public something embarrassing that should be kept secret,"during the family reunion, they aired their dirty laundry in front of everyone",they aired their dirty laundry outside on the clothesline,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
all Greek to me,used to convey that you cannot understand what is being said or written,"when he started talking about quantum physics, it's all Greek to me","since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"when she started telling her story, I promised to be all ears","in the surreal art exhibit, the walls appeared to be all ears",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","the company's annual party was an all singing, all dancing event with various performances","the talent show was an all singing, all dancing event where every participant sang and danced simultaneously",literal,literal,"['literal', 'literal']","['literal', 'literal']",False
all the rage,when something is the height of popularity,"in the 90s, the new fashion trend was all the rage among teenagers","when the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",her career went all the way up after she landed a major role in a blockbuster movie,the elevator went all the way up to the top floor of the building,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
an arm and a leg,a large amount of money,the designer dress she wanted cost an arm and a leg,the prosthetic limbs he needed cost an arm and a leg at the medical supply store,figurative,tie,"['figurative', 'figurative']","['discard', 'figurative']",False
an item,be involved in a romantic relationship,"after months of dating, they finally became an item and made their relationship official","in the virtual reality game, the player's avatar became an item to be collected by others",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
ants in pants,be extremely restless,he had ants in his pants and couldn't focus on the presentation,"while picnicking, he accidentally sat on an anthill and had ants in his pants",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
apple polisher,a flatterer; toady,he got the promotion by being an apple polisher and constantly flattering the boss,she took up the job of being an apple polisher at the fruit market,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,arguing about their preferences in music was like comparing apples and oranges,"at the grocery store, they were comparing apples and oranges to decide which fruit to buy",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
apples to apples,having a fair comparison between the two things,"to make a fair judgment, we need to compare apples to apples in this situation","in the fruit market, we had to compare apples to apples to find the best quality",tie,literal,"['ambiguous', 'figurative']","['literal', 'literal']",False
arm in arm,to be closely allied,the two companies walked arm in arm in their joint venture,"the couple walked arm in arm down the street, enjoying the evening",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
as far as,to the extent of something,his influence extends as far as the eye can see in the business world,the vast desert stretched out as far as the eye can see,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
as long as,to put condition of time on an action,his patience was as long as the rope when dealing with difficult customers,the snake was as long as the rope lying next to it,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
asked for the moon,ask for something that is very difficult or impossible to get,he asked for the moon when he requested a million-dollar salary,"the child, fascinated by astronomy, playfully asked for the moon as a birthday gift",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
