model,language_pair,score
gpt,en-zh,1.6648791989954632
gpt,en-ko,15.372261629725516
gpt,en-he,24.415301269074675
gpt,en-yo,0.8317484577049417
palm,en-zh,3.1980188935533413
palm,en-ko,14.346150148529388
palm,en-he,21.501652134914167
palm,en-yo,0.1191896312474007
google,en-zh,2.7782411666900235
google,en-ko,46.71933133390694
google,en-he,33.28195231785039
google,en-yo,6.864009744184758
opus,en-zh,0.5435662577929861
opus,en-ko,0.0
opus,en-he,31.324278126801243
opus,en-yo,0.5148138412014766
nllb,en-zh,0.5218360471450443
nllb,en-ko,7.5661092822362335
nllb,en-he,30.250433969803417
nllb,en-yo,0.3961503258569164
