idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt,p_f_hi_gpt,p_l_hi_gpt
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,seine Achillesferse,Trotz seiner Intelligenz war Prokrastination sein Achillesferse.,Während des Anatomieunterrichts haben wir seine Achillessehne und ihre Funktion studiert.,עקב אכילס שלו,"למרות חכמתו, הדחייה הייתה העקב האחורי שלו.","במהלך השיעור של האנטומיה, למדנו על עקבו שלו ופעולתו.","उसकी बुद्धिमता के बावजूद, टाल-मटोल उसकी असमर्थता थी।","एनाटॉमी क्लास के दौरान, हमने उसके एकिलीज हील और उसके कार्य का अध्ययन किया।"
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,haben ihren Mr. Right und ihre Ms. Right gefunden.,Nach Jahren der Suche fanden sie endlich ihren Mr. Right und ihre Ms. Right und ließen sich nieder.,Auf der Kostümparty fanden sie ihre Mr. Right und Ms. Right Outfits im Laden.,מצאו את הגבר הנכון והאישה הנכונה שלהם,"לאחר שנים של חיפושים, הם מצאו את הגבר הנכון והאישה הנכונה והתיישבו.","במסיבת התחפושות, הם מצאו את התלבושות של מר וגברת הנכונים בחנות.","खोज के कई वर्षों के बाद, वे अंततः अपने मिस्टर राइट और मिसेस राइट को ढूंढ निकले और बस गए।","कॉस्ट्यूम पार्टी पर, उन्होंने दुकान में अपने मिस्टर राइट और मिसेस राइट आउटफिट्स खोजे।"
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,ein Jungtürke in der Firma,Er wurde aufgrund seiner innovativen Ideen schnell zu einem jungen Türken im Unternehmen.,"Der neue Mitarbeiter war ein Jungtürke im Unternehmen, der kürzlich aus der Türkei umgezogen war.",טורק צעיר בחברה,הוא הפך מהר מאוד לטורק צעיר בחברה עקב רעיונותיו החדשניים.,"העובד החדש היה טורק צעיר בחברה, שעבר לאחרונה מטורקיה.",उसके नवाचारी विचारों के कारण वह जल्दी से कंपनी में एक यंग तुर्क बन गया।,"नया कर्मचारी कंपनी में एक यंग तुर्क था, हाल ही में तुर्की से आया था।"
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,Ein Vogel in der Hand.,"Er entschied sich, das Jobangebot anzunehmen, in dem Glauben, dass ein Vogel in der Hand mehr wert ist als zwei im Busch.","Indem sie einen Vogel in der Hand hielt, untersuchte sie vorsichtig seine Federn.",ציפור ביד,"הוא החליט לקבל את ההצעת עבודה, מאמין שציפור ביד שווה שתיים בעץ.","תופסת ציפור ביד, היא בדקה בזהירות את הנוצות שלה.","उसने नौकरी की पेशकश को स्वीकार करने का फैसला किया, यह मानते हुए कि हाथ में एक पक्षी दो पेड़ों में से बेहतर होता है।","उसने हाथ में एक पक्षी पकड़ा हुआ था, उसने ध्यान से उसकी पंखों की जांच की।"
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,Ich habe einen Kuckuck im Nest gefunden.,"Als der neue Mitarbeiter anfing, Probleme zu verursachen, erkannten sie, dass sie einen Kuckuck im Nest gefunden hatten.","Während er das Vogelnest beobachtete, fand der Ornithologe einen Kuckuck im Nest.",מצאתי קוקו בקן.,"כאשר העובד החדש התחיל לגרום לבעיות, הם הבינו שמצאו קוקו בקן.","בזמן שהאורניתולוג צפה בקנים של הציפור, הוא מצא קוקו בקנה.","जब नया कर्मचारी समस्याएं उत्पन्न करने लगा, तब उन्हें यह अनुभव हुआ कि उन्होंने अपने घोंसले में एक कोयल ढूंढ निकाला है।","पक्षी के घोंसले की निगरानी करते हुए, पक्षिविद ने घोंसले में एक कोयल को पाया।"
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,eine harte Nuss zu knacken,Der mysteriöse Fall war für den Detektiv ein hartes Nuss zu knacken.,"Die dicke Schale machte die Walnuss zu einer harten Nuss, die man mit bloßen Händen schwer aufbrechen konnte.",קשה לפתור,המקרה המסתורי היה קשור לפתיחה עבור הבלש.,הקליפה העבה עשתה את האגוז המלפפון לאגוז קשה לפרק עם הידיים הערמומיות.,डिटेक्टिव के लिए रहस्यमय मामला हल करना कठिन था।,मोटी खोपड़ी ने अखरोट को बिना हथेली के तोड़ना मुश्किल बना दिया।
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,hatte viel auf dem Teller,Mit mehreren Projekten bei der Arbeit jonglierend hatte sie in diesen Tagen viel auf dem Teller.,"Beim Potluck-Abendessen hatte er nachdem er von allem ein bisschen probiert hatte, viel auf dem Teller.",היה לי הרבה על הצלחת.,"כשהיא מתאמנת עם מספר פרויקטים בעבודה, היא נמצאת עם הרבה על הצלחת בימים האלו.","בארוחת הפוטלאק, הוא היה עם הרבה על הצלחת לאחר שניסה קצת מכל דבר.","काम में कई परियोजनाओं को संभालते हुए, उसके पास इन दिनों बहुत सारा काम था।","पॉटलक डिनर पर, उसने सब कुछ थोड़ा सा खाने के बाद बहुत सारी चीजें अपनी थाली में रख ली थीं।"
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,Ein Dach über dem Kopf haben.,"Eine Arbeit zu finden ist unerlässlich, um ein Dach über dem Kopf zu haben.",Während des Regensturms hielt dich ein Dach über dem Kopf trocken.,לקבל גג מעל לראשך,למצוא עבודה הוא חיוני כדי להיות עם גג מעל לראש.,"במהלך הסערה, גג מעל לראש שלך שמר על יבשותך.",नौकरी ढूंढना आपके सिर पर छत बनाने के लिए आवश्यक है।,"बारिश के दौरान, सिर पर छत होने से आप सुखी रहते थे।"
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,hat eine Schraube locker,"Er hat eine Schraube locker, wenn er denkt, dass er seinen Job ohne Konsequenzen kündigen kann.",Der wackelige Tisch hat eine lose Schraube und muss repariert werden.,יש לו בורג לוז,יש לו בורג חסר אם הוא חושב שהוא יכול להפטר מהעבודה שלו בלי השלכות.,השולחן המתקלקל יש לו מסמר שפורק וצריך להיות מתוקן.,"अगर वह सोचता है कि वह अपने काम से छुट्टी ले सकता है बिना किसी परिणाम के, तो उसमें एक स्क्रू ढीला है।",डगमगाती मेज में एक स्क्रू ढीला है और इसे ठीक करने की जरूरत है।
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,Sie erhielt einen Weckruf.,"Nachdem sie die Prüfung nicht bestanden hatte, erhielt sie einen Weckruf, um härter zu lernen.",Sie erhielt um 6 Uhr morgens einen Weckruf von der Rezeption des Hotels.,היא קיבלה שיחת העור בבוקר.,"לאחר שנכשלה במבחן, היא קיבלה התרעה להתחיל ללמוד קשה יותר.",קיבלה שיחת העור מקדמת ממשרד הקבלה של המלון בשעה 6 בבוקר.,"जब परीक्षा में असफल हुई, तब उसे ज्यादा मेहनत करने के लिए एक जागरूकता कॉल मिला।",उसे होटल के फ्रंट डेस्क से 6 बजे एक वेकअप कॉल मिला।
