idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,seine Achillesferse,Trotz seiner Intelligenz war Prokrastination seine Achillesferse.,Während des Anatomieunterrichts haben wir seine Achillesferse und ihre Funktion studiert.,עקב אכילס שלו,"למרות המוח שלו, הדחייה הייתה העקב שלו.","במהלך השיעור לאנטומיה, למדנו על עקבו שלו ופעולתו."
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,haben ihren Mr. Right und ihre Ms. Right gefunden.,Nach Jahren der Suche fanden sie endlich ihren Mr. Right und ihre Ms. Right und ließen sich nieder.,Auf der Kostümparty fanden sie ihre Mr. Right und Ms. Right Kostüme im Laden.,מצאו את המר רייט והמיס רייט שלהם,"לאחר שנים של חיפושים, הם מצאו את המר או הגברה הנכונים והתיישבו.","במסיבת התחפושות, הם מצאו את התלבושות של מר וגברת הנכונים בחנות."
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,ein Jungtürke in der Firma,Er wurde aufgrund seiner innovativen Ideen schnell zum jungen Wilden in der Firma.,"Der neue Mitarbeiter war ein Jungtürke im Unternehmen, der kürzlich aus der Türkei gezogen war.",טורק צעיר בחברה,הוא הפך מהר מאוד לטורק צעיר בחברה עקב רעיונותיו החדשניים.,"העובד החדש היה טורק צעיר בחברה, שעבר לאחרונה מטורקיה."
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,ein Vogel in der Hand,"Er entschied sich, das Jobangebot anzunehmen, in dem Glauben, dass ein Vogel in der Hand besser ist als zwei im Busch.",Sie hielt einen Vogel in der Hand und untersuchte vorsichtig seine Federn.,ציפור ביד,"הוא החליט לקבל את ההצעת עבודה, מאמין שציפור ביד שווה שתיים בעץ.","בעזרת ידה, היא אחזה בציפור ובחן את הנוצות שלה בזהירות."
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,Ich habe eine Kuckucksuhr im Nest gefunden.,"Als der neue Mitarbeiter anfing, Probleme zu verursachen, erkannten sie, dass sie einen Kuckuck im Nest gefunden hatten.","Während er das Vogelnest beobachtete, fand der Ornithologe einen Kuckuck im Nest.",מצאתי קוקו בקן,"כאשר העובד החדש התחיל לגרום לבעיות, הם הבינו שמצאו קוקו בקן.","בעת שהאורניתולוג הביט בקנה המידה בקנה המידה של הציפור, הוא מצא קוקו בקנה המידה."
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,ein hartes Stück Brot,Der mysteriöse Fall war für den Detektiv ein hartes Nuss zu knacken.,"Die dicke Schale machte die Walnuss zu einer harten Nuss, die man mit bloßen Händen nicht knacken konnte.",קשה לפתירה,המקרה המסתורי היה קשוח לפתירה עבור הבלש.,הקליפה העבה עשתה את האגוז המלפפון לאגוז קשה לפרק עם הידיים הערומות.
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,Ich hatte viel auf dem Teller.,"Mit mehreren Projekten bei der Arbeit jonglierend, hatte sie in diesen Tagen viel auf dem Teller.","Beim Potluck-Abendessen hatte er viel auf dem Teller, nachdem er von allem ein bisschen probiert hatte.",היה לי הרבה על הצלחת,"בעקבות ניהול מספר פרויקטים במקביל בעבודה, היא הייתה עם הרבה על הכיסאים בימים האחרונים.","בארוחת הפוטלאק, הוא היה עם הרבה על הצלחת לאחר שניסה קצת מכל דבר."
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,Ein Dach über dem Kopf haben.,"Eine Arbeit zu finden ist unerlässlich, um ein Dach über dem Kopf zu haben.",Während des Regensturms hat dich ein Dach über dem Kopf trocken gehalten.,יש לך גג מעל לראשך,מציאת עבודה היא חיונית לקיום גג מעל לראש.,"במהלך הסערה, גג מעל לראש שלך שמר על יבשותך."
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,hat eine Schraube locker.,"Er hat eine Schraube locker, wenn er denkt, dass er seinen Job ohne Konsequenzen kündigen kann.",Der wackelige Tisch hat eine lose Schraube und muss repariert werden.,יש לו בורג לוז,יש לו ברג שפורק אם הוא חושב שהוא יכול לפרוש מהעבודה שלו ללא תוצאות.,השולחן המתקלקל יש לו בורג שפורק וצריך להיות מתוקן.
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,Sie hat einen Weckruf erhalten.,"Nachdem sie die Prüfung nicht bestanden hatte, erhielt sie einen Weckruf, um härter zu lernen.",Sie erhielt um 6 Uhr morgens einen Weckruf von der Rezeption des Hotels.,היא קיבלה שיחת העורים.,"לאחר שנכשלה במבחן, היא קיבלה התרעה להתפנות וללמוד קשה יותר.",קיבלה שיחת העור מקבל הקהל של המלון בשעה 6 בבוקר.
