idiom,meaning,source_model,source_sentence,translation,afl,correctness
"Mr Right, Ms Right",the best future life partner for someone,gpt,found their Mr Right and Ms Right,找到了他们的Mr. Right和Ms. Right。,a,0
,,gpt,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down",经过多年的寻找，他们终于找到了他们的白马王子和白雪公主，安定下来了。,f,0
,,gpt,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store",在化装舞会上，他们在商店里找到了他们的Mr Right和Ms Right服装。,a,1
"Mr Right, Ms Right",the best future life partner for someone,nllb,found their Mr Right and Ms Right,发现了他们对的先生和女士,f,0
,,nllb,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","经过多年的寻找, 他们终于找到了他们合适的先生和女士, 并安顿下来.",f,0
,,nllb,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","在服装派对上,他们发现了他们的""Mr.",x,2
"Mr Right, Ms Right",the best future life partner for someone,opus,found their Mr Right and Ms Right,权利与权利 权利 权利与权利,x,2
,,opus,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","经过多年的搜寻,他们终于找到了右先生和右女士,安顿下来。",l,1
,,opus,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","在服装派对上,他们在店里 发现了他们的Right先生和Right女士的衣服",l,1
"Mr Right, Ms Right",the best future life partner for someone,palm,found their Mr Right and Ms Right,找到了他们的Mr Right和Ms Right,a,0
,,palm,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down",经过多年的寻找，他们终于找到了自己的真命天子和真命天女，并安定下来,f,0
,,palm,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store",在化装舞会上，他们在商店里找到了他们的白马王子和白雪公主服装,f,1
a whole new ball game,a significant change in circumstances.,opus,it's a whole new ball game,这是一个全新的球游戏,l,0
,,opus,"After the company's merger, [[it's a whole new ball game]] for the employees","公司合并后,对员工来说 是一个全新的球赛",l,1
,,opus,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","当他们从足球 转到棒球, 这是一个全新的球游戏 对于球员来说",l,0
a whole new ball game,a significant change in circumstances.,gpt,it's a whole new ball game,这是一个全新的局面。,f,0
,,gpt,"After the company's merger, [[it's a whole new ball game]] for the employees",公司合并后，对员工来说是一个全新的局面。,f,0
,,gpt,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",当他们从足球转换到棒球时，对于球员来说这是一个全新的比赛。,l,0
a whole new ball game,a significant change in circumstances.,nllb,it's a whole new ball game,这是一个全新的球游戏,l,0
,,nllb,"After the company's merger, [[it's a whole new ball game]] for the employees","公司合并后, 员工们的生活将会完全改变.",f,0
,,nllb,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",球员们的游戏也变得全新的.,l,2
a whole new ball game,a significant change in circumstances.,palm,it's a whole new ball game,这是一个全新的游戏,l,0
,,palm,"After the company's merger, [[it's a whole new ball game]] for the employees",公司合并后，员工们面临全新的局面,f,0
,,palm,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",当他们从足球转向棒球时，这对球员来说是一场全新的比赛,l,0
asked for the moon,ask for something that is very difficult or impossible to get,opus,asked for the moon,要求月亮,l,0
,,opus,He [[asked for the moon]] when he requested a million-dollar salary,"他要求月亮时,他要求月亮 要求一百万的薪水",l,1
,,opus,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",被天文学迷惑的孩子 巧妙地要求月亮作为生日礼物,l,1
asked for the moon,ask for something that is very difficult or impossible to get,gpt,asked for the moon,要求月亮,l,0
,,gpt,He [[asked for the moon]] when he requested a million-dollar salary,他要求一百万美元的薪水，简直是痴心妄想。,f,0
,,gpt,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",这个着迷于天文学的孩子在生日时开玩笑地要求月亮作为礼物。,l,0
asked for the moon,ask for something that is very difficult or impossible to get,palm,asked for the moon,痴心妄想,f,0
,,palm,He [[asked for the moon]] when he requested a million-dollar salary,他要求一百万美元的薪水，简直是痴人说梦,f,0
,,palm,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",这个对天文学着迷的孩子开玩笑地要求把月亮作为生日礼物,l,0
asked for the moon,ask for something that is very difficult or impossible to get,nllb,asked for the moon,要求月亮,l,0
,,nllb,He [[asked for the moon]] when he requested a million-dollar salary,"他要求月亮,当他要求一百万美元的薪水",l,1
,,nllb,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift","这位对天文学着迷的孩子,玩地要求月亮作为生日礼物",l,1
asleep at the switch,failing to attend to one's responsibilities or duties,palm,asleep at the switch,睡着了,l,1
,,palm,The manager was [[asleep at the switch]] when the crisis occurred,危机发生时，经理正在睡觉,l,1
,,palm,The train operator fell [[asleep at the switch]] during his break,列车司机在休息时睡在了道岔上,l,0
asleep at the switch,failing to attend to one's responsibilities or duties,nllb,asleep at the switch,在开关上睡着了,l,0
,,nllb,The manager was [[asleep at the switch]] when the crisis occurred,"危机发生时,经理在开关上睡着了.",l,1
,,nllb,The train operator fell [[asleep at the switch]] during his break,列车操作员在休息时在开关处睡着了,l,0
asleep at the switch,failing to attend to one's responsibilities or duties,opus,asleep at the switch,睡在开关上,l,0
,,opus,The manager was [[asleep at the switch]] when the crisis occurred,危机发生时经理在开关睡觉,l,1
,,opus,The train operator fell [[asleep at the switch]] during his break,火车接线员在休息时在开关上睡着了,l,1
asleep at the switch,failing to attend to one's responsibilities or duties,gpt,asleep at the switch,疏忽职守,f,0
,,gpt,The manager was [[asleep at the switch]] when the crisis occurred,经理在危机发生时疏忽大意。,f,0
,,gpt,The train operator fell [[asleep at the switch]] during his break,火车司机在休息期间睡着了，没有切换。,l,0
big cheese,to be an important and successful individual,opus,the big cheese,大奶酪,l,0
,,opus,"In the company, he's [[the big cheese]] and everyone respects him","在公司里,他是大奶酪 每个人都尊敬他",l,1
,,opus,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","在干酪节上,他们展示了 重量超过100磅的大起司",l,0
big cheese,to be an important and successful individual,nllb,the big cheese,大奶酪,l,0
,,nllb,"In the company, he's [[the big cheese]] and everyone respects him","在公司里,他是大奶酪,每个人都尊重他",l,1
,,nllb,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","在奶酪节上,他们展示了重达100磅的大奶酪",l,0
big cheese,to be an important and successful individual,palm,the big cheese,大人物,f,0
,,palm,"In the company, he's [[the big cheese]] and everyone respects him",在公司里，他是老大，人人都尊敬他,f,0
,,palm,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds",在奶酪节上，他们展示了重达100磅的大奶酪,l,0
big cheese,to be an important and successful individual,gpt,the big cheese,大人物,f,0
,,gpt,"In the company, he's [[the big cheese]] and everyone respects him",在公司里，他是大佬，每个人都尊敬他。,f,0
,,gpt,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds",在奶酪节上，他们展示了一个重量超过100磅的大奶酪。,l,0
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",nllb,he bit off more than he could chew,他咬了比他可以更多的东西,l,1
,,nllb,"By accepting too many projects at once, [[he bit off more than he could chew]]","他一下子接受了太多的项目,",x,2
,,nllb,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,他咬了比他可以更多当他试图吃整个三明治在一个咬,l,2
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",opus,he bit off more than he could chew,他咬咬的比他嚼不嚼的还多,l,2
,,opus,"By accepting too many projects at once, [[he bit off more than he could chew]]","通过同时接受太多的项目, 他咬了更多的东西 超过他可以咀嚼",l,1
,,opus,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,他咬掉的比咬一口吃整个三明治时嚼得嚼不嚼的还要多,l,2
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",gpt,he bit off more than he could chew,他贪多嚼不烂。,f,0
,,gpt,"By accepting too many projects at once, [[he bit off more than he could chew]]",他一次接受了太多的项目，超出了他的能力范围。,f,0
,,gpt,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,他一口咬下整个三明治，结果咬不动。,l,0
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",palm,he bit off more than he could chew,他自不量力,f,0
,,palm,"By accepting too many projects at once, [[he bit off more than he could chew]]",他一次接受太多项目，结果是力不从心,f,0
,,palm,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,他想一口吃掉整个三明治，结果吃得太多了,l,1
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,opus,blow his own horn,自己吹自己的号角,l,0
,,opus,He never hesitates to [[blow his own horn]] about his accomplishments,他从不犹豫自吹自吹自吹自吹自吹自已的成就,f,2
,,opus,"As a trumpet player, he would [[blow his own horn]] during practice","作为吹喇叭员,他会在练习中吹吹自己的喇叭",l,1
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,palm,blow his own horn,,x,2
,,palm,He never hesitates to [[blow his own horn]] about his accomplishments,他总是毫不犹豫地吹嘘自己的成就,f,0
,,palm,"As a trumpet player, he would [[blow his own horn]] during practice",作为一名小号手，他会在练习时吹自己的号,l,0
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,nllb,blow his own horn,吹自己的喇,l,1
,,nllb,He never hesitates to [[blow his own horn]] about his accomplishments,他从不犹为自己的成就吹吹喇,f,2
,,nllb,"As a trumpet player, he would [[blow his own horn]] during practice","作为一个吹角演奏者,他在练习时会吹自己的喇",l,1
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,gpt,blow his own horn,吹嘘自己,f,0
,,gpt,He never hesitates to [[blow his own horn]] about his accomplishments,他从不犹豫地吹嘘自己的成就。,f,0
,,gpt,"As a trumpet player, he would [[blow his own horn]] during practice",作为一个小号手，在练习时他会吹自己的号。,l,0
blow your own trumpet,to say things that makes your own self or kin look good,opus,blowing his own trumpet,吹着自己的号角,l,0
,,opus,He was always [[blowing his own trumpet]] about his accomplishments,他总是自吹自吹自吹自吹自吹自吹自吹 有关他的成就,f,2
,,opus,"During the parade, he was [[blowing his own trumpet]] as part of the marching band","在游行中,他作为游行乐队的一部分,自己吹喇叭。",l,2
blow your own trumpet,to say things that makes your own self or kin look good,palm,blowing his own trumpet,,x,2
,,palm,He was always [[blowing his own trumpet]] about his accomplishments,他总是吹嘘自己的成就,f,0
,,palm,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",游行期间，他作为行进乐队的一员吹着自己的号,l,0
blow your own trumpet,to say things that makes your own self or kin look good,nllb,blowing his own trumpet,吹自己的号角,l,0
,,nllb,He was always [[blowing his own trumpet]] about his accomplishments,"他总是吹自己的号角,",l,1
,,nllb,"During the parade, he was [[blowing his own trumpet]] as part of the marching band","在游行中,他吹自己的喇作为游行乐队的一部分",l,1
blow your own trumpet,to say things that makes your own self or kin look good,gpt,blowing his own trumpet,自吹自擂,f,0
,,gpt,He was always [[blowing his own trumpet]] about his accomplishments,他总是吹嘘自己的成就。,f,0
,,gpt,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",在游行期间，他作为行进乐队的一部分吹着自己的小号。,l,0
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,opus,burning the candle at both ends,两端都点燃蜡烛,l,0
,,opus,"Working two jobs and studying, she was [[burning the candle at both ends]]","做两份工作和学习,她在两端烧蜡烛",l,1
,,opus,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","实验期间,他们在两端点燃蜡烛,以观察熔化速度。",l,0
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,nllb,burning the candle at both ends,两个端燃烧,l,1
,,nllb,"Working two jobs and studying, she was [[burning the candle at both ends]]","她在两份工作和学习中,",x,2
,,nllb,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","实验期间,他们用两端的燃烧, 观察化的速度",l,1
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,gpt,burning the candle at both ends,两头烧蜡烛,l,0
,,gpt,"Working two jobs and studying, she was [[burning the candle at both ends]]",她同时工作两份工作并学习，她在两头烧蜡。,l,1
,,gpt,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate",在实验期间，他们烧蜡烛的两端以观察熔化速率。,l,0
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,palm,burning the candle at both ends,,x,2
,,palm,"Working two jobs and studying, she was [[burning the candle at both ends]]",她同时做两份工作，还要学习，真是分身乏术,f,0
