idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
on the pig's back,"at the farm, the child was riding on the pig's back for fun",1,a successful situation and everything is going well for that person,choke up,"while eating too quickly, he started to choke up on a piece of food",1,make a person become overemotional and speechless,catch up,I need to catch up with her to discuss the latest news,0,"to get to the same level, standard, or status as something or someone",asleep at the wheel,he was so exhausted that he fell asleep at the wheel while driving,1,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",taste of own medicine,she gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,1,when someone gets the same bad treatment that he has been giving others
recharge one's batteries,they went on a vacation to recharge their batteries and regain their energy,0,take a break or holiday to relax and regain one's vim and vigour,sink or swim,starting a new job without any training was a sink or swim situation for her,0,"having to do something alone, and their success or failure depends entirely on their own efforts",line in the sand,"while playing at the beach, the children decided to draw a line in the sand to divide their territories",1,a boundary beyond which one cannot proceed without consequences,cloud on the horizon,"as we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",1,"a problem or difficulty that is predictable, or seems likely to arise in the future",butterflies in stomach,"in a surreal dream, she had butterflies in her stomach as they fluttered around",1,to feel very nervous and restless
miss the boat,she missed the boat on that opportunity by not applying for the job in time,0,miss a chance,keep the wolf from the door,"with a sturdy fence, the farmer kept the wolf from the door of his sheep pen",1,to have sufficient money to prevent starvation or hunger,Dutch uncle,"he gave me advice like a Dutch uncle, always straightforward and honest",0,"criticize, scold or lecture someone",gets it out of his system,he needs to vent his frustrations to gets it out of his system,0,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,bite the hand that feed,the untrained dog bit the hand that fed him,1,to turn against someone who has been a benefactor in the past
up to the neck,"the floodwaters rose, leaving him up to the neck in work to clean up the mess",1,"when people are very involved in something, especially when it's something wrong",last resort,he decided to ask his parents for help as a last resort when all other options failed,0,the last thing you would do if you were desperate and all other courses of action had failed,take a beating,the old punching bag took a beating during the intense workout session,1,to be defeated in doing something and be reprimanded for the same,hammer and tongs,they went at it hammer and tongs during the heated debate,0,"to argue fiercely, with a lot of energy and noise",red zone,"when the deadline approached, we entered the red zone and worked tirelessly",0,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity."
in the pipeline,the engineers were working on a system to detect leaks and monitor projects in the pipeline,1,to be underway,outside the lines,his innovative approach to the project was like coloring outside the lines,0,not sticking to the rules,give a shot,"even though he was nervous, he gave it a shot and presented his idea to the team",0,to have a try at something,the die is cast,"once the decision was made, there was no turning back; the die is cast",0,"an unalterable decision has been reached, or step taken.",as far as,the vast desert stretched out as far as the eye can see,1,to the extent of something
chink in armour,"while examining the knight's suit, he found a chink in their armour that needed repair",1,a susceptible or vulnerable area.,lights are on but nobody is home,"when I tried to explain the situation to him, it seemed like the lights are on but nobody is home",0,used to describe a stupid person.,from A to Z,she studied the subject so thoroughly that she learned it from A to Z,0,comprehensive,give a shot,the nurse gave it a shot of vaccine to the patient,1,to have a try at something,skeleton in the closet,"while exploring the haunted house, we discovered a skeleton in the closet of one of the rooms",1,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose"
deliver the goods,the new employee delivered the goods on time by meeting all the project deadlines,0,do what is required,happy camper,"when the tent collapsed, he was not a happy camper at the campsite",1,to be content or satisfied with what is happening in your lifes and have no complaints,whole nine yards,she went the whole nine yards to make his birthday special,0,"everything, all of something",the eleventh hour,she decided to go for a walk at the eleventh hour of the night,1,at the very last minute before an event,in the cross hairs,"during the paintball match, she was caught in the cross hairs of her opponent's gun",1,in a position where one might receive severe criticism
lose it,she lost it during the meeting when she could n't handle the pressure anymore,0,go insane or crazy,paddle own canoe,they had to paddle their own canoe to reach the other side of the lake,1,To be able to act without having to depend on anyone.,in a pickle,the tiny figurines found themselves in a pickle when they were accidentally placed inside a jar of pickles,1,to be in a difficult situation,glass ceiling,"while installing the chandelier, he accidentally hit the glass ceiling and shattered it",1,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",blow away,their innovative product blew away the competition in the market,0,impress someone very much
take it on the chin,"during the boxing match, he took it on the chin and fell to the ground",1,this is a boxing metaphor meaning don't shy away from difficulty,black book,the old photograph was found in the black book on the dusty shelf,1,a book containing a list of secret contacts,blowing smoke,the magician was blowing smoke at the meeting as part of his performance,1,to intentionally misinform or deceive,the brains behind,"the computer was the brains behind the project, controlling all the automated processes",1,"used to refer to the person who originally invented a particular scheme, plan or idea",have a soft spot,"despite her tough exterior, she has a soft spot for kittens and always takes care of them",0,to like someone very much
have a soft spot,the veterinarian has a soft spot for kittens in her clinic where they can rest comfortably,1,to like someone very much,takes two to tango,"in a dance competition, the judges reminded the participants that it takes two to tango",1,certain actions or activities cannot be performed alone - they  need two people to participate,catch up,I had to run faster to catch up with her during the race,1,"to get to the same level, standard, or status as something or someone",up to the neck,he was up to the neck in work and couldn't take a break,0,"when people are very involved in something, especially when it's something wrong",to the core,the news of the tragedy left her shaken to the core,0,totally
