model,language_pair,score
gpt,en-de,0.886788149131462
gpt,en-he,0.870015882072039
gpt,en-hi,0.8774013319052756
gpt,en-hu,0.868862573755905
gpt,en-ko,0.8892201129347086
gpt,en-es,0.887594843050465
gpt,en-yo,0.8425854524830356
gpt,en-zh,0.8696228814078495
palm,en-de,0.8296694673529459
palm,en-he,0.8479296635671791
palm,en-hi,0.8715855331103629
palm,en-hu,0.8295309506506326
palm,en-ko,0.8632960926906755
palm,en-es,0.8309366145084813
palm,en-yo,0.8369584014872089
palm,en-zh,0.85383627494011
google,en-de,0.8722127573564649
google,en-he,0.8906822428107262
google,en-hi,0.8870152563322335
google,en-hu,0.8851159780751914
google,en-ko,0.8883347996743396
google,en-es,0.8853094384539872
google,en-yo,0.8596551904920489
google,en-zh,0.8711322960443795
opus,en-de,0.8874953757040203
opus,en-he,0.9035650247242302
opus,en-hi,0.8833043982740492
opus,en-hu,0.8846952241146937
opus,en-ko,0.0
opus,en-es,0.889242373406887
opus,en-yo,0.8536344593157992
opus,en-zh,0.8808273082831874
nllb,en-de,0.8848799327388406
nllb,en-he,0.8931674520717934
nllb,en-hi,0.8891978139290586
nllb,en-hu,0.8882130918791518
nllb,en-ko,0.8686636778293177
nllb,en-es,0.8879013835685328
nllb,en-yo,0.8471111034741625
nllb,en-zh,0.8670399602269754
