idioms_korean
idiom,match,meaning
강 건너 불구경,강 건너 불 구경하듯 하다,remain a mere[an idle] spectator[onlooker]
가뭄에 콩 나듯,가뭄에 콩 나듯,(as) scarce as hen's teeth
간(을) 졸이다,간을 졸이다,be nervous and anxiously waiting for something
간(이) 떨어지다,간이 떨어지다,"be extremely startled, be scared out of one's wits, be scared to death"
간(이) 붓다,간이 붓다,"be reckless, be out of one's mind, be too audacious"
간(이) 작다,간(이) 작다,be easily scared
간(이) 크다,간(이) 크다,be reckless and daredevil
간(이) 타다,간(이) 타다,be anxious
간에 차지 않다,정족수에 차지 않다,be short of necessary quorum; dissatisfied
간을 꺼내어 주다,간을 꺼내어 주다,Trusts someone so much that one is willing to sacrifice for someone
간장이 녹다,간장이 녹다,"Feels relieved, no longer nervous"
간이 덜컹/덜렁/철렁 하다,간이 덜렁[덜컹/철렁]하다,One's liver dangles[rattles/sinks]
간이 벌름거리다,간이 벌름거리다,One’s liver flares; nervous; anxious
간이 조마조마하다,간이 조마조마하다,One's liver flutters; nervous; anxious
간이 콩알만 해지다,간이 콩알만 해지다,be scared stiff
개발에 편자,개 발에 편자,a horseshoe for a dog paw
가슴에 찔리다,가슴이 찔리다 ( 가슴에 찔리다 ),"be conscience-stricken, have a guilty conscience, have an uneasy conscience"
가슴을 틀어잡다,가슴을 틀어잡다,feels sorrowful
경(을) 치다,경을 치다,have a hard time of it
경종을 울리다,경종을 울리다,sound[raise] the alarm
골로 가다,골로 가다,Die
골탕을 먹다,골탕(을) 먹다,lose out
고배를 들다/마시다/맛보다,마시다,"drink, have"
귀신도 모르다,귀신도 모르다,Nobody knows; even a ghost doesn't know
귀신이 곡하다,귀신이 곡하다,A ghost wails; Something strange and mysterious happened
가면을 벗다,가면을 벗다,take off a mask
가난이 들다,가난이 들다,cite poverty
귀가 따갑다,귀가 따갑다,be tired of hearing the same thing
귀가 번쩍 뜨이다,귀가 번쩍 뜨이다,One's ears open wide; heard surprising news
귀에 못이 박히다,귀에 못이 박히다,"have heard sth more than enough, be sick and tired of hearing (something repeatedly)"
귀(를) 기울이다,귀를 기울이다,listen carefully (to)
귀(에) 거칠다,귀에 거칠다,"be unpleasant[bitter, disagreeable] to hear;be harsh to the ear"
