model,language_pair,score
gpt,en-zh,0.5037016329169274
gpt,en-ko,0.4739454808831215
gpt,en-he,0.393379203081131
gpt,en-yo,0.02861739456653595
palm,en-zh,0.5262857767939567
palm,en-ko,0.5204121181368828
palm,en-he,0.4280354282259941
palm,en-yo,0.06915317565202712
google,en-zh,0.5338524237275124
google,en-ko,0.5994833619892597
google,en-he,0.48710588723421094
google,en-yo,0.1930731788277626
opus,en-zh,0.4613114270567894
opus,en-ko,0.0
opus,en-he,0.436797508597374
opus,en-yo,0.10567410528659821
nllb,en-zh,0.4328941014409065
nllb,en-ko,0.46232525154948234
nllb,en-he,0.4226169827580452
nllb,en-yo,0.11738760948181153
