,idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt,p_a_hi_gpt,p_f_hi_gpt,p_l_hi_gpt,p_a_hu_gpt,p_f_hu_gpt,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_a_es_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt,p_l_yo_gpt,p_a_zh_gpt,p_f_zh_gpt,p_l_zh_gpt
0,Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,seine Achillesferse,Trotz seiner Intelligenz war Prokrastination seine Achillesferse.,Während des Anatomieunterrichts haben wir seine Achillesferse und ihre Funktion studiert.,עקב אכילס שלו,"למרות המוח שלו, הדחייה הייתה העקב שלו.","במהלך השיעור לאנטומיה, למדנו על עקבו שלו ופעולתו.",उसकी अखिल्लेश्वर एचिलीज हील है।,"उसकी बुद्धिमत्ता के बावजूद, टाल-मटोल उसकी असमर्थता थी।","एनाटॉमी क्लास के दौरान, हमने उसके एकिलीज हील और उसके कार्य का अध्ययन किया।",az Achilles-sarka,"Bár intelligens volt, a halogatás volt az Achilles-sarka.",Az anatómia órán tanulmányoztuk az Achilles-ínét és annak funkcióját.,그의 아킬레스건,"그의 지능에도 불구하고, 질질 끌기는 그의 아킬레스건이었다.",해부학 수업에서 그의 아킬레스건과 그 기능을 공부했습니다.,su talón de Aquiles,"A pesar de su inteligencia, la procrastinación era su talón de Aquiles.","Durante la clase de anatomía, estudiamos su talón de Aquiles y su función.",iyẹn ni ọkan ọkan ti o jẹ ẹrọ akiyesi rẹ.,"Nitorinaa adari, ija ni omo araye ti o wa ni iya re.","Loni ni adiẹ fun ẹtọ anatọmì, a mọ awọn ẹrọ ẹya ni ọkan rẹ ati iṣẹ rẹ.",他的致命弱点,尽管他很聪明，但拖延是他的致命弱点。,在解剖课上，我们学习了他的跟腱和它的功能。
1,"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,haben ihren Mr. Right und ihre Ms. Right gefunden.,Nach Jahren der Suche fanden sie endlich ihren Mr. Right und ihre Ms. Right und ließen sich nieder.,Auf der Kostümparty fanden sie ihre Mr. Right und Ms. Right Kostüme im Laden.,מצאו את המר רייט והמיס רייט שלהם,"לאחר שנים של חיפושים, הם מצאו את המר או הגברה הנכונים והתיישבו.","במסיבת התחפושות, הם מצאו את התלבושות של מר וגברת הנכונים בחנות.",अपने मिस्टर राइट और मिसेस राइट को खोज लिया,"खोज के कई वर्षों के बाद, उन्होंने अंततः अपने सही जीवन साथी पुरुष और महिला को ढूंढ निकाला और बस गए।","वेशभूषा पार्टी में, वे दुकान में अपने मिस्टर राइट और मिसेस राइट वस्त्र पाए।",Megtalálták az Igazit.,Évek keresése után végre megtalálták az Igazit és letelepedtek.,A jelmezbálon megtalálták Mr. Right és Ms. Right ruháikat az üzletben.,그들의 Mr. Right와 Ms. Right를 찾았다.,"수년간의 탐색 끝에, 그들은 드디어 그들의 Mr. Right와 Ms. Right를 찾아 결혼했다.",코스튬 파티에서 그들은 상점에서 Mr Right와 Ms Right 의상을 찾았다.,Encontraron a su Sr. Correcto y Sra. Correcta.,"Después de años de búsqueda, finalmente encontraron a su Sr. Correcto y Sra. Correcta y se establecieron.","En la fiesta de disfraces, encontraron sus trajes de Sr. Correcto y Sra. Correcta en la tienda.",ni won fi han Mr Right ati Ms Right won.,"Nitoripe ojo meta ti won ti owo isoro, won ni won fi owo isoro ti won ni Mr Right ati Ms Right, won gbe won si ile.","Ni ẹbun ẹwẹ akọkọ, wọn ti wa ni ọja lati wa ni awọn ẹwẹ Mr Right ati Ms Right.",找到了他们的Mr. Right和Ms. Right。,经过多年的寻找，他们终于找到了他们的白马王子和白雪公主，安定下来了。,在化装舞会上，他们在商店里找到了他们的Mr Right和Ms Right服装。
2,Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,ein Jungtürke in der Firma,Er wurde aufgrund seiner innovativen Ideen schnell zum jungen Wilden in der Firma.,"Der neue Mitarbeiter war ein Jungtürke im Unternehmen, der kürzlich aus der Türkei gezogen war.",טורק צעיר בחברה,הוא הפך מהר מאוד לטורק צעיר בחברה עקב רעיונותיו החדשניים.,"העובד החדש היה טורק צעיר בחברה, שעבר לאחרונה מטורקיה.",कंपनी में एक यंग टर्क,उसके नवाचारी विचारों के कारण वह कंपनी में जल्दी से एक यंग तुर्क बन गया।,"नया कर्मचारी कंपनी में एक यंग तुर्क था, जो हाल ही में तुर्की से आया था।",egy fiatal török a társaságban,Gyorsan a Török Ifjak közé került a cégben az innovatív ötletei miatt.,"Az új alkalmazott egy fiatal török volt a cégnél, aki nemrég költözött Törökországból.",회사에서의 젊은 터크,그는 그의 혁신적인 아이디어 덕분에 회사에서 빠르게 어린 터크인이 되었다.,새로운 직원은 최근 터키에서 이사해온 어린 터크였다.,un Joven Turco en la compañía,Rápidamente se convirtió en un Joven Turco en la empresa debido a sus ideas innovadoras.,"El nuevo empleado era un Joven Turco en la empresa, habiendo recientemente mudado desde Turquía.",omobinrin Turk pupo ni eto yii.,O ti da lori odo bi omo Turkun titi di omo Turkun ni odo naa nitori awon iroyin alaabo re ti o dara ju.,"Omo alaafia titun ni omo Turkisi yii, ti o ṣe iduro ni ilu Turkisi.",公司里的年轻土耳其人,由于他的创新想法，他很快就成为了公司里的年轻土耳其人。,新员工是公司里的年轻土耳其人，最近从土耳其搬来。
3,a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,ein Vogel in der Hand,"Er entschied sich, das Jobangebot anzunehmen, in dem Glauben, dass ein Vogel in der Hand besser ist als zwei im Busch.",Sie hielt einen Vogel in der Hand und untersuchte vorsichtig seine Federn.,ציפור ביד,"הוא החליט לקבל את ההצעת עבודה, מאמין שציפור ביד שווה שתיים בעץ.","בעזרת ידה, היא אחזה בציפור ובחן את הנוצות שלה בזהירות.",हाथ में एक पक्षी,"उसने नौकरी की पेशकश को स्वीकार करने का फैसला किया, यह मानते हुए कि हाथ में एक पक्षी दो पेड़ों में से बेहतर होता है।","उसने हाथ में एक पक्षी पकड़ा हुआ था, उसने ध्यान से उसकी पंखों की जांच की।",egy madár a kézben,"Úgy döntött, hogy elfogadja az állásajánlatot, mert úgy gondolta, hogy jobb madár a kézben, mint tíz az égen.","A kezében tartva egy madarat, óvatosan megvizsgálta a tollait.",손에 있는 새,그는 손에 있는 새가 두 마리의 나무에서 얻을 수 있는 새보다 낫다고 믿어서 일자리 제안을 받아들이기로 결정했다.,그녀는 손에 새를 잡고 깃털을 조심스럽게 살펴보았다.,un pájaro en la mano,"Decidió aceptar la oferta de trabajo, creyendo que más vale pájaro en mano que ciento volando.","Sosteniendo un pájaro en la mano, examinó cuidadosamente sus plumas.",ọkẹ ńlá niwaju.,"O ti yan awọn iṣẹ ọfẹ, nitori o nilo lati gbe ẹ̀yinjú ọkan ni oke kan ni o le ṣe.","Ní ìlàn bó ṣe ní òkèlè, ó rírò rẹ̀rẹ̀ bọ̀rọ̀ lára àwòrán rẹ̀.",手中的一只鸟,他决定接受工作邀请，相信手中有一只鸟胜过两只在树上。,她手里拿着一只鸟，仔细地检查它的羽毛。
4,a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,Ich habe eine Kuckucksuhr im Nest gefunden.,"Als der neue Mitarbeiter anfing, Probleme zu verursachen, erkannten sie, dass sie einen Kuckuck im Nest gefunden hatten.","Während er das Vogelnest beobachtete, fand der Ornithologe einen Kuckuck im Nest.",מצאתי קוקו בקן,"כאשר העובד החדש התחיל לגרום לבעיות, הם הבינו שמצאו קוקו בקן.","בעת שהאורניתולוג הביט בקנה המידה בקנה המידה של הציפור, הוא מצא קוקו בקנה המידה.",घोंसले में एक कोयल मिली,"जब नया कर्मचारी समस्याएं उत्पन्न करने लगा, तब उन्हें यह मालूम हुआ कि उन्होंने अपने अंदर एक अजगर को घर बैठा रखा है।",चिड़ियाघर के वैज्ञानिक ने चिड़ियाघर में एक कोयल को देखा।,talált egy kakukkot a fészekben,"Amikor az új alkalmazott problémákat okozni kezdett, rájöttek, hogy egy kakukktojás került a fészekbe.","Miközben megfigyelte a madárfészket, az ornitológus egy kakukkot talált a fészekben.",둥지에서 뻐꾸기를 발견했다.,새로운 직원이 문제를 일으키기 시작하자 그들은 둥지에 둥지에 왜곡된 새를 찾았다는 것을 깨달았다.,조류학자는 새의 둥지를 관찰하다가 그 둥지에 뻐꾸기가 있다는 것을 발견했다.,Encontré un cuco en el nido.,"Cuando el nuevo empleado comenzó a causar problemas, se dieron cuenta de que habían encontrado un cuco en el nido.","Mientras observaba el nido del pájaro, el ornitólogo encontró un cuco en el nido.",Mo ti ṣe ohun ẹyẹlẹ lọ si ile-iwe.,"Nitorinaa ti omo ise titun ba n gbe owo oju kokoro, won ni won ti ri aluko to n je ologbo ni ibe.","Nitoripe o n wo ile-ewe e, o ri aluko ti o n se oju-ologbo ni ile-ewe yii.",发现了一个布谷鸟在巢里。,当新员工开始引起问题时，他们意识到他们在巢里发现了一个布谷鸟。,在观察鸟巢时，鸟类学家在巢里发现了布谷鸟。
5,a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,ein hartes Stück Brot,Der mysteriöse Fall war für den Detektiv ein hartes Nuss zu knacken.,"Die dicke Schale machte die Walnuss zu einer harten Nuss, die man mit bloßen Händen nicht knacken konnte.",קשה לפתירה,המקרה המסתורי היה קשוח לפתירה עבור הבלש.,הקליפה העבה עשתה את האגוז המלפפון לאגוז קשה לפרק עם הידיים הערומות.,एक कठिन नट्‌टी (ek kathin natti),जासूस के लिए रहस्यमय मामला हल करना कठिन था।,मोटी खोपड़ी ने अखरोट को बिना हथेली के तोड़ना मुश्किल बना दिया।,nehéz dió.,A rejtélyes ügy kemény diónak bizonyult a nyomozó számára.,A vastag héj miatt a dió kemény diónak bizonyult meztelen kézzel feltörni.,풀기 어려운 문제,탐정에게는 풀기 어려운 수수께끼 같은 사건이었다.,두꺼운 껍질로 인해 호두는 맨손으로 깨기 어려운 딱딱한 견과류가 되었다.,un hueso duro de roer,El caso misterioso fue un hueso duro de roer para el detective.,La cáscara gruesa hizo que la nuez fuera difícil de abrir con las manos desnudas.,ọrọ buruku lati ṣe.,Iwọn ọrọ ọrẹ ni o jẹ ohun tó wà nípa lọ́wọ́ ọ̀rẹ tó ní ẹ̀sìn.,"Iwọfa tó mọ́lẹ̀ ló wà nípa àwọn ẹyin ẹ̀rín, ṣùgbọ́n àwọn ọmọ ènìyàn kò lè ṣe àṣẹ pẹ̀lú àwọn òkèlé rẹ̀rẹ̀.",难以解决的问题,这个神秘的案件对侦探来说是一个难以破解的难题。,这个厚壳使得核桃很难用手掰开。
6,a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,Ich hatte viel auf dem Teller.,"Mit mehreren Projekten bei der Arbeit jonglierend, hatte sie in diesen Tagen viel auf dem Teller.","Beim Potluck-Abendessen hatte er viel auf dem Teller, nachdem er von allem ein bisschen probiert hatte.",היה לי הרבה על הצלחת,"בעקבות ניהול מספר פרויקטים במקביל בעבודה, היא הייתה עם הרבה על הכיסאים בימים האחרונים.","בארוחת הפוטלאק, הוא היה עם הרבה על הצלחת לאחר שניסה קצת מכל דבר.",बहुत सारी चीजें थीं जिन्हें करना था।,"काम पर कई परियोजनाओं को एक साथ संभालते हुए, उसके पास इन दिनों बहुत सारा काम था।","पॉटलक डिनर पर, उसने सब कुछ थोड़ा सा खाने के बाद बहुत सारी चीजें अपनी प्लेट पर रख ली थीं।",Sok dolga volt.,"Több projektet kellett egyszerre kezelnie a munkahelyén, így mostanában sok dolga volt.","Az összejövetelen sok mindent megkóstolt, ezért nagyon sok étel volt a tányérján.",많은 일이 있었다.,"일에서 여러 프로젝트를 병행하면서, 요즘에는 많은 일을 하고 있었다.",팟럭 저녁 식사에서 그는 모든 것을 좀씩 맛보고 나서 접시에 많이 담았다.,Tenía mucho en el plato.,"Malabareando múltiples proyectos en el trabajo, ella tenía mucho en el plato estos días.","En la cena de comida compartida, él tenía mucho en el plato después de probar un poco de todo.",Ọ náà ni ìwé àgbà láti ṣe.,"Nitoripe o ti nṣe awọn iṣẹ mejeeji pupọ ni ojulowo, o ti nṣe ohun gbogbo ni ọkan re ni ojojumọ.","Ni adun asiko, o ti ní òpòlòpò lórí òpá kan lóde ti o bá gbé àwọn ẹ̀yin gbogbo.",手头很忙。,她在工作中同时处理多个项目，这些天她的工作量很大。,在聚餐中，他嚐了一點所有的菜後，盤子上堆滿了食物。
7,a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,Ein Dach über dem Kopf haben.,"Eine Arbeit zu finden ist unerlässlich, um ein Dach über dem Kopf zu haben.",Während des Regensturms hat dich ein Dach über dem Kopf trocken gehalten.,יש לך גג מעל לראשך,מציאת עבודה היא חיונית לקיום גג מעל לראש.,"במהלך הסערה, גג מעל לראש שלך שמר על יבשותך.",अपने सिर पर छत होना,नौकरी ढूंढना आपके सिर पर छत होने के लिए आवश्यक है।,"बारिश के दौरान, सिर पर छत होने से आप सुखी रहते थे।",tető a fejed felett,"Egy munka megtalálása elengedhetetlen ahhoz, hogy legyen hol laknod.",Az esőzés alatt a fejed fölötti tető szárazon tartott.,머리 위에 지붕이 있는 것,일자리를 구하는 것은 집을 가지는 데 필수적입니다.,"비바람 동안에, 머리 위에 지붕이 있으면 건조하게 유지됩니다.",tener un techo sobre tu cabeza,Encontrar un trabajo es esencial para tener un techo sobre tu cabeza.,"Durante la tormenta, tener un techo sobre tu cabeza te mantuvo seco.",ni ilé rẹ ni òkunrin.,Ile ni igbeyawo fun eniyan ti o ba ni ise.,"Ni irin-ajo, owo ati ile lo fi owo ra.",有一个屋檐覆盖着你的头,找到工作对于有个家是必要的。,在暴雨期间，有屋顶遮盖可以让你保持干燥。
8,a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,hat eine Schraube locker.,"Er hat eine Schraube locker, wenn er denkt, dass er seinen Job ohne Konsequenzen kündigen kann.",Der wackelige Tisch hat eine lose Schraube und muss repariert werden.,יש לו בורג לוז,יש לו ברג שפורק אם הוא חושב שהוא יכול לפרוש מהעבודה שלו ללא תוצאות.,השולחן המתקלקל יש לו בורג שפורק וצריך להיות מתוקן.,उसमें एक स्क्रू ढीला है।,"अगर वह सोचता है कि वह अपने काम से छुट्टी ले सकता है बिना किसी परिणाम के, तो उसमें कुछ खराबी है।",ढीली मेज में एक स्क्रू ढीला हो गया है और इसे ठीक करने की जरूरत है।,Lazult csavarja van.,"Ha azt hiszi, hogy következmények nélkül felmondhat a munkájában, akkor nála van egy csavar lötyögve.",A bizonytalan asztalnak laza csavarja van és meg kell javítani.,나사가 풀린 것 같다.,그가 그의 일을 그냥 그냥 그만둘 수 있다고 생각한다면 그는 미친 것이다.,흔들리는 테이블에 나사가 풀려서 고쳐져야 합니다.,tiene un tornillo suelto,Tiene un tornillo suelto si piensa que puede renunciar a su trabajo sin consecuencias.,La mesa tambaleante tiene un tornillo suelto y necesita ser arreglada.,O ni ẹ̀rín jẹ́.,O ni ẹ̀rọ kò wà lè rí ẹ̀sìn rẹ̀ lọ nítorí ẹ̀rọ kan ti o wà.,"Aṣẹdẹ kan ti ń ṣe wọwọ ni ọkan ti o wọpọ, ati o nilo lati ṣiṣẹ.",有一颗螺丝松了。,如果他认为可以毫无后果地辞职，那他就有点不正常。,摇晃的桌子有一颗螺丝松了，需要修理。
9,a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,Sie hat einen Weckruf erhalten.,"Nachdem sie die Prüfung nicht bestanden hatte, erhielt sie einen Weckruf, um härter zu lernen.",Sie erhielt um 6 Uhr morgens einen Weckruf von der Rezeption des Hotels.,היא קיבלה שיחת העורים.,"לאחר שנכשלה במבחן, היא קיבלה התרעה להתפנות וללמוד קשה יותר.",קיבלה שיחת העור מקבל הקהל של המלון בשעה 6 בבוקר.,उसे वेकअप कॉल मिला।,"एक्जाम में फेल होने के बाद, उसे ज्यादा मेहनत करने के लिए एक जागरूकता कॉल मिली।",उसे होटल के फ्रंट डेस्क से 6 बजे एक वेकअप कॉल मिला।,kapott egy ébresztőt,"Az vizsga megbukása után felébredt benne a vágy, hogy keményebben tanuljon.",Ő egy ébresztő hívást kapott a szálloda recepciójától reggel 6-kor.,그녀는 깨움 전화를 받았다.,"시험에 실패한 후, 그녀는 더 열심히 공부해야 한다는 경고를 받았다.",그녀는 호텔 프론트 데스크에서 6시에 웨이크업 콜을 받았다.,Ella recibió una llamada de despertador.,"Después de reprobar el examen, recibió una llamada de atención para estudiar más duro.",Ella recibió una llamada de despertador de la recepción del hotel a las 6 de la mañana.,O ti gba ohun tuntun fun iyawo.,"Lẹhin ti o bẹru si iṣẹ, o gba ohun ti o jẹ alaabo lati padanu diẹ sii.",O ti gba ohun tuntun ti o fẹ lati ilé-iṣẹ otèlẹ ni ibi ti o kọjá láti ọ̀sán 6.,她收到了一通叫醒电话。,考试失败后，她受到了更加努力学习的警醒。,她在早上6点收到了酒店前台的叫醒电话。
