model,language_pair,score
gpt,en-zh,0.2547271181829504
gpt,en-ko,0.29154424753934394
gpt,en-he,0.4409858257279452
gpt,en-yo,0.18481375197443403
palm,en-zh,0.25948618616805724
palm,en-ko,0.3452950773017656
palm,en-he,0.4618217485741187
palm,en-yo,0.10286146511452714
google,en-zh,0.27285087458131596
google,en-ko,0.453108335226265
google,en-he,0.4958966758714735
google,en-yo,0.2749896682364259
opus,en-zh,0.1654200782693964
opus,en-ko,0.0
opus,en-he,0.5007223442350512
opus,en-yo,0.12413278123107213
nllb,en-zh,0.18183330154678468
nllb,en-ko,0.3159124579146791
nllb,en-he,0.5172635317581674
nllb,en-yo,0.12865742691995918
