idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
icing on the cake,getting a promotion was the icing on the cake after a successful year,0,when something good is added to another good thing that you already have,outside the lines,his innovative approach to the project was like coloring outside the lines,0,not sticking to the rules,ball and chain,was carrying a ball and chain,2,a burden or problem that ties you down and prevents you from doing what you want,tip of the iceberg,the problems we discovered were just the tip of the iceberg in this company,0,to only know a very small part of the problem,up a river without a paddle,found ourselves up a river without a paddle,2,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter"
on the pig's back,was riding on the pig's back,2,a successful situation and everything is going well for that person,give a shot,"even though he was nervous, he gave it a shot and presented his idea to the team",0,to have a try at something,shake a leg,shaking a leg,2,"to go fast, hurry",against the grain,going against the grain,2,a difficult path to be followed,flesh and blood,my own flesh and blood,2,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood."
choke up,he started to choke up,2,make a person become overemotional and speechless,the die is cast,"once the decision was made, there was no turning back; the die is cast",0,"an unalterable decision has been reached, or step taken.",plays with fire,she plays with fire,2,people who take unnecessary risks or behave in a dangerous way,stand out,stand out in the crowd,2,extend beyond or above a surface,in touch,to stay in touch,2,"to remain in contact with someone, especially when separated by time or distance"
catch up,I need to catch up with her to discuss the latest news,0,"to get to the same level, standard, or status as something or someone",rise and shine,rise and shine,2,to ask someone to wake up and become active in the daily chores,bite off more than one can chew,he bit off more than he could chew,2,"to try to do something that is too difficult for you, or more than you can manage",bare bones,presented the bare bones,2,most basic and important elements or facts,not have a clue,didn't have a clue,2,to not know something.
asleep at the wheel,asleep at the wheel,2,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",snake in the shoes,he found a snake in the shoes,2,to be in a state of fear,make ends meet,was struggling to make ends meet,2,make sufficient money to survive on,fall flat,"he tried to make everyone laugh, but the joke fell flat and no one reacted",0,"fails to amuse people, or fails to have the effect that was intended",Achilles heel,his Achilles heel,2,a vulnerable spot or weakness
taste of own medicine,she gave him a taste of his own medicine,2,when someone gets the same bad treatment that he has been giving others,playing second fiddle,he didn't like playing second fiddle to her in the company hierarchy,0,to play a secondary or minor role with regards to someone else,chill wind,a chill wind blew,2,to encounter the problems or trouble,play cat and mouse,the detective played cat and mouse with the suspect to get a confession,0,to play with or tease someone,stop by,stop by the store,2,to meet someone or go somewhere in a brief and informal manner
at the bottom of the ladder,she started at the bottom of the ladder,2,"occupying the lowest, most basic position in a given group",as far as,as far as the eye can see,2,to the extent of something,straighten up and fly right,"after a stern warning from his boss, he decided to straighten up and fly right at work",0,to get serious and stop acting absurd anymore.,makes my ears burn,hearing people gossip about me makes my ears burn,0,"to be embarrassed by what you hear, especially if the conversation is about you",ahead of the curve,was staying ahead of the curve,2,better than others
recharge one's batteries,they went on a vacation to recharge their batteries and regain their energy,0,take a break or holiday to relax and regain one's vim and vigour,paddle own canoe,to paddle their own canoe,2,To be able to act without having to depend on anyone.,whatever floats my boat,"when it comes to choosing a hobby, I believe in whatever floats my boat",0,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy",know the ropes,"having worked there for years, he knew the ropes well and could handle any task",0,to know all the ways and means to get something done,down to earth,a down-to-earth person,2,"decent, simple, realistic"
sink or swim,starting a new job without any training was a sink or swim situation for her,0,"having to do something alone, and their success or failure depends entirely on their own efforts",cut the cord,cut the cord with her,2,to end a connection with someone,hammer and tongs,went at it hammer and tongs,2,"to argue fiercely, with a lot of energy and noise",against the grain,his decision to quit his job was going against the grain of his family's expectations,0,a difficult path to be followed,walking on broken glass,dealing with her sensitive feelings was like walking on broken glass,0,when a person is punished for something
not getting anywhere,not getting anywhere with this,2,to make no progress at all; not improving or advancing a particular situation,kick yourself,kicked themselves,2,to be angry with yourself for something you have or have not done,treasure trove,"when they found the old library, they discovered a treasure trove of knowledge",0,a priceless or valuable discovery,you can't have your cake and eat it,can't have the cake and eat it,2,you can't have things both ways,smell something fishy,I smelled something fishy,2,to have a suspicion that something is wrong
strike while the iron is hot,to strike while the iron is hot,2,to take advantage of a situation,chink in armour,found a chink in their armour,2,a susceptible or vulnerable area.,second wind,found a second wind,2,another burst of energy when you had been too tired to finish,give it a whirl,he gave it a whirl,2,to try something new.,a witch hunt,started a witch hunt,2,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society
yoke around one's neck,the burden of his student loans felt like a yoke around his neck,0,a fatiguing burden.,blow your own trumpet,blowing his own trumpet,2,to say things that makes your own self or kin look good,as far as,his influence extends as far as the eye can see in the business world,0,to the extent of something,keep at arm's length,she kept him at arm's length,2,keep distance from something or somebody,rocket science,not exactly rocket science,2,something very difficult to understand
line in the sand,to draw a line in the sand,2,a boundary beyond which one cannot proceed without consequences,lights are on but nobody is home,"when I tried to explain the situation to him, it seemed like the lights are on but nobody is home",0,used to describe a stupid person.,got in his hair,got in his hair,2,to annoy someone so much that they cannot get on with what they are doing,below the belt,"insulting her intelligence, that comment was below the belt",0,to be mean and unfair (in a fight),wet behind the ears,still wet behind the ears,2,immature or poor skill
skeleton in the closet,we discovered a skeleton in the closet,2,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose",from A to Z,she studied the subject so thoroughly that she learned it from A to Z,0,comprehensive,top dog,became the top dog,2,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.",the early bird catches the worm,the early bird catches the worm,2,it refers to people who arrive earlier are the ones who get the best deals,fall out,they had a fall out,2,to disagree with someone about something
go through the roof,went through the roof,2,to become very angry,joined the club,joined the club together,2,"said in answer to something that someone has said, meaning that you are in the same bad situation as they are",looked through colored glasses,looked through colored glasses,2,to look the things not as they are; having a heavily biased worldview,run out,run out of time,2,to not have enough of something,draw a blank,was drawing a blank,2,to get no response from someone
cloud on the horizon,a cloud on the horizon,2,"a problem or difficulty that is predictable, or seems likely to arise in the future",bite head off,bit his head off,2,overreact in an angry or harsh way,"judge, jury and executioner","was acting as judge, jury, and executioner",2,"people that are in charge of every decision made, and they have the power to be rid of whomever they choose",sail through,to sail through the challenges,2,to succeed in doing it without difficulty,all the way up,went all the way up,2,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point."
blank check,gave him a blank check,2,Complete authority or unrestricted freedom of action or a free hand.,feather in your cap,a feather in your cap,2,It means to have an achievement in your name.,cold turkey,he quit smoking by going cold turkey without any assistance,0,in a unexpected and sudden way,in the black,"after months of struggling, our business is finally in the black",0,to not be in debt,fingers crossed,keeping my fingers crossed,2,a gesture of crossed fingers used to express good luck
butterflies in stomach,she had butterflies in her stomach,2,to feel very nervous and restless,give a shot,gave it a shot,2,to have a try at something,baying for blood,baying for blood,2,want somebody to be hurt or punished.,in your face,an in-your-face attitude,2,"a bold, defiant or aggressive manner",ages,haven't seen you in ages,2,a long time; a very long time
shot in the dark,he took a shot in the dark,2,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,coin money,coining money together,2,make a great deal of money easily or very quickly.,cut corners,cut corners on the project,2,"economise on time, money, materials or effort, perhaps unwisely",over the moon,over the moon about the news,2,extremely pleased or happy,turn down a glass,"at the party, he politely turned down a glass when offered a drink",0,to decline something that someone has offered.
butterflies in stomach,"before the big presentation, she had butterflies in her stomach",0,to feel very nervous and restless,skeleton in the closet,we discovered a skeleton in the closet,2,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose","judge, jury and executioner","he was acting as judge, jury, and executioner when he made the decision without consulting anyone",0,"people that are in charge of every decision made, and they have the power to be rid of whomever they choose",goose egg,she scored a goose egg,2,zero,ate her alive,it ate her alive,2,to criticize someone severely because you are angry with them
rub the wrong way,rubbed him the wrong way,2,to tick someone off,black hole,a black hole in the system,2,a place in which things are lost never to be seen again,put your head on the block,he put his head on the block by taking responsibility for the team's failure,0,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong,in the black,finally in the black,2,to not be in debt,weather the storm,weathered the storm together,2,handle a difficult period of time successfully
break a leg,to break a leg on stage,2,good luck,deliver the goods,the new employee delivered the goods on time by meeting all the project deadlines,0,do what is required,up in the air,plans are up in the air,2,"unresolved, undecided",cool heels,were cooling their heels,2,to wait or take rest,raise the bar,raised the bar for everyone,2,to be better than what went before
the ball is in your court,the ball is in your court now,2,the initiative for taking action lies with somebody,wheels fall off,"after a series of setbacks, the wheels fell off our project",0,when a situation gets out of control and everything starts to go wrong,fall between the cracks,fell between the cracks,2,be ignored or unobserved,batten down the hatches,to batten down the hatches,2,to get ready for trouble,put the cart before the horse,putting the cart before the horse,2,to do things in the wrong order or sequence
miss the boat,she missed the boat on that opportunity by not applying for the job in time,0,miss a chance,happy camper,not a happy camper,2,to be content or satisfied with what is happening in your lifes and have no complaints,glass ceiling,hit the glass ceiling,2,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",in cold blood,committed the crime in cold blood,2,in a cruel way and without pity or other emotion,ahead of the curve,was staying ahead of the curve,2,better than others
mend fences,mending fences with her,2,to try and improve a bad relationship with another party,whole nine yards,she went the whole nine yards to make his birthday special,0,"everything, all of something",fan the flames,fanned the flames together,2,make a bad situation even worse,cost an arm and a leg,cost an arm and a leg,2,very expensive,break up,decided to break up,2,end a romantic relationship with someone
in the doghouse,in the doghouse with her,2,someone who is in disgrace and very unpopular at the moment,the eleventh hour,at the eleventh hour,2,at the very last minute before an event,you can't teach an old dog new tricks,teaching an old dog new tricks,2,you cannot make others change their habits,ring a bell,to ring a bell for them,2,something that sounds familiar,hide light under a bushel,hiding light under a bushel,2,to show modesty towards something or someone
keep the wolf from the door,kept the wolf from the door,2,to have sufficient money to prevent starvation or hunger,rock the boat,rocked the boat a bit,2,to make trouble.,dig one's own grave,"by spreading false rumors about the boss, he was digging his own grave at work",0,"to do something that has negative consequences for you, even though these consequences can be easily seen.",bang head against wall,banging head against the wall,2,to be frustrated in your efforts to change something or make something happen,the devil is beating his wife,"while the sun was shining, it started raining, and people said the devil is beating his wife",0,raining whereas the sun is shining.
Dutch uncle,"he gave me advice like a Dutch uncle, always straightforward and honest",0,"criticize, scold or lecture someone",mind your own beeswax,on minding your own beeswax,2,do not interfere into someone else's matter,eat him alive,eat him alive in the competition,2,to criticize someone severely because you are angry with them,weather the storm,weathered the storm together,2,handle a difficult period of time successfully,know the ropes,he knew the ropes well,2,to know all the ways and means to get something done
halfway house,staying at the halfway house,2,"mid-point in recovery, treatment, or progress",in the cross hairs,caught in the cross hairs,2,in a position where one might receive severe criticism,whole nine yards,she went the whole nine yards,2,"everything, all of something",come clean,"after hiding the truth for so long, he decided to come clean about his past",0,to make a disclosure,drop a bombshell,the CEO dropped a bombshell during the meeting when he announced the company's bankruptcy,0,"make an unexpected, startling or disturbing announcement"
gets it out of his system,he needs to vent his frustrations to gets it out of his system,0,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,lose it,she lost it during the meeting when she could n't handle the pressure anymore,0,go insane or crazy,all Greek to me,it's all Greek to me,2,used to convey that you cannot understand what is being said or written,silver spoon,was born with a silver spoon,2,having a rich or privileged background,on the money,right on the money,2,being right about something.
cut down,to cut down the tree,2,to reduce the amount of something (usually bad),fall between the cracks,fell between the cracks,2,be ignored or unobserved,sit tight,to sit tight and wait,2,wait patiently,get over it,finally got over it,2,accept something and move on,field day,had a field day,2,have a great time doing something enjoyable
in deep water,he found himself in deep water,2,a very serious situation,paddle own canoe,to paddle their own canoe,2,To be able to act without having to depend on anyone.,play cat and mouse,played cat and mouse,2,to play with or tease someone,ate her alive,it ate her alive,2,to criticize someone severely because you are angry with them,elephant in the room,to address the elephant in the room,2,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward"
body and soul,committed body and soul,2,with all one's effort and ability,in a pickle,found themselves in a pickle,2,to be in a difficult situation,turn the tables,they turned the tables on her by revealing her secret plan,0,change your position with respect to someone else.,bad egg,"despite his charming demeanor, he turned out to be a bad egg in the company",0,someone who fails to meet expectations,at the heels of,at the heels of,2,close behind or soon after something
the bottom line,the bottom line of the situation,2,"in the final analysis, the most important fact in a situation.",sweep under the rug,they swept the issue under the rug,2,try to hide a problem or keep a problem secret instead of dealing with it,bad egg,turned out to be a bad egg,2,someone who fails to meet expectations,stick in his throat,the insincere compliment stuck in his throat as he tried to praise his rival,0,difficulty of accepting and makes you angry or resentful,on the ball,she stayed on the ball and managed to finish the project before the deadline,0,"alert to new trends, ideas, and methods"
a roof over your head,finding a job is essential for having a roof over your head,0,a place to live,the die is cast,the die is cast,2,"an unalterable decision has been reached, or step taken.",no picnic,it was no picnic,2,used to express that an activity or action is not fun,pass away,passed away peacefully,2,die,take with a grain of salt,to take it with a grain of salt,2,to understand that something is not completely true or right
bite the hand that feed,bit the hand that fed,2,to turn against someone who has been a benefactor in the past,glass ceiling,hit the glass ceiling,2,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",straight from the horse's mouth,heard it straight from the horse's mouth,2,from a dependable or reliable source,feet of clay,had feet of clay,2,have a flaw or weakness most people are unaware of.,make it big,"after years of hard work, she finally made it big in the industry",0,become very successful or famous
full of beans,seemed full of beans,2,to be optimistic or enthusiastic,blow away,their innovative product blew away the competition in the market,0,impress someone very much,cross the line,he crossed the line with her when he made that inappropriate comment,0,behave in a way that is not acceptable,carry out,to carry out the task,2,"put something into action, to accomplish something, to do something.",in your face,an in-your-face attitude,2,"a bold, defiant or aggressive manner"
get the wrong end of the stick,got the wrong end of the stick,2,to understand something in the wrong way,take it on the chin,he took it on the chin,2,this is a boxing metaphor meaning don't shy away from difficulty,bet on the wrong horse,she bet on the wrong horse,2,support a person or thing that ultimately fails,between you and me,"between you and me, there's a secret that I can't share with anyone else",0,a secret to be kept between two people,hit the bull's-eye,hit the bull's-eye,2,to be exactly right about something or achieve the best result possible
come across,came across the old book,2,to meet someone,black book,was found in the black book,2,a book containing a list of secret contacts,clear the decks,we cleared the decks for the event by finishing all our pending tasks,0,get ready for action.,take the edge off,took the edge off the situation,2,blunt the effect of,not playing with a full deck,not playing with a full deck,2,not mentally sound
sweep under the rug,"instead of addressing the problem, they swept the issue under the rug and pretended it didn't exist",0,try to hide a problem or keep a problem secret instead of dealing with it,blowing smoke,blowing smoke at the meeting,2,to intentionally misinform or deceive,burn bridges,burned bridges with them,2,"remove someone's all options of retreat, act decisively",sleep on,sleep on the decision,2,postpone making a choice until the following day.,never looked back,never looked back after that,2,"after an event which changed your life for the better, you continue to be happy with the situation"
up to the neck,up to the neck in work,2,"when people are very involved in something, especially when it's something wrong",the brains behind,the brains behind the project,2,"used to refer to the person who originally invented a particular scheme, plan or idea",my way or the highway,it's my way or the highway,2,to order someone to do something in a specific way without providing an alternative.,pipe down,the teacher told them to pipe down when they were being too loud,0,to take to one or more notches down to its current standard,black and blue,"after the harsh criticism, his ego was bruised black and blue",0,"hurt, either bodily, emotionally or psychologically"
gloves are off,the gloves are off now,2,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight,have a soft spot,"despite her tough exterior, she has a soft spot for kittens and always takes care of them",0,to like someone very much,white paper,she read the white paper to understand the company 's new policy,0,official report or guide,wrapped up in cotton wool,wrapped up in cotton wool,2,to be over-protected from dangers and risks,buckle down,to buckle down to work,2,make sure something stays in place
last resort,he decided to ask his parents for help as a last resort when all other options failed,0,the last thing you would do if you were desperate and all other courses of action had failed,bigger fish to fry,I have bigger fish to fry,2,"to have other, more important things to do.",a lot on my plate,"juggling multiple projects at work, she was having a lot on the plate these days",0,to have so many things to do at one time,cross the bridge,crossed the bridge together,2,to delay worrying about something that might not happen anyway,black sheep,the black sheep in their midst,2,a disgrace
mind your own business,were minding their own business,2,to look into your own matter,have a soft spot,has a soft spot for kittens,2,to like someone very much,black book,"after betraying his trust, she was found in the black book of his memories",0,a book containing a list of secret contacts,dead duck,a dead duck in the situation,2,a project or scheme which has been abandoned or is certain to fail,jobs for the boys,giving jobs for the boys,2,work that someone in an important position gives to their friends or relations
tip of the iceberg,just the tip of the iceberg,2,to only know a very small part of the problem,takes two to tango,it takes two to tango,2,certain actions or activities cannot be performed alone - they  need two people to participate,drop by,drop by the store,2,an informal visit,a trip to the sun,planned a trip to the sun,2,something which is very unlikely,ball and chain,he felt like he was carrying a ball and chain with his overwhelming responsibilities,0,a burden or problem that ties you down and prevents you from doing what you want
take a beating,took a beating,2,to be defeated in doing something and be reprimanded for the same,catch up,to catch up with her,2,"to get to the same level, standard, or status as something or someone",hot potato,handled the hot potato,2,any subject which several folks are talking about and which is frequently argued,ready to drop,looked ready to drop,2,to be extremely tired and nearly too exhausted to stay standing,Easter egg,found an Easter egg,2,a decorated or dyed egg usually given to children at Easter
ate her alive,the guilt of lying to her best friend it ate her alive for days,0,to criticize someone severely because you are angry with them,up to the neck,he was up to the neck in work and couldn't take a break,0,"when people are very involved in something, especially when it's something wrong",the sun rises and sets on them,she adores her children so much that the sun rises and sets on them in her eyes,0,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,blow cover,blew their cover,2,to reveal the true identity,in stitches,his hilarious jokes had everyone in stitches at the party,0,to laugh so hard that you are not able to control yourself
hammer and tongs,they went at it hammer and tongs during the heated debate,0,"to argue fiercely, with a lot of energy and noise",to the core,the news of the tragedy left her shaken to the core,0,totally,vultures are circling,"as the company's stock plummeted, the vultures are circling to buy it cheap",0,when something is in danger and its enemies are getting ready for the kill,jump on the bandwagon,jumped on the bandwagon,2,to start doing something because it is fashionable or profitable,knowing which way the wind blows,knowing which way the wind blows,2,this means that you should know how things are developing and be prepared for the future
red zone,"when the deadline approached, we entered the red zone and worked tirelessly",0,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity.",whatever floats my boat,whatever floats my boat,2,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy",call a spade a spade,she called a spade a spade,2,this phrase means to say something the way it is,bent out of shape,he got bent out of shape when he found out his favorite band was sold out,0,to become angry.,stab in the back,stabbed in the back by a friend,2,a disloyalty
in the pipeline,projects in the pipeline,2,to be underway,in a nutshell,she explained it in a nutshell so that everyone could understand the concept quickly,0,to be brief and straight to the point.,household name,she became a household name,2,to be very popular,troubled waters,"during the financial crisis, the company was sailing through troubled waters",0,a difficult phase of life,strike while the iron is hot,"to seize the opportunity, he decided to strike while the iron is hot and invest in the stock market",0,to take advantage of a situation
get out of bed on the wrong side,"he was so grumpy today, it seemed like he got out of bed on the wrong side",0,be very irritable and grouchy,you bet,you bet I'll be there,2,for sure,weather the storm,"despite the challenges, our team weathered the storm together and succeeded",0,handle a difficult period of time successfully,dead in the water,the project was found it dead in the water after the funding was cut,0,unable to produce movement,add fuel to the flames,they added fuel to the flames,2,"an action, whether verbal or physical that makes a bad situation even worse"
out of hand,got out of hand,2,out of control,stop the rot,stopped the rot,2,"when you prevent a situation from deteriorating, especially in business or politics",suited and booted,"he was suited and booted for the event, ready to impress everyone with his confidence",0,formally dressed; well dressed,a storm is brewing,a storm is brewing in the distance,2,"there is going to be trouble, probably with outbursts of anger or emotion",toss-up,choosing between the two job offers was a toss-up between two options,0,a situation where the result is unclear and can go either way
blowing smoke,blowing smoke at the meeting,2,to intentionally misinform or deceive,have no truck with,have no truck with them,2,avoid dealing or being associated with,pay the piper,had to pay the piper,2,to bear the ill-effects of something that was enjoyable at one time,toot one's own horn,he was always tooting his own horn about his accomplishments,0,speak boastfully about oneself,frighten or scare to death,the sudden loud noise scared her to death during the movie,0,make somebody feel very frightened.
two peas in a pod,like two peas in a pod,2,practically identical in appearance,way around,he knows his way around,2,"to find an alternative for something, someone or to perform a task",blind spot,had a blind spot,2,"if you have a blind spot about something, you cannot accept or understand it",on the same page,"before starting the project, we need to be on the same page regarding our goals",0,everyone in agreement,short fuse,has a short fuse,2,to get angry quickly.
the ball is in your court,the ball is in your court now,2,the initiative for taking action lies with somebody,take with a grain of salt,to take it with a grain of salt,2,to understand that something is not completely true or right,spanner in the works,a spanner in the works,2,a roadblock that prevents an activity from succeeding,cut your own throat,"by revealing company secrets, he cut his own throat and ruined his career",0,to do something that will be the cause of your own failure or ruin your chances in the future,dead duck,a dead duck in the situation,2,a project or scheme which has been abandoned or is certain to fail
acid test,moving in together was the acid test for their relationship to see if they could handle living with each other,0,a test that proves a hypothesis or validity of a product or idea,kick the bucket,kicked the bucket together,2,to die,the eleventh hour,at the eleventh hour,2,at the very last minute before an event,walk out on,"disappointed by the lack of support, she walked out on the presentation and left the room",0,end a relationship with someone suddenly,match made in heaven,a match made in heaven,2,a combination of two people that is perfect in every way
white paper,she read the white paper,2,official report or guide,axe to grind,had an axe to grind,2,have a private or selfish reason for doing something,in the cross hairs,"as the whistleblower, he found himself caught in the cross hairs of the company's retaliation",0,in a position where one might receive severe criticism,straight shooter,a straight shooter,2,someone who speaks the truth,cook his goose,"when he was caught cheating, his teacher cooked his goose by failing him",0,to spoil someone's chances of success
have a big mouth,has a big mouth,2,one who gossips more or says things that are meant to be kept secret,the sun rises and sets on them,the sun rises and sets on them,2,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,pull the wool over eyes,they pulled the wool over her eyes,2,to deceive someone,close call,he had a close call when he narrowly avoided a car accident,0,a narrow escape from disaster,scrape the bottom of the barrel,scraping the bottom of the barrel,2,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one."
card up sleeve,"during the negotiation, he had a card up his sleeve that gave him an advantage",0,to have a secret advantage that is suddenly revealed to change the game,a wakeup call,"after failing the exam, she received a wakeup call to study harder",0,something that makes you realize that you need to take action to change a situation,getting my fingers burnt,"after investing in that risky business, I ended up getting my fingers burnt",0,"to suffer unpleasant results of an action, especially loss of money, so you do not want to do the same thing again",axe to grind,he had an axe to grind with his coworker after the disagreement,0,have a private or selfish reason for doing something,make a clean breast,he finally made a clean breast of the situation and admitted his mistakes,0,to tell the truth about something.
got in his hair,got in his hair,2,to annoy someone so much that they cannot get on with what they are doing,dance to tune,danced to the tune,2,to do what someone else forces you to do,beat around the bush,stop beating around the bush,2,avoid talking about the main topic,backroom boy(s),the backroom boys,2,people who work in anonymity,hit the road,hit the road together,2,depart
camp follower,a camp follower,2,"a person who is supportive of the cause, person or organisation",over the moon,she was over the moon about the news of her promotion,0,extremely pleased or happy,scratch the surface,"during the lecture, we only scratched the surface of the topic and didn't dive deep",0,to deal with only a small part of a problem,hung out to dry,"when the team failed to support her, she felt hung out to dry",0,"to abandon someone who is in difficulty, without giving any assistance or support",got off your back,"when you completed the project, your boss finally got off your back",0,to be annoyed and ask someone to stop finding faults or criticize you
you can't teach an old dog new tricks,trying to convince my grandfather to use a smartphone was like teaching an old dog new tricks,0,you cannot make others change their habits,tall poppy,a tall poppy among them,2,a privileged or distinguished person.,go the extra mile,"to make sure the project was perfect, he went the extra mile and double - checked everything",0,to make an extra effort,mean business,they really mean business,2,to be focused about achieving a goal,can of worms,opened a can of worms,2,"to get into something that is messy, has problems and is unwanted"
will never fly,"he proposed a risky investment, but we knew that idea will never fly with the board",0,there's no chance that something will work; to be unsuccessful,big brother,watched by big brother,2,A large organization or government agency that tries to control all aspects of human life and society.,act of God,an act of God,2,an occurrence of out of control natural forces in action,dial it back,to dial it back a bit,2,"to reduce the intensity of something, or tone it down",cover one's tracks,covered their tracks,2,"to keep one's location, activities, and intentions hidden."
at an arm's length,kept it at an arm's length,2,as far away from your body as possible,chip on shoulder,had a chip on his shoulder,2,holding a grudge or grievance,the last straw,that was the last straw,2,to be the last in a sequence of unpleasant things,makes my ears burn,makes my ears burn,2,"to be embarrassed by what you hear, especially if the conversation is about you",blow cover,the undercover agent blew their cover by accidentally revealing their true identity,0,to reveal the true identity
dance to tune,he always danced to the tune of his boss's demands,0,to do what someone else forces you to do,pull the plug,"due to budget constraints, the management decided to pull the plug on the project",0,to kill or discontinue,cards are stacked against,cards are stacked against them,2,"someone is not likely to succeed, especially because the person is not being given a fair chance",burst the bubble,telling them the truth about the situation burst the bubble for them and made them face reality,0,the sudden end of a very happy or successful period,bark up the wrong tree,was barking up the wrong tree,2,waste one's efforts by pursuing the wrong thing or path
when the chips are down,he always comes through when the chips are down and we need him the most,0,when a situation is urgent or desperate.,kill two birds with one stone,killed two birds with one stone,2,accomplish two different things at the same time,rain or shine,"rain or shine, we'll be there",2,Doing something regularly regardless of the circumstances.,worm in the apple,"despite the company's success, they found a worm in the apple when they discovered the corruption",0,the presence of something very bad in the best,kiss and make up,to kiss and make up with her,2,to become friendly again after an argument
"blood, sweat, and tears","he put in blood, sweat, and tears to build his business from the ground up",0,putting a lot of effort to get a task done.,vultures are circling,the vultures are circling,2,when something is in danger and its enemies are getting ready for the kill,keep your hair on,"when he started to panic, I told him to keep his hair on and stay calm",0,to request someone to stay calm and not get annoyed,pass the torch,passed the torch to her,2,to pass on the responsibility,wouldn't be caught dead,wouldn't be caught dead in that,2,dislike something very much
rip off,the plagiarized book seemed to rip off the cover of the original work,0,the act of stealing,take it on the chin,he took it on the chin,2,this is a boxing metaphor meaning don't shy away from difficulty,feel the pinch,he started to feel the pinch,2,experience financial hardship,snow under,"during the busy season, she was snowed under with work and had no time for leisure",0,to bury or cover something or somebody in the snow (Literal meaning),on pins and needles,waiting on pins and needles,2,being anxious or nervous
lose your marbles,"after working non-stop for days, he finally lost his marbles and started talking nonsense",0,strange behaviors.,on the hook,he was left on the hook for the entire project after his partner quit,0,someone who is responsible for something,Achilles heel,his Achilles heel,2,a vulnerable spot or weakness,clean slate,to start with a clean slate,2,to wipe the past out and begin afresh,in your face,his aggressive sales pitch showed an in-your-face attitude that turned off potential customers,0,"a bold, defiant or aggressive manner"
make ends meet,was struggling to make ends meet,2,make sufficient money to survive on,put his heart into,he put his heart into the project,2,to be very enthusiastic and invest a lot of energy and hard work in something,asleep at the switch,asleep at the switch,2,failing to attend to one's responsibilities or duties,behind bars,the judge's decision to put him behind bars was due to his criminal actions,0,to be in jail or prison,went through the mill,went through the mill together,2,"you experience a very difficult period, or are exposed to rough treatment"
keep an eye on,to keep an eye on the situation,2,keep a watch on something or someone closely,caught in the crossfire,"during the heated debate between her friends, she felt caught in the crossfire",0,be badly affected by a situation where two people or group are arguing with each other.,stir up a hornet's nest,stirred up a hornet's nest,2,to create trouble,on a silver platter,served it on a silver platter,2,to get something without having to work for it,in a pickle,they found themselves in a pickle when they realized they had double-booked their appointments,0,to be in a difficult situation
