model,language_pair,score
gpt,en-zh,0.6524257016181946
gpt,en-ko,0.6211096382141114
gpt,en-he,0.6631178760528564
gpt,en-yo,0.43811066150665284
palm,en-zh,0.6617816412448883
palm,en-ko,0.6322987711429596
palm,en-he,0.707207835316658
palm,en-yo,0.405584414601326
google,en-zh,0.654635214805603
google,en-ko,0.7498523426055909
google,en-he,0.7666572391986847
google,en-yo,0.5802966862916946
opus,en-zh,0.565358082652092
opus,en-ko,0.0
opus,en-he,0.7328205394744873
opus,en-yo,0.434008269906044
nllb,en-zh,0.5400540861487388
nllb,en-ko,0.5745615203678608
nllb,en-he,0.7298658657073974
nllb,en-yo,0.4403695476055145
